Class,Order,Family,Species,FishBase Common name,All Common Name/s Aus/Global English (FishBase),AFD Preferred Common Name
Osteichthyes,Acanthuriformes,Acanthuridae,Acanthurus albipectoralis,Whitefin surgeonfish ,"White-fin surgeon (English), Whitefin surgeonfish (English)",Whitefin Surgeonfish
Osteichthyes,Acanthuriformes,Acanthuridae,Acanthurus auranticavus,Orange-socket surgeonfish ,"Orange-socket surgeonfish (English), Ring-tail surgeon (English), Ringtail surgeonfish (English)",Ringtail Surgeonfish
Osteichthyes,Acanthuriformes,Acanthuridae,Acanthurus bariene,Black-spot surgeonfish ,"Black-spot surgeonfish (English), Eye-spot surgeon (English), Eyespot surgeonfish (English), Eye-spot surgeonfish (English), Roundspot surgeonfish (English)",Eyespot Surgeonfish
Osteichthyes,Acanthuriformes,Acanthuridae,Acanthurus blochii,Ringtail surgeonfish ,"Dark surgeon (English), Dark surgeonfish (English), Ringtail surgeonfish (English)",Dark Surgeonfish
Osteichthyes,Acanthuriformes,Acanthuridae,Acanthurus dussumieri,Eyestripe surgeonfish ,"Dussumier's surgeonfish (English), Eyestripe surgeonfish (English), Ornate surgeonfish (English), Pencil surgeonfish (English), Pencilled surgeon (English), Pencilled surgeonfish (English)",Pencil Surgeonfish
Osteichthyes,Acanthuriformes,Acanthuridae,Acanthurus fowleri,Fowler's surgeonfish ,"Horse-shoe surgeon (English), Horseshoe surgeonfish (English)",Horseshoe Surgeonfish
Osteichthyes,Acanthuriformes,Acanthuridae,Acanthurus grammoptilus,Finelined surgeonfish ,"Finelined surgeonfish (English), Inshore surgeon (English), Inshore surgeonfish (English), Northwest surgeonfish (English), Ring-tailed surgeonfish (English)",Inshore Surgeonfish
Osteichthyes,Acanthuriformes,Acanthuridae,Acanthurus guttatus,Whitespotted surgeonfish ,"Spotband surgeonfish (English), White-spotted surgeon (English), Whitespotted surgeonfish (English), White-spotted surgeonfish (English)",Whitespotted Surgeonfish
Osteichthyes,Acanthuriformes,Acanthuridae,Acanthurus lineatus,Lined surgeonfish ,"Bluelined surgeonfish (English), Blue-lined surgeonfish (English), Lined surgeon (English), Lined surgeonfish (English), Spoted box crab (English), Striped surgeon (English), Striped surgeonfish (English), Striped tang (English), Zebra surgeonfish (English)",Bluelined Surgeonfish
Osteichthyes,Acanthuriformes,Acanthuridae,Acanthurus maculiceps,White-freckled surgeonfish ,"Earbar surgeonfish (English), Spot-face surgeon (English), Spotted-face surgeonfish (English)",Spotted-face Surgeonfish
Osteichthyes,Acanthuriformes,Acanthuridae,Acanthurus mata,Elongate surgeonfish ,"Elongate surgeonfish (English), Pale surgeon (English), Pale surgeonfish (English), Yellowmask surgeonfish (English)",Pale Surgeonfish
Osteichthyes,Acanthuriformes,Acanthuridae,Acanthurus nigricans,Whitecheek surgeonfish ,"Goldrim surgeonfish (English), Velvet surgeon (English), Velvet surgeonfish (English), Whitecheek surgeonfish (English), White-cheeked surgeonfish (English), Yellow-banded surgeonfish (English), Yellowrimmed surgeonfish (English)",Velvet Surgeonfish
Osteichthyes,Acanthuriformes,Acanthuridae,Acanthurus nigricauda,Epaulette surgeonfish ,"Blackstreak surgeonfish (English), Epaulette surgeonfish (English), Eye-line surgeon (English), Eyeline surgeonfish (English), Eye-line surgeonfish (English)",Eyeline Surgeonfish
Osteichthyes,Acanthuriformes,Acanthuridae,Acanthurus nigrofuscus,Brown surgeonfish ,"Brown surgeonfish (English), Dusky surgeon (English), Dusky surgeonfish (English)",Dusky Surgeonfish
Osteichthyes,Acanthuriformes,Acanthuridae,Acanthurus nigroris,Bluelined surgeonfish ,"Bluelined surgeonfish (English), Greyhead surgeonfish (English), Grey-head surgeonfish (English)",
Osteichthyes,Acanthuriformes,Acanthuridae,Acanthurus olivaceus,Orangespot surgeonfish ,"Orangeband surgeonfish (English), Orangebar surgeonfish (English), Orange-blotch surgeon (English), Orangeblotch surgeonfish (English), Orange-blotch surgeonfish (English), Orangespot surgeonfish (English), Orange-spot surgeonfish (English), Orange-spot surgeon-fish (English), Orangespot surgeon-fish (English)",Orangeblotch Surgeonfish
Osteichthyes,Acanthuriformes,Acanthuridae,Acanthurus pyroferus,Chocolate surgeonfish ,"Mimic surgeon (English), Mimic surgeonfish (English), Orange-gilled surgeonfish (English), Pacific mimic surgeon (English)",Mimic Surgeonfish
Osteichthyes,Acanthuriformes,Acanthuridae,Acanthurus thompsoni,Thompson's surgeonfish ,"Chocolate surgeonfish (English), Night surgeonfish (English), Thompson's surgeonfish (English)",Night Surgeonfish
Osteichthyes,Acanthuriformes,Acanthuridae,Acanthurus triostegus,Convict surgeonfish ,"Convict surgeon (English), Convict surgeonfish (English), Convict surgeon-fish (English), Five-banded surgeon-fish (English)",Convict Surgeonfish
Osteichthyes,Acanthuriformes,Acanthuridae,Acanthurus xanthopterus,Yellowfin surgeonfish ,"Ring-tailed surgeonfish (English), Yellowfin surgeonfish (English), Yellow-mask surgeon (English), Yellowmask surgeonfish (English), Yellow-masked surgeon (English)",Yellowmask Surgeonfish
Osteichthyes,Acanthuriformes,Acanthuridae,Ctenochaetus binotatus,Twospot surgeonfish ,"Twospot bristletooth (English), Two-spot bristletooth (English), Two-spot bristle-tooth (English), Twospot surgeonfish (English)",Twospot Bristletooth
Osteichthyes,Acanthuriformes,Acanthuridae,Ctenochaetus cyanocheilus,Short-tail bristle-tooth ,"Blue-lipped bristletooth (English), Bristle-toothed surgeonfish (English), Bristle-toothed surgeon-fish (English), Goldring bristletooth (English), Indo-pacific yellow tang (English), Yelloweye bristletooth (English), Yellow-eye surgeonfish (English)",Yelloweye Bristletooth
Osteichthyes,Acanthuriformes,Acanthuridae,Ctenochaetus striatus,Striated surgeonfish ,"Fine-lined bristletooth (English), Lined bristletooth (English), Striated surgeonfish (English), Striped bristletooth (English), Striped bristle-tooth (English)",Lined Bristletooth
Osteichthyes,Acanthuriformes,Acanthuridae,Ctenochaetus tominiensis,Tomini surgeonfish ,"Orange-tip bristletooth (English), Orange-tipped bristletooth (English), Tomini bristletooth (English), Yellow-tip bristletooth (English), Yellow-tip bristle-tooth (English)",Orange-tip Bristletooth
Osteichthyes,Acanthuriformes,Acanthuridae,Ctenochaetus truncatus,Indian gold-ring bristle-tooth ,Yelloweye bristletooth (English),Yelloweye Bristletooth
Osteichthyes,Acanthuriformes,Acanthuridae,Naso annulatus,Whitemargin unicornfish ,"Ringtailed unicornfish (English), Ring-tailed unicornfish (English), Ring-tailed unicorn-fish (English), Ringtail unicornfish (English), Short-horned unicorn-fish (English), White-margin unicorn (English), Whitemargin unicornfish (English)",Ringtail Unicornfish
Osteichthyes,Acanthuriformes,Acanthuridae,Naso brachycentron,Humpback unicornfish ,"Humpback unicorn (English), Humpback unicornfish (English)",Humpback Unicornfish
Osteichthyes,Acanthuriformes,Acanthuridae,Naso brevirostris,Spotted unicornfish ,"Longnose surgeonfish (English), Longnosed unicornfish (English), Palefin unicornfish (English), Short-horned unicornfish (English), Short-snouted unicornfish (English), Spotted unicorn (English), Spotted unicornfish (English)",Spotted Unicornfish
Osteichthyes,Acanthuriformes,Acanthuridae,Naso caeruleacauda,Blue unicorn ,"Blue unicorn (English), Blue unicornfish (English), Bluetail unicornfish (English)",Blue Unicornfish
Osteichthyes,Acanthuriformes,Acanthuridae,Naso caesius,Gray unicornfish ,"Gray unicornfish (English), Silverblotched unicornfish (English), Silver-blotched unicornfish (English)",Silverblotched Unicornfish
Osteichthyes,Acanthuriformes,Acanthuridae,Naso fageni,Horseface unicornfish ,"Blunt unicornfish (English), Horse-face unicorn (English), Horseface unicornfish (English)",Horseface Unicornfish
Osteichthyes,Acanthuriformes,Acanthuridae,Naso hexacanthus,Sleek unicornfish ,"Blue-tail unicorn (English), Horse-face unicorn (English), Sleek unicornfish (English), Thorpe's unicornfish (English)",Sleek Unicornfish
Osteichthyes,Acanthuriformes,Acanthuridae,Naso lituratus,Orangespine unicornfish ,"Black-finned unicornfish (English), Clown unicornfish (English), Orage-spine unicorn (English), Orangespine unicornfish (English), Orange-spine unicornfish (English), Pacific orange-spine unicorn (English), Smooth-headed unicornfish (English), Stripe-face unicornfish (English), Stripe-faced unicorn fish (English), Stripe-faced unicorn-fish (English)",Clown Unicornfish
Osteichthyes,Acanthuriformes,Acanthuridae,Naso lopezi,Elongate unicornfish ,"Elongate unicornfish (English), Slender unicorn (English), Slender unicornfish (English)",Slender Unicornfish
Osteichthyes,Acanthuriformes,Acanthuridae,Naso mcdadei,Squarenose unicornfish ,Squarenose unicornfish (English),Squarenose Unicornfish
Osteichthyes,Acanthuriformes,Acanthuridae,Naso minor,Slender unicorn ,"Blackspine unicorn (English), Little unicorn (English)",Blackspine Unicornfish
