Class,Order,Family,Species,FishBase Common name,All Common Name/s Aus/Global English (FishBase),AFD Preferred Common Name,AFD Authority,Status: CITES,Status: CMS,"Status: IUCN Red List (CR = Critically endangered
EN = Endangered VU = vulnerable NT = near threatened LC = Least Concern DD = Data Deficient NE = Not Evaluated)",Status: EPBC Act (CR = Critically endangered EN = Endangered VU = vulnerable CD = conservation dependent),Assembly submitters,Assembly URLs,In progress as listed on 10K and/or VGP and/or Squalomix pages?,Mitogenome,Occurrence in Australia,Occurrence: Freshwater,Occurrence: Brackish,Occurrence: Saltwater,Occurrence: Zone/Association,Occurrence: GBIF in WA,Occurrence: GBIF outside WA,Occurrence: OBIS in WA,Occurrence: OBIS outside WA,Estimated genome size: Average c-value (mass in pg),Estimated genome size: Gbp (1*c-value = 978 Mbp),Estimated genome size: Average chromosome number,Estimated genome size: source,Target species? Criterion,Source Contact,Fisheries: EEZ_ISO,Fisheries: EEZ_country,Fisheries: Has Fishbase data?,Fisheries: In FAO ASFIS species list?,Fisheries: In Sea Around Us database?,Fisheries: Importance (Source: Fishbase),Fisheries: Global fisheries index: has relative biomass for this species?,Fisheries: Global fisheries index: has relative biomass for this genus?,Fisheries: Global fisheries index: has relative biomass for this family?,ORG.one: Subspecies,ORG.one: Subpopulation,ORG.one: Kingdom,ORG.one: Status
Osteichthyes,Acanthuriformes,Acanthuridae,Acanthurus albipectoralis,Whitefin surgeonfish ,"White-fin surgeon (English), Whitefin surgeonfish (English)",Whitefin Surgeonfish,"Acanthurus albipectoralis Allen & Ayling, 1987",,,LC,,,,,,native ,0,0,1,reef-associated,0,163,0,125,,,,,,,AUS,Australia,TRUE,FALSE,FALSE,no FB info,FALSE,TRUE,TRUE,,,,
Osteichthyes,Acanthuriformes,Acanthuridae,Acanthurus auranticavus,Orange-socket surgeonfish ,"Orange-socket surgeonfish (English), Ring-tail surgeon (English), Ringtail surgeonfish (English)",Ringtail Surgeonfish,"Acanthurus auranticavus Randall, 1956",,,LC,,,,,,native ,0,0,1,reef-associated,1,136,8,83,0.63,0.61614,,"Hardie, D.C. and P.D.N. Hebert (2004).  Genome-size evolution in fishes.  Canadian Journal of Fisheries and Aquatic Sciences 61: 1636-1646.  Click here to download data appendix.",,,AUS,Australia,TRUE,FALSE,FALSE,commercial,FALSE,TRUE,TRUE,,,,
Osteichthyes,Acanthuriformes,Acanthuridae,Acanthurus bariene,Black-spot surgeonfish ,"Black-spot surgeonfish (English), Eye-spot surgeon (English), Eyespot surgeonfish (English), Eye-spot surgeonfish (English), Roundspot surgeonfish (English)",Eyespot Surgeonfish,"Acanthurus bariene Lesson, 1831",,,LC,,,,,,native ,0,0,1,reef-associated,0,10,0,17,,,,,,,,,,,,,,,,,,,
Osteichthyes,Acanthuriformes,Acanthuridae,Acanthurus blochii,Ringtail surgeonfish ,"Dark surgeon (English), Dark surgeonfish (English), Ringtail surgeonfish (English)",Dark Surgeonfish,"Acanthurus blochii Valenciennes, 1835",,,LC,,,,,,native ,0,0,1,reef-associated,27,1220,5,1148,1,0.978,,"Hardie, D.C. and P.D.N. Hebert (2004).  Genome-size evolution in fishes.  Canadian Journal of Fisheries and Aquatic Sciences 61: 1636-1646.  Click here to download data appendix.",,,AUS,Australia,TRUE,TRUE,FALSE,commercial,FALSE,TRUE,TRUE,,,,
Osteichthyes,Acanthuriformes,Acanthuridae,Acanthurus dussumieri,Eyestripe surgeonfish ,"Dussumier's surgeonfish (English), Eyestripe surgeonfish (English), Ornate surgeonfish (English), Pencil surgeonfish (English), Pencilled surgeon (English), Pencilled surgeonfish (English)",Pencil Surgeonfish,"Acanthurus dussumieri Valenciennes, 1835",,,LC,,,,,,native ,0,0,1,reef-associated,122,1366,565,1527,,,,,,,AUS,Australia,TRUE,FALSE,FALSE,minor commercial,FALSE,TRUE,TRUE,,,,
Osteichthyes,Acanthuriformes,Acanthuridae,Acanthurus fowleri,Fowler's surgeonfish ,"Horse-shoe surgeon (English), Horseshoe surgeonfish (English)",Horseshoe Surgeonfish,"Acanthurus fowleri de Beaufort, 1951",,,LC,,,,,,native ,0,0,1,reef-associated,1,0,1,0,,,,,,,AUS,Australia,TRUE,FALSE,FALSE,minor commercial,FALSE,TRUE,TRUE,,,,
Osteichthyes,Acanthuriformes,Acanthuridae,Acanthurus grammoptilus,Finelined surgeonfish ,"Finelined surgeonfish (English), Inshore surgeon (English), Inshore surgeonfish (English), Northwest surgeonfish (English), Ring-tailed surgeonfish (English)",Inshore Surgeonfish,"Acanthurus grammoptilus Richardson, 1843",,,LC,,,,,,native ,0,0,1,reef-associated,747,499,1095,275,0.75,0.7335,,"Hardie, D.C. and P.D.N. Hebert (2003). The nucleotypic effects of cellular DNA content in cartilaginous and ray-finned fishes. Genome 46: 683-706..Hardie, D.C. and P.D.N. Hebert (2004).  Genome-size evolution in fishes.  Canadian Journal of Fisheries and Aquatic Sciences 61: 1636-1646.  Click here to download data appendix..NA.NA",,,AUS,Australia,TRUE,FALSE,FALSE,commercial,FALSE,TRUE,TRUE,,,,
Osteichthyes,Acanthuriformes,Acanthuridae,Acanthurus guttatus,Whitespotted surgeonfish ,"Spotband surgeonfish (English), White-spotted surgeon (English), Whitespotted surgeonfish (English), White-spotted surgeonfish (English)",Whitespotted Surgeonfish,"Acanthurus guttatus Forster, 1801",,,LC,,,,,,native ,0,0,1,reef-associated,0,3,0,2,,,,,,,AUS,Australia,TRUE,FALSE,FALSE,commercial,FALSE,TRUE,TRUE,,,,
Osteichthyes,Acanthuriformes,Acanthuridae,Acanthurus lineatus,Lined surgeonfish ,"Bluelined surgeonfish (English), Blue-lined surgeonfish (English), Lined surgeon (English), Lined surgeonfish (English), Spoted box crab (English), Striped surgeon (English), Striped surgeonfish (English), Striped tang (English), Zebra surgeonfish (English)",Bluelined Surgeonfish,"Acanthurus lineatus (Linnaeus, 1758)",,,LC,,,,,NC_010108,native ,0,0,1,reef-associated,47,1434,11,1272,,,,,,,AUS,Australia,TRUE,TRUE,FALSE,commercial,FALSE,TRUE,TRUE,,,,
Osteichthyes,Acanthuriformes,Acanthuridae,Acanthurus maculiceps,White-freckled surgeonfish ,"Earbar surgeonfish (English), Spot-face surgeon (English), Spotted-face surgeonfish (English)",Spotted-face Surgeonfish,"Acanthurus maculiceps (Ahl, 1923)",,,LC,,,,,,native ,0,0,1,reef-associated,0,9,0,9,,,,,,,AUS,Australia,TRUE,FALSE,FALSE,commercial,FALSE,TRUE,TRUE,,,,
Osteichthyes,Acanthuriformes,Acanthuridae,Acanthurus mata,Elongate surgeonfish ,"Elongate surgeonfish (English), Pale surgeon (English), Pale surgeonfish (English), Yellowmask surgeonfish (English)",Pale Surgeonfish,"Acanthurus mata (Cuvier, 1829)",,,LC,,,,,,native ,0,0,1,reef-associated,26,129,259,149,,,,,,,AUS,Australia,TRUE,TRUE,FALSE,commercial,FALSE,TRUE,TRUE,,,,
Osteichthyes,Acanthuriformes,Acanthuridae,Acanthurus nigricans,Whitecheek surgeonfish ,"Goldrim surgeonfish (English), Velvet surgeon (English), Velvet surgeonfish (English), Whitecheek surgeonfish (English), White-cheeked surgeonfish (English), Yellow-banded surgeonfish (English), Yellowrimmed surgeonfish (English)",Velvet Surgeonfish,"Acanthurus nigricans (Linnaeus, 1758)",,,LC,,,,,,native ,0,0,1,reef-associated,200,539,41,398,,,,,,,AUS,Australia,TRUE,FALSE,FALSE,subsistence fisheries,FALSE,TRUE,TRUE,,,,
Osteichthyes,Acanthuriformes,Acanthuridae,Acanthurus nigricauda,Epaulette surgeonfish ,"Blackstreak surgeonfish (English), Epaulette surgeonfish (English), Eye-line surgeon (English), Eyeline surgeonfish (English), Eye-line surgeonfish (English)",Eyeline Surgeonfish,"Acanthurus nigricauda Duncker & Mohr, 1929",,,LC,,,,,,native ,0,1,1,reef-associated,43,564,15,452,,,,,,,AUS,Australia,TRUE,FALSE,FALSE,commercial,FALSE,TRUE,TRUE,,,,
Osteichthyes,Acanthuriformes,Acanthuridae,Acanthurus nigrofuscus,Brown surgeonfish ,"Brown surgeonfish (English), Dusky surgeon (English), Dusky surgeonfish (English)",Dusky Surgeonfish,"Acanthurus nigrofuscus (Forsskål, 1775)",,,LC,,,,,,native ,0,0,1,reef-associated,189,3255,35,2724,,,,,,,AUS,Australia,TRUE,TRUE,FALSE,commercial,FALSE,TRUE,TRUE,,,,
Osteichthyes,Acanthuriformes,Acanthuridae,Acanthurus nigroris,Bluelined surgeonfish ,"Bluelined surgeonfish (English), Greyhead surgeonfish (English), Grey-head surgeonfish (English)",,,,,LC,,,,,,native ,0,0,1,reef-associated,0,100,3,21,,,,,,,AUS,Australia,TRUE,FALSE,FALSE,no FB info,FALSE,TRUE,TRUE,,,,
Osteichthyes,Acanthuriformes,Acanthuridae,Acanthurus olivaceus,Orangespot surgeonfish ,"Orangeband surgeonfish (English), Orangebar surgeonfish (English), Orange-blotch surgeon (English), Orangeblotch surgeonfish (English), Orange-blotch surgeonfish (English), Orangespot surgeonfish (English), Orange-spot surgeonfish (English), Orange-spot surgeon-fish (English), Orangespot surgeon-fish (English)",Orangeblotch Surgeonfish,"Acanthurus olivaceus Bloch & Schneider, 1801",,,LC,,,,,,native ,0,0,1,reef-associated,56,531,236,502,,,,,,,AUS,Australia,TRUE,TRUE,FALSE,commercial,FALSE,TRUE,TRUE,,,,
Osteichthyes,Acanthuriformes,Acanthuridae,Acanthurus pyroferus,Chocolate surgeonfish ,"Mimic surgeon (English), Mimic surgeonfish (English), Orange-gilled surgeonfish (English), Pacific mimic surgeon (English)",Mimic Surgeonfish,"Acanthurus pyroferus Kittlitz, 1834",,,LC,,,,,,native ,0,0,1,reef-associated,20,412,12,222,,,,,,,AUS,Australia,TRUE,FALSE,FALSE,commercial,FALSE,TRUE,TRUE,,,,
Osteichthyes,Acanthuriformes,Acanthuridae,Acanthurus thompsoni,Thompson's surgeonfish ,"Chocolate surgeonfish (English), Night surgeonfish (English), Thompson's surgeonfish (English)",Night Surgeonfish,"Acanthurus thompsoni (Fowler, 1923)",,,LC,,,,,,native ,0,1,1,reef-associated,19,110,2,17,,,,,,,AUS,Australia,TRUE,FALSE,FALSE,no FB info,FALSE,TRUE,TRUE,,,,
Osteichthyes,Acanthuriformes,Acanthuridae,Acanthurus triostegus,Convict surgeonfish ,"Convict surgeon (English), Convict surgeonfish (English), Convict surgeon-fish (English), Five-banded surgeon-fish (English)",Convict Surgeonfish,"Acanthurus triostegus (Linnaeus, 1758)",,,LC,,,,,,native ,0,0,1,reef-associated,363,420,556,398,0.79,0.77262,48,"Ojima, Y. and K. Yamamoto (1990). Cellular DNA contents of fishes determined by flow cytometry. La Kromosomo II 57: 1871-1888.",,,AUS,Australia,TRUE,TRUE,TRUE,commercial,FALSE,TRUE,TRUE,,,,
Osteichthyes,Acanthuriformes,Acanthuridae,Acanthurus xanthopterus,Yellowfin surgeonfish ,"Ring-tailed surgeonfish (English), Yellowfin surgeonfish (English), Yellow-mask surgeon (English), Yellowmask surgeonfish (English), Yellow-masked surgeon (English)",Yellowmask Surgeonfish,"Acanthurus xanthopterus Valenciennes, 1835",,,LC,,,,,,native ,0,0,1,reef-associated,11,316,12,375,,,,,,,AUS,Australia,TRUE,FALSE,FALSE,minor commercial,FALSE,TRUE,TRUE,,,,
Osteichthyes,Acanthuriformes,Acanthuridae,Ctenochaetus binotatus,Twospot surgeonfish ,"Twospot bristletooth (English), Two-spot bristletooth (English), Two-spot bristle-tooth (English), Twospot surgeonfish (English)",Twospot Bristletooth,"Ctenochaetus binotatus Randall, 1955",,,LC,,,,,,native ,0,0,1,reef-associated,112,615,6,168,,,,,,,AUS,Australia,TRUE,TRUE,FALSE,no FB info,FALSE,FALSE,TRUE,,,,
Osteichthyes,Acanthuriformes,Acanthuridae,Ctenochaetus cyanocheilus,Short-tail bristle-tooth ,"Blue-lipped bristletooth (English), Bristle-toothed surgeonfish (English), Bristle-toothed surgeon-fish (English), Goldring bristletooth (English), Indo-pacific yellow tang (English), Yelloweye bristletooth (English), Yellow-eye surgeonfish (English)",Yelloweye Bristletooth,"Ctenochaetus cyanocheilus Randall & Clements, 2001",,,LC,,,,,,native ,0,0,1,reef-associated,44,156,18,18,,,,,,,AUS,Australia,TRUE,FALSE,FALSE,no FB info,FALSE,FALSE,TRUE,,,,
Osteichthyes,Acanthuriformes,Acanthuridae,Ctenochaetus striatus,Striated surgeonfish ,"Fine-lined bristletooth (English), Lined bristletooth (English), Striated surgeonfish (English), Striped bristletooth (English), Striped bristle-tooth (English)",Lined Bristletooth,"Ctenochaetus striatus (Quoy & Gaimard, 1825)",,,LC,,,,,,native ,0,0,1,reef-associated,418,1249,268,302,0.84,0.82152,48,"Ojima, Y. and K. Yamamoto (1990). Cellular DNA contents of fishes determined by flow cytometry. La Kromosomo II 57: 1871-1888.",,,AUS,Australia,TRUE,TRUE,FALSE,commercial,FALSE,FALSE,TRUE,,,,
Osteichthyes,Acanthuriformes,Acanthuridae,Ctenochaetus tominiensis,Tomini surgeonfish ,"Orange-tip bristletooth (English), Orange-tipped bristletooth (English), Tomini bristletooth (English), Yellow-tip bristletooth (English), Yellow-tip bristle-tooth (English)",Orange-tip Bristletooth,"Ctenochaetus tominiensis Randall, 1955",,,LC,,,,,NC_057232,native ,0,0,1,reef-associated,0,0,0,0,,,,,,,AUS,Australia,TRUE,FALSE,FALSE,no FB info,FALSE,FALSE,TRUE,,,,
Osteichthyes,Acanthuriformes,Acanthuridae,Ctenochaetus truncatus,Indian gold-ring bristle-tooth ,Yelloweye bristletooth (English),Yelloweye Bristletooth,"Ctenochaetus truncatus Randall & Clements, 2001",,,LC,,,,,,native ,0,0,1,reef-associated,1,0,7,23,,,,,,,AUS,Australia,TRUE,FALSE,FALSE,no FB info,FALSE,FALSE,TRUE,,,,
Osteichthyes,Acanthuriformes,Acanthuridae,Naso annulatus,Whitemargin unicornfish ,"Ringtailed unicornfish (English), Ring-tailed unicornfish (English), Ring-tailed unicorn-fish (English), Ringtail unicornfish (English), Short-horned unicorn-fish (English), White-margin unicorn (English), Whitemargin unicornfish (English)",Ringtail Unicornfish,"Naso annulatus (Quoy & Gaimard, 1825)",,,LC,,,,,,native ,0,0,1,reef-associated,7,94,263,167,,,,,,,AUS,Australia,TRUE,TRUE,FALSE,no FB info,FALSE,TRUE,TRUE,,,,
Osteichthyes,Acanthuriformes,Acanthuridae,Naso brachycentron,Humpback unicornfish ,"Humpback unicorn (English), Humpback unicornfish (English)",Humpback Unicornfish,"Naso brachycentron (Valenciennes, 1835)",,,LC,,,,,,native ,0,0,1,reef-associated,8,22,9,6,,,,,,,AUS,Australia,TRUE,FALSE,FALSE,no FB info,FALSE,TRUE,TRUE,,,,
Osteichthyes,Acanthuriformes,Acanthuridae,Naso brevirostris,Spotted unicornfish ,"Longnose surgeonfish (English), Longnosed unicornfish (English), Palefin unicornfish (English), Short-horned unicornfish (English), Short-snouted unicornfish (English), Spotted unicorn (English), Spotted unicornfish (English)",Spotted Unicornfish,"Naso brevirostris (Cuvier, 1829)",,,LC,,,,,,native ,0,0,1,reef-associated,56,312,107,139,,,,,,,AUS,Australia,TRUE,TRUE,TRUE,commercial,FALSE,TRUE,TRUE,,,,
Osteichthyes,Acanthuriformes,Acanthuridae,Naso caeruleacauda,Blue unicorn ,"Blue unicorn (English), Blue unicornfish (English), Bluetail unicornfish (English)",Blue Unicornfish,"Naso caeruleacauda Randall, 1994",,,LC,,,,,,native ,0,0,1,reef-associated,0,3,0,0,,,,,,,AUS,Australia,TRUE,FALSE,FALSE,no FB info,FALSE,TRUE,TRUE,,,,
Osteichthyes,Acanthuriformes,Acanthuridae,Naso caesius,Gray unicornfish ,"Gray unicornfish (English), Silverblotched unicornfish (English), Silver-blotched unicornfish (English)",Silverblotched Unicornfish,"Naso caesius Randall & Bell, 1992",,,LC,,,,,,native ,0,0,1,reef-associated,32,40,18,150,,,,,,,AUS,Australia,TRUE,FALSE,FALSE,no FB info,FALSE,TRUE,TRUE,,,,
Osteichthyes,Acanthuriformes,Acanthuridae,Naso fageni,Horseface unicornfish ,"Blunt unicornfish (English), Horse-face unicorn (English), Horseface unicornfish (English)",Horseface Unicornfish,"Naso fageni Morrow, 1954",,,LC,,,,,,native ,0,0,1,reef-associated,22,0,85,0,,,,,,,AUS,Australia,TRUE,FALSE,FALSE,commercial,FALSE,TRUE,TRUE,,,,
