sample,fastq_1,fastq_2,assay,site,Control,Bioregion,Subregion,Habitat
10a,10a~Fish16S.fastq.gz,,16S,10,FALSE,Kimberley,South Kimberley,Inshore
10b,10b~Fish16S.fastq.gz,,16S,10,FALSE,Kimberley,South Kimberley,Inshore
10c,10c~Fish16S.fastq.gz,,16S,10,FALSE,Kimberley,South Kimberley,Inshore
10d,10d~Fish16S.fastq.gz,,16S,10,FALSE,Kimberley,South Kimberley,Inshore
11a,11a~Fish16S.fastq.gz,,16S,11,FALSE,Kimberley,South Kimberley,Inshore
11b,11b~Fish16S.fastq.gz,,16S,11,FALSE,Kimberley,South Kimberley,Inshore
11c,11c~Fish16S.fastq.gz,,16S,11,FALSE,Kimberley,South Kimberley,Inshore
11d,11d~Fish16S.fastq.gz,,16S,11,FALSE,Kimberley,South Kimberley,Inshore
12a,12a~Fish16S.fastq.gz,,16S,12,FALSE,Kimberley,South Kimberley,Inshore
12b,12b~Fish16S.fastq.gz,,16S,12,FALSE,Kimberley,South Kimberley,Inshore
12c,12c~Fish16S.fastq.gz,,16S,12,FALSE,Kimberley,South Kimberley,Inshore
12d,12d~Fish16S.fastq.gz,,16S,12,FALSE,Kimberley,South Kimberley,Inshore
13a,13a~Fish16S.fastq.gz,,16S,13,FALSE,Kimberley,South Kimberley,Coastal
13b,13b~Fish16S.fastq.gz,,16S,13,FALSE,Kimberley,South Kimberley,Coastal
13c,13c~Fish16S.fastq.gz,,16S,13,FALSE,Kimberley,South Kimberley,Coastal
13d,13d~Fish16S.fastq.gz,,16S,13,FALSE,Kimberley,South Kimberley,Coastal
14a,14a~Fish16S.fastq.gz,,16S,14,FALSE,Kimberley,South Kimberley,Coastal
14b,14b~Fish16S.fastq.gz,,16S,14,FALSE,Kimberley,South Kimberley,Coastal
14c,14c~Fish16S.fastq.gz,,16S,14,FALSE,Kimberley,South Kimberley,Coastal
14d,14d~Fish16S.fastq.gz,,16S,14,FALSE,Kimberley,South Kimberley,Coastal
15a,15a~Fish16S.fastq.gz,,16S,15,FALSE,Kimberley,South Kimberley,Coastal
15b,15b~Fish16S.fastq.gz,,16S,15,FALSE,Kimberley,South Kimberley,Coastal
15c,15c~Fish16S.fastq.gz,,16S,15,FALSE,Kimberley,South Kimberley,Coastal
15d,15d~Fish16S.fastq.gz,,16S,15,FALSE,Kimberley,South Kimberley,Coastal
16a,16a~Fish16S.fastq.gz,,16S,16,FALSE,Kimberley,South Kimberley,Coastal
16b,16b~Fish16S.fastq.gz,,16S,16,FALSE,Kimberley,South Kimberley,Coastal
16c,16c~Fish16S.fastq.gz,,16S,16,FALSE,Kimberley,South Kimberley,Coastal
16d,16d~Fish16S.fastq.gz,,16S,16,FALSE,Kimberley,South Kimberley,Coastal
17a,17a~Fish16S.fastq.gz,,16S,17,FALSE,Kimberley,South Kimberley,Coastal
17b,17b~Fish16S.fastq.gz,,16S,17,FALSE,Kimberley,South Kimberley,Coastal
17c,17c~Fish16S.fastq.gz,,16S,17,FALSE,Kimberley,South Kimberley,Coastal
17d,17d~Fish16S.fastq.gz,,16S,17,FALSE,Kimberley,South Kimberley,Coastal
18a,18a~Fish16S.fastq.gz,,16S,18,FALSE,Kimberley,South Kimberley,Nearshore Estuarine
18b,18b~Fish16S.fastq.gz,,16S,18,FALSE,Kimberley,South Kimberley,Nearshore Estuarine
18c,18c~Fish16S.fastq.gz,,16S,18,FALSE,Kimberley,South Kimberley,Nearshore Estuarine
18d,18d~Fish16S.fastq.gz,,16S,18,FALSE,Kimberley,South Kimberley,Nearshore Estuarine
19a,19a~Fish16S.fastq.gz,,16S,19,FALSE,Kimberley,South Kimberley,Nearshore Estuarine
19b,19b~Fish16S.fastq.gz,,16S,19,FALSE,Kimberley,South Kimberley,Nearshore Estuarine
19c,19c~Fish16S.fastq.gz,,16S,19,FALSE,Kimberley,South Kimberley,Nearshore Estuarine
19d,19d~Fish16S.fastq.gz,,16S,19,FALSE,Kimberley,South Kimberley,Nearshore Estuarine
1a,1a~Fish16S.fastq.gz,,16S,1,FALSE,Canning,Dampier Peninsula,Inshore
1b,1b~Fish16S.fastq.gz,,16S,1,FALSE,Canning,Dampier Peninsula,Inshore
1c,1c~Fish16S.fastq.gz,,16S,1,FALSE,Canning,Dampier Peninsula,Inshore
1d,1d~Fish16S.fastq.gz,,16S,1,FALSE,Canning,Dampier Peninsula,Inshore
20a,20a~Fish16S.fastq.gz,,16S,20,FALSE,Kimberley,South Kimberley,Nearshore Estuarine
20b,20b~Fish16S.fastq.gz,,16S,20,FALSE,Kimberley,South Kimberley,Nearshore Estuarine
20c,20c~Fish16S.fastq.gz,,16S,20,FALSE,Kimberley,South Kimberley,Nearshore Estuarine
20d,20d~Fish16S.fastq.gz,,16S,20,FALSE,Kimberley,South Kimberley,Nearshore Estuarine
21a,21a~Fish16S.fastq.gz,,16S,21,FALSE,Kimberley,South Kimberley,Coastal
21b,21b~Fish16S.fastq.gz,,16S,21,FALSE,Kimberley,South Kimberley,Coastal
21c,21c~Fish16S.fastq.gz,,16S,21,FALSE,Kimberley,South Kimberley,Coastal
21d,21d~Fish16S.fastq.gz,,16S,21,FALSE,Kimberley,South Kimberley,Coastal
22a,22a~Fish16S.fastq.gz,,16S,22,FALSE,Kimberley,South Kimberley,Coastal
22b,22b~Fish16S.fastq.gz,,16S,22,FALSE,Kimberley,South Kimberley,Coastal
22c,22c~Fish16S.fastq.gz,,16S,22,FALSE,Kimberley,South Kimberley,Coastal
22d,22d~Fish16S.fastq.gz,,16S,22,FALSE,Kimberley,South Kimberley,Coastal
23a,23a~Fish16S.fastq.gz,,16S,23,FALSE,Kimberley,South Kimberley,Coastal
23b,23b~Fish16S.fastq.gz,,16S,23,FALSE,Kimberley,South Kimberley,Coastal
23c,23c~Fish16S.fastq.gz,,16S,23,FALSE,Kimberley,South Kimberley,Coastal
23d,23d~Fish16S.fastq.gz,,16S,23,FALSE,Kimberley,South Kimberley,Coastal
24a,24a~Fish16S.fastq.gz,,16S,24,FALSE,Kimberley,South Kimberley,Coastal
24b,24b~Fish16S.fastq.gz,,16S,24,FALSE,Kimberley,South Kimberley,Coastal
24c,24c~Fish16S.fastq.gz,,16S,24,FALSE,Kimberley,South Kimberley,Coastal
24d,24d~Fish16S.fastq.gz,,16S,24,FALSE,Kimberley,South Kimberley,Coastal
25a,25a~Fish16S.fastq.gz,,16S,25,FALSE,Kimberley,South Kimberley,Coastal
25b,25b~Fish16S.fastq.gz,,16S,25,FALSE,Kimberley,South Kimberley,Coastal
25c,25c~Fish16S.fastq.gz,,16S,25,FALSE,Kimberley,South Kimberley,Coastal
25d,25d~Fish16S.fastq.gz,,16S,25,FALSE,Kimberley,South Kimberley,Coastal
