Sample ID,Sites,Atoll,Environment,Replicate ID,Latitude,Longitude,Site depth (m),Year,Month,Day,Time Start,Depth Temperature C,Sampling Method,Filtration Device,Volume Filtered,Comments,Field Personnel,Extraction Tube ID,Digestion Data,Extraction Date
RS1_ME_S1_1,ME_S1,Mermaid,Slope,1,-17.06570848,119.6496657,5,2021,August,7,11:02,25,"Niskin sampler, manual",Grover pump,1,,"MC, Loz, Liv, Ben",1,8/08/2021,9/08/2021
RS1_ME_S1_2,ME_S1,Mermaid,Slope,2,-17.06570848,119.6496657,5,2021,August,7,11:02,25,"Niskin sampler, manual",Grover pump,1,,"MC, Loz, Liv, Ben",2,8/08/2021,9/08/2021
RS1_ME_S1_3,ME_S1,Mermaid,Slope,3,-17.06570848,119.6496657,5,2021,August,7,11:02,25,"Niskin sampler, manual",Grover pump,1,,"MC, Loz, Liv, Ben",3,8/08/2021,9/08/2021
RS1_ME_S1_4,ME_S1,Mermaid,Slope,4,-17.06570848,119.6496657,5,2021,August,7,11:02,25,"Niskin sampler, manual",Grover pump,1,,"MC, Loz, Liv, Ben",4,8/08/2021,9/08/2021
RS1_ME_S1_5,ME_S1,Mermaid,Slope,5,-17.06570848,119.6496657,5,2021,August,7,11:02,25,"Niskin sampler, manual",Grover pump,1,,"MC, Loz, Liv, Ben",5,8/08/2021,9/08/2021
RS1_ME_S1_WC,ME_S1,Mermaid,Slope,WC,NA,NA,NA,2021,August,7,,,,Grover pump,1,Water Control,,W 1-5,8/08/2021,9/08/2021
RS1_ME_S2_1,ME_S2,Mermaid,Slope,1,-17.06847245,119.6527131,3.2,2021,August,7,11:44,25,"Niskin sampler, manual",Grover pump,1,,"MC, Loz, Liv, Ben",6,8/08/2021,9/08/2021
RS1_ME_S2_2,ME_S2,Mermaid,Slope,2,-17.06847245,119.6527131,3.2,2021,August,7,11:44,25,"Niskin sampler, manual",Grover pump,1,,"MC, Loz, Liv, Ben",7,8/08/2021,9/08/2021
RS1_ME_S2_3,ME_S2,Mermaid,Slope,3,-17.06847245,119.6527131,3.2,2021,August,7,11:44,25,"Niskin sampler, manual",Grover pump,1,,"MC, Loz, Liv, Ben",8,8/08/2021,9/08/2021
RS1_ME_S2_4,ME_S2,Mermaid,Slope,4,-17.06847245,119.6527131,3.2,2021,August,7,11:44,25,"Niskin sampler, manual",Grover pump,1,,"MC, Loz, Liv, Ben",9,8/08/2021,9/08/2021
