file                            format  type  num_seqs     sum_len  min_len  avg_len  max_len    Q1   Q2    Q3  sum_gap  N50  Q20(%)  Q30(%)
V10_CKI_BC_10_16S.1.fq.gz       FASTQ   DNA      1,012     162,932      161      161      161  80.5  161  80.5        0  161   94.58   89.39
V10_CKI_BC_10_16S.2.fq.gz       FASTQ   DNA      1,012     162,932      161      161      161  80.5  161  80.5        0  161   61.57   47.63
V10_CKI_BC_11_16S.1.fq.gz       FASTQ   DNA        149      23,989      161      161      161  80.5  161  80.5        0  161    92.4   86.46
V10_CKI_BC_11_16S.2.fq.gz       FASTQ   DNA        149      23,989      161      161      161  80.5  161  80.5        0  161   91.93   85.65
V10_CKI_BC_12_16S.1.fq.gz       FASTQ   DNA      1,855     298,655      161      161      161  80.5  161  80.5        0  161   93.23   87.21
V10_CKI_BC_12_16S.2.fq.gz       FASTQ   DNA      1,855     298,655      161      161      161  80.5  161  80.5        0  161   60.28   45.76
V10_CKI_BC_13_16S.1.fq.gz       FASTQ   DNA          1         161      161      161      161  80.5  161  80.5        0  161   55.28   39.13
V10_CKI_BC_13_16S.2.fq.gz       FASTQ   DNA          1         161      161      161      161  80.5  161  80.5        0  161    64.6   42.86
V10_CKI_BC_6_16S.1.fq.gz        FASTQ   DNA        217      34,937      161      161      161  80.5  161  80.5        0  161   93.37   87.76
V10_CKI_BC_6_16S.2.fq.gz        FASTQ   DNA        217      34,937      161      161      161  80.5  161  80.5        0  161   92.83   86.73
V10_CKI_BC_7_16S.1.fq.gz        FASTQ   DNA      1,129     181,769      161      161      161  80.5  161  80.5        0  161    93.9   88.41
V10_CKI_BC_7_16S.2.fq.gz        FASTQ   DNA      1,129     181,769      161      161      161  80.5  161  80.5        0  161   95.09   89.65
V10_CKI_BC_8_16S.1.fq.gz        FASTQ   DNA        293      47,173      161      161      161  80.5  161  80.5        0  161   92.97   87.57
V10_CKI_BC_8_16S.2.fq.gz        FASTQ   DNA        293      47,173      161      161      161  80.5  161  80.5        0  161   94.13    88.4
V10_CKI_BC_9_16S.1.fq.gz        FASTQ   DNA      2,447     393,967      161      161      161  80.5  161  80.5        0  161    94.4   88.94
V10_CKI_BC_9_16S.2.fq.gz        FASTQ   DNA      2,447     393,967      161      161      161  80.5  161  80.5        0  161   64.41   50.41
V10_CKI_EB_10_16S.1.fq.gz       FASTQ   DNA        193      31,073      161      161      161  80.5  161  80.5        0  161   91.43   85.38
V10_CKI_EB_10_16S.2.fq.gz       FASTQ   DNA        193      31,073      161      161      161  80.5  161  80.5        0  161   92.73   87.06
V10_CKI_EB_11_16S.1.fq.gz       FASTQ   DNA        177      28,497      161      161      161  80.5  161  80.5        0  161    92.7   86.75
V10_CKI_EB_11_16S.2.fq.gz       FASTQ   DNA        177      28,497      161      161      161  80.5  161  80.5        0  161   92.43   86.17
V10_CKI_EB_12_16S.1.fq.gz       FASTQ   DNA        112      18,032      161      161      161  80.5  161  80.5        0  161   92.61   86.65
V10_CKI_EB_12_16S.2.fq.gz       FASTQ   DNA        112      18,032      161      161      161  80.5  161  80.5        0  161   93.44   87.61
V10_CKI_EB_13_16S.1.fq.gz       FASTQ   DNA        670     107,870      161      161      161  80.5  161  80.5        0  161   93.27   87.55
V10_CKI_EB_13_16S.2.fq.gz       FASTQ   DNA        670     107,870      161      161      161  80.5  161  80.5        0  161   93.83    88.2
V10_CKI_EB_5_16S.1.fq.gz        FASTQ   DNA      3,227     519,547      161      161      161  80.5  161  80.5        0  161   94.19   88.78
V10_CKI_EB_5_16S.2.fq.gz        FASTQ   DNA      3,227     519,547      161      161      161  80.5  161  80.5        0  161   96.16   91.36
V10_CKI_EB_6_16S.1.fq.gz        FASTQ   DNA        391      62,951      161      161      161  80.5  161  80.5        0  161   93.07   87.39
V10_CKI_EB_6_16S.2.fq.gz        FASTQ   DNA        391      62,951      161      161      161  80.5  161  80.5        0  161   93.75   88.15
V10_CKI_EB_7_16S.1.fq.gz        FASTQ   DNA        127      20,447      161      161      161  80.5  161  80.5        0  161   92.03    85.8
V10_CKI_EB_7_16S.2.fq.gz        FASTQ   DNA        127      20,447      161      161      161  80.5  161  80.5        0  161   92.22      86
V10_CKI_EB_8_16S.1.fq.gz        FASTQ   DNA        200      32,200      161      161      161  80.5  161  80.5        0  161   93.48   87.51
V10_CKI_EB_8_16S.2.fq.gz        FASTQ   DNA        200      32,200      161      161      161  80.5  161  80.5        0  161   94.23   88.95
V10_CKI_EB_9_16S.1.fq.gz        FASTQ   DNA        659     106,099      161      161      161  80.5  161  80.5        0  161   93.52   87.87
V10_CKI_EB_9_16S.2.fq.gz        FASTQ   DNA        659     106,099      161      161      161  80.5  161  80.5        0  161    77.9   67.58
V10_CKI_N_15_1_16S.1.fq.gz      FASTQ   DNA     43,729   7,040,369      161      161      161  80.5  161  80.5        0  161   93.99   88.68
V10_CKI_N_15_1_16S.2.fq.gz      FASTQ   DNA     43,729   7,040,369      161      161      161  80.5  161  80.5        0  161    95.7   90.74
V10_CKI_N_15_2_16S.1.fq.gz      FASTQ   DNA     29,704   4,782,344      161      161      161  80.5  161  80.5        0  161    94.3   88.81
V10_CKI_N_15_2_16S.2.fq.gz      FASTQ   DNA     29,704   4,782,344      161      161      161  80.5  161  80.5        0  161   95.75   90.73
V10_CKI_N_15_3_16S.1.fq.gz      FASTQ   DNA     55,740   8,974,140      161      161      161  80.5  161  80.5        0  161   94.59   89.31
V10_CKI_N_15_3_16S.2.fq.gz      FASTQ   DNA     55,740   8,974,140      161      161      161  80.5  161  80.5        0  161   95.82   91.02
V10_CKI_N_15_4_16S.1.fq.gz      FASTQ   DNA     48,103   7,744,583      161      161      161  80.5  161  80.5        0  161   94.54   89.18
V10_CKI_N_15_4_16S.2.fq.gz      FASTQ   DNA     48,103   7,744,583      161      161      161  80.5  161  80.5        0  161   95.18   89.73
V10_CKI_N_15_5_16S.1.fq.gz      FASTQ   DNA     43,050   6,931,050      161      161      161  80.5  161  80.5        0  161   94.47   89.26
V10_CKI_N_15_5_16S.2.fq.gz      FASTQ   DNA     43,050   6,931,050      161      161      161  80.5  161  80.5        0  161   95.63    90.5
V10_CKI_N_15_DI_16S.1.fq.gz     FASTQ   DNA        168      27,048      161      161      161  80.5  161  80.5        0  161   91.44   85.03
V10_CKI_N_15_DI_16S.2.fq.gz     FASTQ   DNA        168      27,048      161      161      161  80.5  161  80.5        0  161   92.17   86.34
V10_CKI_N_15_WC_16S.1.fq.gz     FASTQ   DNA      1,382     222,502      161      161      161  80.5  161  80.5        0  161   93.99   88.25
V10_CKI_N_15_WC_16S.2.fq.gz     FASTQ   DNA      1,382     222,502      161      161      161  80.5  161  80.5        0  161   95.27   89.95
V10_CKI_N_16_1_16S.1.fq.gz      FASTQ   DNA     26,335   4,239,935      161      161      161  80.5  161  80.5        0  161   94.99   89.93
V10_CKI_N_16_1_16S.2.fq.gz      FASTQ   DNA     26,335   4,239,935      161      161      161  80.5  161  80.5        0  161   95.75   90.92
V10_CKI_N_16_2_16S.1.fq.gz      FASTQ   DNA     45,082   7,258,202      161      161      161  80.5  161  80.5        0  161   94.99   89.97
V10_CKI_N_16_2_16S.2.fq.gz      FASTQ   DNA     45,082   7,258,202      161      161      161  80.5  161  80.5        0  161   95.88   91.08
V10_CKI_N_16_3_16S.1.fq.gz      FASTQ   DNA     26,129   4,206,769      161      161      161  80.5  161  80.5        0  161   95.16   90.23
V10_CKI_N_16_3_16S.2.fq.gz      FASTQ   DNA     26,129   4,206,769      161      161      161  80.5  161  80.5        0  161   95.99   91.18
V10_CKI_N_16_4_16S.1.fq.gz      FASTQ   DNA     52,082   8,385,202      161      161      161  80.5  161  80.5        0  161   95.14   90.15
V10_CKI_N_16_4_16S.2.fq.gz      FASTQ   DNA     52,082   8,385,202      161      161      161  80.5  161  80.5        0  161   95.43   90.26
V10_CKI_N_16_5_16S.1.fq.gz      FASTQ   DNA     41,632   6,702,752      161      161      161  80.5  161  80.5        0  161   95.05   89.83
V10_CKI_N_16_5_16S.2.fq.gz      FASTQ   DNA     41,632   6,702,752      161      161      161  80.5  161  80.5        0  161   96.11   91.45
V10_CKI_N_16_DI_16S.1.fq.gz     FASTQ   DNA      1,446     232,806      161      161      161  80.5  161  80.5        0  161   94.36   88.83
V10_CKI_N_16_DI_16S.2.fq.gz     FASTQ   DNA      1,446     232,806      161      161      161  80.5  161  80.5        0  161   94.87    89.2
V10_CKI_N_16_WC_16S.1.fq.gz     FASTQ   DNA      7,689   1,237,929      161      161      161  80.5  161  80.5        0  161   94.24   88.63
V10_CKI_N_16_WC_16S.2.fq.gz     FASTQ   DNA      7,689   1,237,929      161      161      161  80.5  161  80.5        0  161   95.11   89.68
V10_CKI_N_17_1_16S.1.fq.gz      FASTQ   DNA     18,563   2,988,643      161      161      161  80.5  161  80.5        0  161   94.31   88.79
V10_CKI_N_17_1_16S.2.fq.gz      FASTQ   DNA     18,563   2,988,643      161      161      161  80.5  161  80.5        0  161   95.02   89.23
V10_CKI_N_17_2_16S.1.fq.gz      FASTQ   DNA     42,321   6,813,681      161      161      161  80.5  161  80.5        0  161   94.54   89.19
V10_CKI_N_17_2_16S.2.fq.gz      FASTQ   DNA     42,321   6,813,681      161      161      161  80.5  161  80.5        0  161   95.37    90.1
V10_CKI_N_17_3_16S.1.fq.gz      FASTQ   DNA     34,689   5,584,929      161      161      161  80.5  161  80.5        0  161   95.16   90.13
V10_CKI_N_17_3_16S.2.fq.gz      FASTQ   DNA     34,689   5,584,929      161      161      161  80.5  161  80.5        0  161   95.77    90.8
V10_CKI_N_17_4_16S.1.fq.gz      FASTQ   DNA     46,827   7,539,147      161      161      161  80.5  161  80.5        0  161   94.34   88.96
V10_CKI_N_17_4_16S.2.fq.gz      FASTQ   DNA     46,827   7,539,147      161      161      161  80.5  161  80.5        0  161   94.35   88.66
V10_CKI_N_17_5_16S.1.fq.gz      FASTQ   DNA     38,406   6,183,366      161      161      161  80.5  161  80.5        0  161   94.61   89.34
V10_CKI_N_17_5_16S.2.fq.gz      FASTQ   DNA     38,406   6,183,366      161      161      161  80.5  161  80.5        0  161   95.09   89.73
V10_CKI_N_17_DI_16S.1.fq.gz     FASTQ   DNA      1,525     245,525      161      161      161  80.5  161  80.5        0  161   93.65   87.94
V10_CKI_N_17_DI_16S.2.fq.gz     FASTQ   DNA      1,525     245,525      161      161      161  80.5  161  80.5        0  161   93.88   87.65
V10_CKI_N_17_WC_16S.1.fq.gz     FASTQ   DNA        528      85,008      161      161      161  80.5  161  80.5        0  161    90.6   84.43
V10_CKI_N_17_WC_16S.2.fq.gz     FASTQ   DNA        528      85,008      161      161      161  80.5  161  80.5        0  161      90    83.4
V10_CKI_N_18_1_16S.1.fq.gz      FASTQ   DNA     56,097   9,031,617      161      161      161  80.5  161  80.5        0  161   94.38   88.95
V10_CKI_N_18_1_16S.2.fq.gz      FASTQ   DNA     56,097   9,031,617      161      161      161  80.5  161  80.5        0  161   95.01   89.41
V10_CKI_N_18_2_16S.1.fq.gz      FASTQ   DNA     24,502   3,944,822      161      161      161  80.5  161  80.5        0  161   93.42   87.92
V10_CKI_N_18_2_16S.2.fq.gz      FASTQ   DNA     24,502   3,944,822      161      161      161  80.5  161  80.5        0  161   94.99   89.26
V10_CKI_N_18_3_16S.1.fq.gz      FASTQ   DNA     58,506   9,419,466      161      161      161  80.5  161  80.5        0  161   94.58   89.35
V10_CKI_N_18_3_16S.2.fq.gz      FASTQ   DNA     58,506   9,419,466      161      161      161  80.5  161  80.5        0  161   94.92   89.25
V10_CKI_N_18_4_16S.1.fq.gz      FASTQ   DNA     35,050   5,643,050      161      161      161  80.5  161  80.5        0  161   94.69   89.43
V10_CKI_N_18_4_16S.2.fq.gz      FASTQ   DNA     35,050   5,643,050      161      161      161  80.5  161  80.5        0  161   95.28   89.81
V10_CKI_N_18_5_16S.1.fq.gz      FASTQ   DNA     61,240   9,859,640      161      161      161  80.5  161  80.5        0  161    94.7    89.6
V10_CKI_N_18_5_16S.2.fq.gz      FASTQ   DNA     61,240   9,859,640      161      161      161  80.5  161  80.5        0  161   94.98   89.45
V10_CKI_N_18_DI_16S.1.fq.gz     FASTQ   DNA        412      66,332      161      161      161  80.5  161  80.5        0  161    92.9   87.23
V10_CKI_N_18_DI_16S.2.fq.gz     FASTQ   DNA        412      66,332      161      161      161  80.5  161  80.5        0  161   92.97   86.91
V10_CKI_N_18_WC_16S.1.fq.gz     FASTQ   DNA        249      40,089      161      161      161  80.5  161  80.5        0  161   92.89   87.31
V10_CKI_N_18_WC_16S.2.fq.gz     FASTQ   DNA        249      40,089      161      161      161  80.5  161  80.5        0  161   92.59   86.14
V10_CKI_N_19_1_16S.1.fq.gz      FASTQ   DNA     39,899   6,423,739      161      161      161  80.5  161  80.5        0  161   94.75   89.61
V10_CKI_N_19_1_16S.2.fq.gz      FASTQ   DNA     39,899   6,423,739      161      161      161  80.5  161  80.5        0  161   95.03   89.52
V10_CKI_N_19_2_16S.1.fq.gz      FASTQ   DNA     29,922   4,817,442      161      161      161  80.5  161  80.5        0  161   94.68   89.62
V10_CKI_N_19_2_16S.2.fq.gz      FASTQ   DNA     29,922   4,817,442      161      161      161  80.5  161  80.5        0  161   94.86   89.15
V10_CKI_N_19_3_16S.1.fq.gz      FASTQ   DNA     22,850   3,678,850      161      161      161  80.5  161  80.5        0  161   94.62    89.4
V10_CKI_N_19_3_16S.2.fq.gz      FASTQ   DNA     22,850   3,678,850      161      161      161  80.5  161  80.5        0  161   95.34   90.13
