file                               format  type  num_seqs     sum_len  min_len  avg_len  max_len    Q1   Q2    Q3  sum_gap  N50  Q20(%)  Q30(%)
NTC_MiFish.1.fq.gz                 FASTQ   DNA        188      30,268      161      161      161  80.5  161  80.5        0  161   91.38   84.98
NTC_MiFish.2.fq.gz                 FASTQ   DNA        188      30,268      161      161      161  80.5  161  80.5        0  161   93.79   88.05
V10_CKI_BC_10_MiFish.1.fq.gz       FASTQ   DNA      8,510   1,370,110      161      161      161  80.5  161  80.5        0  161   93.78   88.37
V10_CKI_BC_10_MiFish.2.fq.gz       FASTQ   DNA      8,510   1,370,110      161      161      161  80.5  161  80.5        0  161   95.16   90.19
V10_CKI_BC_11_MiFish.1.fq.gz       FASTQ   DNA      8,204   1,320,844      161      161      161  80.5  161  80.5        0  161   93.88   88.55
V10_CKI_BC_11_MiFish.2.fq.gz       FASTQ   DNA      8,204   1,320,844      161      161      161  80.5  161  80.5        0  161   95.51   90.87
V10_CKI_BC_12_MiFish.1.fq.gz       FASTQ   DNA     10,523   1,694,203      161      161      161  80.5  161  80.5        0  161   93.05   86.92
V10_CKI_BC_12_MiFish.2.fq.gz       FASTQ   DNA     10,523   1,694,203      161      161      161  80.5  161  80.5        0  161   95.48    90.7
V10_CKI_BC_13_MiFish.1.fq.gz       FASTQ   DNA      4,382     705,502      161      161      161  80.5  161  80.5        0  161   94.21   88.84
V10_CKI_BC_13_MiFish.2.fq.gz       FASTQ   DNA      4,382     705,502      161      161      161  80.5  161  80.5        0  161   96.04   91.39
V10_CKI_BC_6_MiFish.1.fq.gz        FASTQ   DNA      4,569     735,609      161      161      161  80.5  161  80.5        0  161    92.4   86.32
V10_CKI_BC_6_MiFish.2.fq.gz        FASTQ   DNA      4,569     735,609      161      161      161  80.5  161  80.5        0  161   94.36   89.05
V10_CKI_BC_7_MiFish.1.fq.gz        FASTQ   DNA      6,333   1,019,613      161      161      161  80.5  161  80.5        0  161   92.21   85.76
V10_CKI_BC_7_MiFish.2.fq.gz        FASTQ   DNA      6,333   1,019,613      161      161      161  80.5  161  80.5        0  161   94.57   89.06
V10_CKI_BC_8_MiFish.1.fq.gz        FASTQ   DNA     18,370   2,957,570      161      161      161  80.5  161  80.5        0  161   92.35   85.59
V10_CKI_BC_8_MiFish.2.fq.gz        FASTQ   DNA     18,370   2,957,570      161      161      161  80.5  161  80.5        0  161   96.22   91.87
V10_CKI_BC_9_MiFish.1.fq.gz        FASTQ   DNA      5,623     905,303      161      161      161  80.5  161  80.5        0  161   90.53   82.91
V10_CKI_BC_9_MiFish.2.fq.gz        FASTQ   DNA      5,623     905,303      161      161      161  80.5  161  80.5        0  161   95.11   90.14
V10_CKI_EB_10_MiFish.1.fq.gz       FASTQ   DNA      5,502     885,822      161      161      161  80.5  161  80.5        0  161   93.63   88.15
V10_CKI_EB_10_MiFish.2.fq.gz       FASTQ   DNA      5,502     885,822      161      161      161  80.5  161  80.5        0  161   95.09      90
V10_CKI_EB_11_MiFish.1.fq.gz       FASTQ   DNA     11,499   1,851,339      161      161      161  80.5  161  80.5        0  161   93.98   88.68
V10_CKI_EB_11_MiFish.2.fq.gz       FASTQ   DNA     11,499   1,851,339      161      161      161  80.5  161  80.5        0  161   95.03   90.09
V10_CKI_EB_12_MiFish.1.fq.gz       FASTQ   DNA      7,976   1,284,136      161      161      161  80.5  161  80.5        0  161      93   86.81
V10_CKI_EB_12_MiFish.2.fq.gz       FASTQ   DNA      7,976   1,284,136      161      161      161  80.5  161  80.5        0  161   95.68   90.94
V10_CKI_EB_13_MiFish.1.fq.gz       FASTQ   DNA      2,868     461,748      161      161      161  80.5  161  80.5        0  161   94.63   89.57
V10_CKI_EB_13_MiFish.2.fq.gz       FASTQ   DNA      2,868     461,748      161      161      161  80.5  161  80.5        0  161   95.95   91.35
V10_CKI_EB_5_MiFish.1.fq.gz        FASTQ   DNA      6,093     980,973      161      161      161  80.5  161  80.5        0  161   90.46   82.76
