file                            format  type  num_seqs     sum_len  min_len  avg_len  max_len    Q1   Q2    Q3  sum_gap  N50  Q20(%)  Q30(%)
NTC1_16S.1.fq.gz                FASTQ   DNA         39       5,577      143      143      143  71.5  143  71.5        0  143   89.99   84.15
NTC1_16S.2.fq.gz                FASTQ   DNA         39       5,577      143      143      143  71.5  143  71.5        0  143   86.79   79.88
V10_CKI_BC_1_16S.1.fq.gz        FASTQ   DNA     19,598   2,802,514      143      143      143  71.5  143  71.5        0  143   96.26   92.38
V10_CKI_BC_1_16S.2.fq.gz        FASTQ   DNA     19,598   2,802,514      143      143      143  71.5  143  71.5        0  143   96.61    92.9
V10_CKI_BC_2_16S.1.fq.gz        FASTQ   DNA     25,296   3,617,328      143      143      143  71.5  143  71.5        0  143   96.52   92.66
V10_CKI_BC_2_16S.2.fq.gz        FASTQ   DNA     25,296   3,617,328      143      143      143  71.5  143  71.5        0  143   96.05   91.48
V10_CKI_BC_3_16S.1.fq.gz        FASTQ   DNA     32,838   4,695,834      143      143      143  71.5  143  71.5        0  143   97.11   93.51
V10_CKI_BC_3_16S.2.fq.gz        FASTQ   DNA     32,838   4,695,834      143      143      143  71.5  143  71.5        0  143   96.66   92.57
V10_CKI_BC_4_16S.1.fq.gz        FASTQ   DNA      2,311     330,473      143      143      143  71.5  143  71.5        0  143   96.12   92.13
V10_CKI_BC_4_16S.2.fq.gz        FASTQ   DNA      2,311     330,473      143      143      143  71.5  143  71.5        0  143   94.56   89.73
V10_CKI_BC_5_16S.1.fq.gz        FASTQ   DNA         65       9,295      143      143      143  71.5  143  71.5        0  143   94.23   89.52
V10_CKI_BC_5_16S.2.fq.gz        FASTQ   DNA         65       9,295      143      143      143  71.5  143  71.5        0  143   93.95   88.45
V10_CKI_EB_1_16S.1.fq.gz        FASTQ   DNA     11,006   1,573,858      143      143      143  71.5  143  71.5        0  143   96.56    92.7
V10_CKI_EB_1_16S.2.fq.gz        FASTQ   DNA     11,006   1,573,858      143      143      143  71.5  143  71.5        0  143   95.38   90.13
V10_CKI_EB_2_16S.1.fq.gz        FASTQ   DNA        871     124,553      143      143      143  71.5  143  71.5        0  143   93.52    88.7
V10_CKI_EB_2_16S.2.fq.gz        FASTQ   DNA        871     124,553      143      143      143  71.5  143  71.5        0  143   92.49   86.93
V10_CKI_EB_3_16S.1.fq.gz        FASTQ   DNA        804     114,972      143      143      143  71.5  143  71.5        0  143   94.52   90.11
V10_CKI_EB_3_16S.2.fq.gz        FASTQ   DNA        804     114,972      143      143      143  71.5  143  71.5        0  143   92.65   87.16
V10_CKI_EB_4_16S.1.fq.gz        FASTQ   DNA      1,024     146,432      143      143      143  71.5  143  71.5        0  143   94.58   89.67
V10_CKI_EB_4_16S.2.fq.gz        FASTQ   DNA      1,024     146,432      143      143      143  71.5  143  71.5        0  143   93.73   88.42
V10_CKI_N_10_1_16S.1.fq.gz      FASTQ   DNA    152,178  21,761,454      143      143      143  71.5  143  71.5        0  143   97.07   93.43
V10_CKI_N_10_1_16S.2.fq.gz      FASTQ   DNA    152,178  21,761,454      143      143      143  71.5  143  71.5        0  143   96.19   91.91
V10_CKI_N_10_2_16S.1.fq.gz      FASTQ   DNA     86,555  12,377,365      143      143      143  71.5  143  71.5        0  143   96.83    92.9
V10_CKI_N_10_2_16S.2.fq.gz      FASTQ   DNA     86,555  12,377,365      143      143      143  71.5  143  71.5        0  143   96.58   92.55
V10_CKI_N_10_3_16S.1.fq.gz      FASTQ   DNA    238,467  34,100,781      143      143      143  71.5  143  71.5        0  143   96.71   92.84
V10_CKI_N_10_3_16S.2.fq.gz      FASTQ   DNA    238,467  34,100,781      143      143      143  71.5  143  71.5        0  143   96.82   93.08
V10_CKI_N_10_4_16S.1.fq.gz      FASTQ   DNA    104,053  14,879,579      143      143      143  71.5  143  71.5        0  143   97.18   93.64
V10_CKI_N_10_4_16S.2.fq.gz      FASTQ   DNA    104,053  14,879,579      143      143      143  71.5  143  71.5        0  143   96.58   92.42
V10_CKI_N_10_5_16S.1.fq.gz      FASTQ   DNA    142,048  20,312,864      143      143      143  71.5  143  71.5        0  143      97    93.3
V10_CKI_N_10_5_16S.2.fq.gz      FASTQ   DNA    142,048  20,312,864      143      143      143  71.5  143  71.5        0  143   96.27    92.1
V10_CKI_N_10_DI_16S.1.fq.gz     FASTQ   DNA     18,556   2,653,508      143      143      143  71.5  143  71.5        0  143   95.97   91.27
V10_CKI_N_10_DI_16S.2.fq.gz     FASTQ   DNA     18,556   2,653,508      143      143      143  71.5  143  71.5        0  143   96.15   91.66
V10_CKI_N_10_WC_16S.1.fq.gz     FASTQ   DNA      2,232     319,176      143      143      143  71.5  143  71.5        0  143   95.35   91.09
V10_CKI_N_10_WC_16S.2.fq.gz     FASTQ   DNA      2,232     319,176      143      143      143  71.5  143  71.5        0  143   94.39   89.61
V10_CKI_N_11_1_16S.1.fq.gz      FASTQ   DNA    156,068  22,317,724      143      143      143  71.5  143  71.5        0  143   97.27   93.73
V10_CKI_N_11_1_16S.2.fq.gz      FASTQ   DNA    156,068  22,317,724      143      143      143  71.5  143  71.5        0  143   96.24   92.02
V10_CKI_N_1_1_16S.1.fq.gz       FASTQ   DNA     59,361   8,488,623      143      143      143  71.5  143  71.5        0  143   96.92   93.27
V10_CKI_N_1_1_16S.2.fq.gz       FASTQ   DNA     59,361   8,488,623      143      143      143  71.5  143  71.5        0  143   96.52   92.24
V10_CKI_N_11_2_16S.1.fq.gz      FASTQ   DNA    143,077  20,460,011      143      143      143  71.5  143  71.5        0  143    97.5   94.14
V10_CKI_N_11_2_16S.2.fq.gz      FASTQ   DNA    143,077  20,460,011      143      143      143  71.5  143  71.5        0  143   96.64   92.59
V10_CKI_N_11_3_16S.1.fq.gz      FASTQ   DNA     65,484   9,364,212      143      143      143  71.5  143  71.5        0  143   97.47   94.05
V10_CKI_N_11_3_16S.2.fq.gz      FASTQ   DNA     65,484   9,364,212      143      143      143  71.5  143  71.5        0  143   96.37   92.09
V10_CKI_N_11_4_16S.1.fq.gz      FASTQ   DNA    209,565  29,967,795      143      143      143  71.5  143  71.5        0  143   97.39   94.01
V10_CKI_N_11_4_16S.2.fq.gz      FASTQ   DNA    209,565  29,967,795      143      143      143  71.5  143  71.5        0  143   96.66   92.72
V10_CKI_N_11_5_16S.1.fq.gz      FASTQ   DNA    120,408  17,218,344      143      143      143  71.5  143  71.5        0  143   97.36    93.9
V10_CKI_N_11_5_16S.2.fq.gz      FASTQ   DNA    120,408  17,218,344      143      143      143  71.5  143  71.5        0  143   97.17   93.62
V10_CKI_N_11_DI_16S.1.fq.gz     FASTQ   DNA      1,252     179,036      143      143      143  71.5  143  71.5        0  143   95.44   91.08
V10_CKI_N_11_DI_16S.2.fq.gz     FASTQ   DNA      1,252     179,036      143      143      143  71.5  143  71.5        0  143   94.38   89.32
V10_CKI_N_11_WC_16S.1.fq.gz     FASTQ   DNA     15,652   2,238,236      143      143      143  71.5  143  71.5        0  143   96.77   92.91
V10_CKI_N_11_WC_16S.2.fq.gz     FASTQ   DNA     15,652   2,238,236      143      143      143  71.5  143  71.5        0  143   97.12   93.56
V10_CKI_N_12_1_16S.1.fq.gz      FASTQ   DNA    209,670  29,982,810      143      143      143  71.5  143  71.5        0  143    96.8   92.87
V10_CKI_N_12_1_16S.2.fq.gz      FASTQ   DNA    209,670  29,982,810      143      143      143  71.5  143  71.5        0  143   96.14   91.79
V10_CKI_N_1_2_16S.1.fq.gz       FASTQ   DNA    247,145  35,341,735      143      143      143  71.5  143  71.5        0  143   96.38   92.28
V10_CKI_N_1_2_16S.2.fq.gz       FASTQ   DNA    247,145  35,341,735      143      143      143  71.5  143  71.5        0  143   96.01   91.56
V10_CKI_N_12_2_16S.1.fq.gz      FASTQ   DNA    138,489  19,803,927      143      143      143  71.5  143  71.5        0  143   96.66   92.78
V10_CKI_N_12_2_16S.2.fq.gz      FASTQ   DNA    138,489  19,803,927      143      143      143  71.5  143  71.5        0  143   96.11   91.75
V10_CKI_N_12_3_16S.1.fq.gz      FASTQ   DNA    126,403  18,075,629      143      143      143  71.5  143  71.5        0  143   96.92   93.07
V10_CKI_N_12_3_16S.2.fq.gz      FASTQ   DNA    126,403  18,075,629      143      143      143  71.5  143  71.5        0  143   96.95   93.23
V10_CKI_N_12_4_16S.1.fq.gz      FASTQ   DNA     59,800   8,551,400      143      143      143  71.5  143  71.5        0  143   96.62    92.7
V10_CKI_N_12_4_16S.2.fq.gz      FASTQ   DNA     59,800   8,551,400      143      143      143  71.5  143  71.5        0  143   95.84   91.15
V10_CKI_N_12_5_16S.1.fq.gz      FASTQ   DNA    133,040  19,024,720      143      143      143  71.5  143  71.5        0  143   96.85   92.96
V10_CKI_N_12_5_16S.2.fq.gz      FASTQ   DNA    133,040  19,024,720      143      143      143  71.5  143  71.5        0  143   96.35   92.16
V10_CKI_N_12_DI_16S.1.fq.gz     FASTQ   DNA      1,806     258,258      143      143      143  71.5  143  71.5        0  143   95.63   91.59
V10_CKI_N_12_DI_16S.2.fq.gz     FASTQ   DNA      1,806     258,258      143      143      143  71.5  143  71.5        0  143    94.4   89.46
V10_CKI_N_12_WC_16S.1.fq.gz     FASTQ   DNA        941     134,563      143      143      143  71.5  143  71.5        0  143   96.27   92.31
V10_CKI_N_12_WC_16S.2.fq.gz     FASTQ   DNA        941     134,563      143      143      143  71.5  143  71.5        0  143   95.45   90.85
