file                            format  type  num_seqs     sum_len  min_len  avg_len  max_len    Q1   Q2    Q3  sum_gap  N50  Q20(%)  Q30(%)
NTC1_16S.1.fq.gz                FASTQ   DNA      3,857     551,551      143      143      143  71.5  143  71.5        0  143   95.55   91.45
NTC1_16S.2.fq.gz                FASTQ   DNA      3,857     551,551      143      143      143  71.5  143  71.5        0  143    96.9   92.91
V10_CKI_BC_1_16S.1.fq.gz        FASTQ   DNA     16,209   2,317,887      143      143      143  71.5  143  71.5        0  143   94.63    89.8
V10_CKI_BC_1_16S.2.fq.gz        FASTQ   DNA     16,209   2,317,887      143      143      143  71.5  143  71.5        0  143   95.19   90.46
V10_CKI_BC_2_16S.1.fq.gz        FASTQ   DNA      8,162   1,167,166      143      143      143  71.5  143  71.5        0  143   94.69   90.05
V10_CKI_BC_2_16S.2.fq.gz        FASTQ   DNA      8,162   1,167,166      143      143      143  71.5  143  71.5        0  143   96.07   91.95
V10_CKI_BC_3_16S.1.fq.gz        FASTQ   DNA     14,548   2,080,364      143      143      143  71.5  143  71.5        0  143   94.83   90.13
V10_CKI_BC_3_16S.2.fq.gz        FASTQ   DNA     14,548   2,080,364      143      143      143  71.5  143  71.5        0  143   96.24   92.13
V10_CKI_BC_4_16S.1.fq.gz        FASTQ   DNA      7,917   1,132,131      143      143      143  71.5  143  71.5        0  143    92.6    86.2
V10_CKI_BC_4_16S.2.fq.gz        FASTQ   DNA      7,917   1,132,131      143      143      143  71.5  143  71.5        0  143   95.57   91.04
V10_CKI_BC_5_16S.1.fq.gz        FASTQ   DNA      4,634     662,662      143      143      143  71.5  143  71.5        0  143   95.01    90.1
V10_CKI_BC_5_16S.2.fq.gz        FASTQ   DNA      4,634     662,662      143      143      143  71.5  143  71.5        0  143   96.48   92.35
V10_CKI_EB_1_16S.1.fq.gz        FASTQ   DNA     10,765   1,539,395      143      143      143  71.5  143  71.5        0  143   94.77   90.06
V10_CKI_EB_1_16S.2.fq.gz        FASTQ   DNA     10,765   1,539,395      143      143      143  71.5  143  71.5        0  143   95.21   90.44
V10_CKI_EB_2_16S.1.fq.gz        FASTQ   DNA     11,950   1,708,850      143      143      143  71.5  143  71.5        0  143   94.57   89.87
V10_CKI_EB_2_16S.2.fq.gz        FASTQ   DNA     11,950   1,708,850      143      143      143  71.5  143  71.5        0  143   95.61   91.12
V10_CKI_EB_3_16S.1.fq.gz        FASTQ   DNA      3,542     506,506      143      143      143  71.5  143  71.5        0  143    93.5   88.73
V10_CKI_EB_3_16S.2.fq.gz        FASTQ   DNA      3,542     506,506      143      143      143  71.5  143  71.5        0  143   93.66   88.71
V10_CKI_EB_4_16S.1.fq.gz        FASTQ   DNA      3,558     508,794      143      143      143  71.5  143  71.5        0  143   93.76   88.91
V10_CKI_EB_4_16S.2.fq.gz        FASTQ   DNA      3,558     508,794      143      143      143  71.5  143  71.5        0  143   94.38   89.61
V10_CKI_N_10_1_16S.1.fq.gz      FASTQ   DNA    134,527  19,237,361      143      143      143  71.5  143  71.5        0  143   96.04   92.04
V10_CKI_N_10_1_16S.2.fq.gz      FASTQ   DNA    134,527  19,237,361      143      143      143  71.5  143  71.5        0  143   96.83   93.06
V10_CKI_N_10_2_16S.1.fq.gz      FASTQ   DNA    170,213  24,340,459      143      143      143  71.5  143  71.5        0  143   96.15   92.32
V10_CKI_N_10_2_16S.2.fq.gz      FASTQ   DNA    170,213  24,340,459      143      143      143  71.5  143  71.5        0  143   96.81   92.92
V10_CKI_N_10_3_16S.1.fq.gz      FASTQ   DNA    189,688  27,125,384      143      143      143  71.5  143  71.5        0  143   96.01   92.08
V10_CKI_N_10_3_16S.2.fq.gz      FASTQ   DNA    189,688  27,125,384      143      143      143  71.5  143  71.5        0  143    96.9   93.12
V10_CKI_N_10_4_16S.1.fq.gz      FASTQ   DNA    137,346  19,640,478      143      143      143  71.5  143  71.5        0  143   96.27   92.56
