file                                    format  type  num_seqs     sum_len  min_len  avg_len  max_len     Q1   Q2    Q3  sum_gap  N50  Q20(%)  Q30(%)
NTC1_16S_1_trimmed.fq.gz                FASTQ   DNA         36       4,428      123      123      123   61.5  123  61.5        0  123    89.3   82.88
NTC1_16S_2_trimmed.fq.gz                FASTQ   DNA         36       4,356      121      121      121   60.5  121  60.5        0  121   85.77   78.28
V10_CKI_BC_10_16S_1_trimmed.fq.gz       FASTQ   DNA        824      95,549       20      116      141    141  141   141        0  141   94.18   88.62
V10_CKI_BC_10_16S_2_trimmed.fq.gz       FASTQ   DNA        824     114,536      139      139      139   69.5  139  69.5        0  139   61.51   47.04
V10_CKI_BC_11_16S_1_trimmed.fq.gz       FASTQ   DNA        121      13,485       20    111.4      141    124  141   141        0  141   91.53   85.11
V10_CKI_BC_11_16S_2_trimmed.fq.gz       FASTQ   DNA        121      16,819      139      139      139   69.5  139  69.5        0  139   90.84   84.23
V10_CKI_BC_1_16S_1_trimmed.fq.gz        FASTQ   DNA     18,392   2,262,216      123      123      123   61.5  123  61.5        0  123   96.08   91.95
V10_CKI_BC_1_16S_2_trimmed.fq.gz        FASTQ   DNA     18,392   2,225,432      121      121      121   60.5  121  60.5        0  121   96.31   92.29
V10_CKI_BC_12_16S_1_trimmed.fq.gz       FASTQ   DNA      1,488     174,770       20    117.5      141    141  141   141        0  141   92.78   86.39
V10_CKI_BC_12_16S_2_trimmed.fq.gz       FASTQ   DNA      1,488     206,832      139      139      139   69.5  139  69.5        0  139   59.95   44.87
V10_CKI_BC_13_16S_1_trimmed.fq.gz       FASTQ   DNA          1         141      141      141      141   70.5  141  70.5        0  141   54.61   36.88
V10_CKI_BC_13_16S_2_trimmed.fq.gz       FASTQ   DNA          1         139      139      139      139   69.5  139  69.5        0  139   65.47   43.17
V10_CKI_BC_2_16S_1_trimmed.fq.gz        FASTQ   DNA     23,807   2,928,183       45      123      123    123  123   123        0  123   96.39   92.29
V10_CKI_BC_2_16S_2_trimmed.fq.gz        FASTQ   DNA     23,807   2,880,559       77      121      121    121  121   121        0  121    95.8   90.94
V10_CKI_BC_3_16S_1_trimmed.fq.gz        FASTQ   DNA     30,788   3,786,846       45      123      123    123  123   123        0  123   96.99   93.12
V10_CKI_BC_3_16S_2_trimmed.fq.gz        FASTQ   DNA     30,788   3,725,304       77      121      121    121  121   121        0  121   96.42   92.02
V10_CKI_BC_4_16S_1_trimmed.fq.gz        FASTQ   DNA      2,173     267,279      123      123      123   61.5  123  61.5        0  123   95.95   91.73
V10_CKI_BC_4_16S_2_trimmed.fq.gz        FASTQ   DNA      2,173     262,933      121      121      121   60.5  121  60.5        0  121    94.2   89.04
V10_CKI_BC_5_16S_1_trimmed.fq.gz        FASTQ   DNA         62       7,626      123      123      123   61.5  123  61.5        0  123   93.89   89.05
V10_CKI_BC_5_16S_2_trimmed.fq.gz        FASTQ   DNA         62       7,502      121      121      121   60.5  121  60.5        0  121    93.7   87.78
V10_CKI_BC_6_16S_1_trimmed.fq.gz        FASTQ   DNA        176      21,135       20    120.1      141    141  141   141        0  141   93.27   87.26
V10_CKI_BC_6_16S_2_trimmed.fq.gz        FASTQ   DNA        176      24,464      139      139      139   69.5  139  69.5        0  139    92.9    86.6
V10_CKI_BC_7_16S_1_trimmed.fq.gz        FASTQ   DNA        905     107,321       20    118.6      141    141  141   141        0  141   93.48   87.57
V10_CKI_BC_7_16S_2_trimmed.fq.gz        FASTQ   DNA        905     125,795      139      139      139   69.5  139  69.5        0  139   94.61   88.76
V10_CKI_BC_8_16S_1_trimmed.fq.gz        FASTQ   DNA        236      28,541       20    120.9      141    141  141   141        0  141   92.62   86.95
V10_CKI_BC_8_16S_2_trimmed.fq.gz        FASTQ   DNA        236      32,804      139      139      139   69.5  139  69.5        0  139   93.75   87.68
V10_CKI_BC_9_16S_1_trimmed.fq.gz        FASTQ   DNA      1,977     232,096       20    117.4      141    141  141   141        0  141   94.56   89.11
V10_CKI_BC_9_16S_2_trimmed.fq.gz        FASTQ   DNA      1,977     274,803      139      139      139   69.5  139  69.5        0  139    64.6   50.08
V10_CKI_EB_10_16S_1_trimmed.fq.gz       FASTQ   DNA        150      16,489       20    109.9      141     27  141   141        0  141   91.57   85.06
V10_CKI_EB_10_16S_2_trimmed.fq.gz       FASTQ   DNA        150      20,850      139      139      139   69.5  139  69.5        0  139   92.25   86.22
V10_CKI_EB_11_16S_1_trimmed.fq.gz       FASTQ   DNA        143      17,810       20    124.5      141    141  141   141        0  141    92.1   85.76
V10_CKI_EB_11_16S_2_trimmed.fq.gz       FASTQ   DNA        143      19,877      139      139      139   69.5  139  69.5        0  139   92.07   85.65
V10_CKI_EB_1_16S_1_trimmed.fq.gz        FASTQ   DNA     10,327   1,270,221      123      123      123   61.5  123  61.5        0  123    96.4   92.38
V10_CKI_EB_1_16S_2_trimmed.fq.gz        FASTQ   DNA     10,327   1,249,567      121      121      121   60.5  121  60.5        0  121   94.95   89.21
V10_CKI_EB_12_16S_1_trimmed.fq.gz       FASTQ   DNA         89      10,004       20    112.4      141    124  141   141        0  141   91.61   85.06
V10_CKI_EB_12_16S_2_trimmed.fq.gz       FASTQ   DNA         89      12,371      139      139      139   69.5  139  69.5        0  139   92.56   86.27
V10_CKI_EB_13_16S_1_trimmed.fq.gz       FASTQ   DNA        559      64,948       20    116.2      141    141  141   141        0  141   93.44   87.54
V10_CKI_EB_13_16S_2_trimmed.fq.gz       FASTQ   DNA        559      77,701      139      139      139   69.5  139  69.5        0  139   93.34   87.34
V10_CKI_EB_2_16S_1_trimmed.fq.gz        FASTQ   DNA        823     101,229      123      123      123   61.5  123  61.5        0  123   92.94   87.78
V10_CKI_EB_2_16S_2_trimmed.fq.gz        FASTQ   DNA        823      99,583      121      121      121   60.5  121  60.5        0  121   91.97   85.97
V10_CKI_EB_3_16S_1_trimmed.fq.gz        FASTQ   DNA        753      92,619      123      123      123   61.5  123  61.5        0  123   93.91   89.17
V10_CKI_EB_3_16S_2_trimmed.fq.gz        FASTQ   DNA        753      91,113      121      121      121   60.5  121  60.5        0  121   91.88   85.96
V10_CKI_EB_4_16S_1_trimmed.fq.gz        FASTQ   DNA        949     116,727      123      123      123   61.5  123  61.5        0  123   94.25   88.99
V10_CKI_EB_4_16S_2_trimmed.fq.gz        FASTQ   DNA        949     114,829      121      121      121   60.5  121  60.5        0  121   93.13   87.41
V10_CKI_EB_5_16S_1_trimmed.fq.gz        FASTQ   DNA      2,617     303,008       20    115.8      141    124  141   141        0  141   94.12   88.55
V10_CKI_EB_5_16S_2_trimmed.fq.gz        FASTQ   DNA      2,617     363,763      139      139      139   69.5  139  69.5        0  139   96.04   91.07
