file                                                   format  type  num_seqs     sum_len  min_len  avg_len  max_len   Q1   Q2   Q3  sum_gap  N50  Q20(%)  Q30(%)
NTC1_16S.1.fq.gz_MiFish_1_trimmed.fq.gz                FASTQ   DNA      3,621     441,762      122      122      122   61  122   61        0  122   95.32   90.98
NTC1_16S.2.fq.gz_MiFish_2_trimmed.fq.gz                FASTQ   DNA      3,621     420,036      116      116      116   58  116   58        0  116   96.62   92.25
NTC1_MiFish_1_trimmed.fq.gz                            FASTQ   DNA      3,621     441,762      122      122      122   61  122   61        0  122   95.32   90.98
NTC1_MiFish_2_trimmed.fq.gz                            FASTQ   DNA      3,621     420,036      116      116      116   58  116   58        0  116   96.62   92.25
NTC_MiFish_1_trimmed.fq.gz                             FASTQ   DNA        143      16,689       21    116.7      140  140  140  140        0  140   90.15   83.09
NTC_MiFish_2_trimmed.fq.gz                             FASTQ   DNA        143      19,162      134      134      134   67  134   67        0  134    92.6   86.28
V10_CKI_BC_10_MiFish_1_trimmed.fq.gz                   FASTQ   DNA      6,682     804,200       21    120.4      140  140  140  140        0  140   93.55   87.78
V10_CKI_BC_10_MiFish_2_trimmed.fq.gz                   FASTQ   DNA      6,682     895,388      134      134      134   67  134   67        0  134   94.89   89.61
V10_CKI_BC_1_16S.1.fq.gz_MiFish_1_trimmed.fq.gz        FASTQ   DNA     15,266   1,862,363       33      122      122  122  122  122        0  122   94.19   88.94
V10_CKI_BC_1_16S.2.fq.gz_MiFish_2_trimmed.fq.gz        FASTQ   DNA     15,266   1,770,767       27      116      116  116  116  116        0  116   94.68   89.54
V10_CKI_BC_11_MiFish_1_trimmed.fq.gz                   FASTQ   DNA      6,382     773,189       21    121.2      140  140  140  140        0  140   93.66   87.93
V10_CKI_BC_11_MiFish_2_trimmed.fq.gz                   FASTQ   DNA      6,382     855,188      134      134      134   67  134   67        0  134   95.17   90.23
V10_CKI_BC_12_MiFish_1_trimmed.fq.gz                   FASTQ   DNA      8,214     983,533       21    119.7      140  140  140  140        0  140   92.81   86.28
V10_CKI_BC_12_MiFish_2_trimmed.fq.gz                   FASTQ   DNA      8,214   1,100,676      134      134      134   67  134   67        0  134   95.17   90.13
V10_CKI_BC_13_MiFish_1_trimmed.fq.gz                   FASTQ   DNA      3,421     412,997       21    120.7      140  140  140  140        0  140   94.09   88.38
V10_CKI_BC_13_MiFish_2_trimmed.fq.gz                   FASTQ   DNA      3,421     458,414      134      134      134   67  134   67        0  134   95.82   90.99
V10_CKI_BC_1_MiFish_1_trimmed.fq.gz                    FASTQ   DNA     15,266   1,862,363       33      122      122  122  122  122        0  122   94.19   88.94
V10_CKI_BC_1_MiFish_2_trimmed.fq.gz                    FASTQ   DNA     15,266   1,770,767       27      116      116  116  116  116        0  116   94.68   89.54
V10_CKI_BC_2_16S.1.fq.gz_MiFish_1_trimmed.fq.gz        FASTQ   DNA      7,610     928,420      122      122      122   61  122   61        0  122   94.45   89.51
V10_CKI_BC_2_16S.2.fq.gz_MiFish_2_trimmed.fq.gz        FASTQ   DNA      7,610     882,760      116      116      116   58  116   58        0  116    95.6   91.07
V10_CKI_BC_2_MiFish_1_trimmed.fq.gz                    FASTQ   DNA      7,610     928,420      122      122      122   61  122   61        0  122   94.45   89.51
V10_CKI_BC_2_MiFish_2_trimmed.fq.gz                    FASTQ   DNA      7,610     882,760      116      116      116   58  116   58        0  116    95.6   91.07
V10_CKI_BC_3_16S.1.fq.gz_MiFish_1_trimmed.fq.gz        FASTQ   DNA     13,648   1,665,056      122      122      122   61  122   61        0  122   94.58   89.56
V10_CKI_BC_3_16S.2.fq.gz_MiFish_2_trimmed.fq.gz        FASTQ   DNA     13,648   1,583,168      116      116      116   58  116   58        0  116   95.84   91.37
V10_CKI_BC_3_MiFish_1_trimmed.fq.gz                    FASTQ   DNA     13,648   1,665,056      122      122      122   61  122   61        0  122   94.58   89.56
V10_CKI_BC_3_MiFish_2_trimmed.fq.gz                    FASTQ   DNA     13,648   1,583,168      116      116      116   58  116   58        0  116   95.84   91.37
V10_CKI_BC_4_16S.1.fq.gz_MiFish_1_trimmed.fq.gz        FASTQ   DNA      7,418     904,996      122      122      122   61  122   61        0  122    92.1   85.22
V10_CKI_BC_4_16S.2.fq.gz_MiFish_2_trimmed.fq.gz        FASTQ   DNA      7,418     860,488      116      116      116   58  116   58        0  116   94.98   89.95
V10_CKI_BC_4_MiFish_1_trimmed.fq.gz                    FASTQ   DNA      7,418     904,996      122      122      122   61  122   61        0  122    92.1   85.22
V10_CKI_BC_4_MiFish_2_trimmed.fq.gz                    FASTQ   DNA      7,418     860,488      116      116      116   58  116   58        0  116   94.98   89.95
V10_CKI_BC_5_16S.1.fq.gz_MiFish_1_trimmed.fq.gz        FASTQ   DNA      4,344     529,879       33      122      122  122  122  122        0  122   94.88   89.61
V10_CKI_BC_5_16S.2.fq.gz_MiFish_2_trimmed.fq.gz        FASTQ   DNA      4,344     503,845       57      116      116  116  116  116        0  116   96.05   91.47
V10_CKI_BC_5_MiFish_1_trimmed.fq.gz                    FASTQ   DNA      4,344     529,879       33      122      122  122  122  122        0  122   94.88   89.61
V10_CKI_BC_5_MiFish_2_trimmed.fq.gz                    FASTQ   DNA      4,344     503,845       57      116      116  116  116  116        0  116   96.05   91.47
V10_CKI_BC_6_MiFish_1_trimmed.fq.gz                    FASTQ   DNA      3,592     430,884       21      120      140  140  140  140        0  140   92.08   85.57
V10_CKI_BC_6_MiFish_2_trimmed.fq.gz                    FASTQ   DNA      3,592     481,328      134      134      134   67  134   67        0  134   93.88   88.13
V10_CKI_BC_7_MiFish_1_trimmed.fq.gz                    FASTQ   DNA      4,948     601,097       21    121.5      140  140  140  140        0  140   91.71   84.79
V10_CKI_BC_7_MiFish_2_trimmed.fq.gz                    FASTQ   DNA      4,948     663,032      134      134      134   67  134   67        0  134   94.19   88.41
V10_CKI_BC_8_MiFish_1_trimmed.fq.gz                    FASTQ   DNA     14,241   1,721,581       21    120.9      140  140  140  140        0  140   92.02   84.85
V10_CKI_BC_8_MiFish_2_trimmed.fq.gz                    FASTQ   DNA     14,241   1,908,294      134      134      134   67  134   67        0  134   95.93   91.28
V10_CKI_BC_9_MiFish_1_trimmed.fq.gz                    FASTQ   DNA      4,332     521,754       21    120.4      140  140  140  140        0  140   90.09   82.13
V10_CKI_BC_9_MiFish_2_trimmed.fq.gz                    FASTQ   DNA      4,332     580,488      134      134      134   67  134   67        0  134   94.69   89.42
V10_CKI_EB_10_MiFish_1_trimmed.fq.gz                   FASTQ   DNA      4,298     518,484       21    120.6      140  140  140  140        0  140   93.32    87.5
V10_CKI_EB_10_MiFish_2_trimmed.fq.gz                   FASTQ   DNA      4,298     575,932      134      134      134   67  134   67        0  134   94.72   89.37
V10_CKI_EB_1_16S.1.fq.gz_MiFish_1_trimmed.fq.gz        FASTQ   DNA     10,125   1,235,250      122      122      122   61  122   61        0  122   94.37   89.29
V10_CKI_EB_1_16S.2.fq.gz_MiFish_2_trimmed.fq.gz        FASTQ   DNA     10,125   1,174,500      116      116      116   58  116   58        0  116   94.74   89.58
V10_CKI_EB_11_MiFish_1_trimmed.fq.gz                   FASTQ   DNA      8,999   1,080,189       21      120      140  140  140  140        0  140   93.79    88.2
V10_CKI_EB_11_MiFish_2_trimmed.fq.gz                   FASTQ   DNA      8,999   1,205,866      134      134      134   67  134   67        0  134    94.8    89.6
V10_CKI_EB_12_MiFish_1_trimmed.fq.gz                   FASTQ   DNA      6,318     765,908       21    121.2      140  140  140  140        0  140    92.8    86.2
V10_CKI_EB_12_MiFish_2_trimmed.fq.gz                   FASTQ   DNA      6,318     846,612      134      134      134   67  134   67        0  134   95.37   90.35
V10_CKI_EB_13_MiFish_1_trimmed.fq.gz                   FASTQ   DNA      2,226     268,473       21    120.6      140  140  140  140        0  140    94.6   89.24
V10_CKI_EB_13_MiFish_2_trimmed.fq.gz                   FASTQ   DNA      2,226     298,284      134      134      134   67  134   67        0  134    95.7   90.83
V10_CKI_EB_1_MiFish_1_trimmed.fq.gz                    FASTQ   DNA     10,125   1,235,250      122      122      122   61  122   61        0  122   94.37   89.29
V10_CKI_EB_1_MiFish_2_trimmed.fq.gz                    FASTQ   DNA     10,125   1,174,500      116      116      116   58  116   58        0  116   94.74   89.58
V10_CKI_EB_2_16S.1.fq.gz_MiFish_1_trimmed.fq.gz        FASTQ   DNA     11,197   1,366,005       93      122      122  122  122  122        0  122    94.3   89.33
V10_CKI_EB_2_16S.2.fq.gz_MiFish_2_trimmed.fq.gz        FASTQ   DNA     11,197   1,298,852      116      116      116   58  116   58        0  116   95.19   90.31
V10_CKI_EB_2_MiFish_1_trimmed.fq.gz                    FASTQ   DNA     11,197   1,366,005       93      122      122  122  122  122        0  122    94.3   89.33
V10_CKI_EB_2_MiFish_2_trimmed.fq.gz                    FASTQ   DNA     11,197   1,298,852      116      116      116   58  116   58        0  116   95.19   90.31
V10_CKI_EB_3_16S.1.fq.gz_MiFish_1_trimmed.fq.gz        FASTQ   DNA      3,325     405,621       93      122      122  122  122  122        0  122   92.88   87.72
V10_CKI_EB_3_16S.2.fq.gz_MiFish_2_trimmed.fq.gz        FASTQ   DNA      3,325     385,700      116      116      116   58  116   58        0  116   92.92   87.47
V10_CKI_EB_3_MiFish_1_trimmed.fq.gz                    FASTQ   DNA      3,325     405,621       93      122      122  122  122  122        0  122   92.88   87.72
V10_CKI_EB_3_MiFish_2_trimmed.fq.gz                    FASTQ   DNA      3,325     385,700      116      116      116   58  116   58        0  116   92.92   87.47
V10_CKI_EB_4_16S.1.fq.gz_MiFish_1_trimmed.fq.gz        FASTQ   DNA      3,313     404,186      122      122      122   61  122   61        0  122   93.41   88.19
V10_CKI_EB_4_16S.2.fq.gz_MiFish_2_trimmed.fq.gz        FASTQ   DNA      3,313     384,308      116      116      116   58  116   58        0  116   93.61   88.33
V10_CKI_EB_4_MiFish_1_trimmed.fq.gz                    FASTQ   DNA      3,313     404,186      122      122      122   61  122   61        0  122   93.41   88.19
V10_CKI_EB_4_MiFish_2_trimmed.fq.gz                    FASTQ   DNA      3,313     384,308      116      116      116   58  116   58        0  116   93.61   88.33
V10_CKI_EB_5_MiFish_1_trimmed.fq.gz                    FASTQ   DNA      4,773     578,544       21    121.2      140  140  140  140        0  140   90.22   82.16
V10_CKI_EB_5_MiFish_2_trimmed.fq.gz                    FASTQ   DNA      4,773     639,582      134      134      134   67  134   67        0  134   95.06   90.14
V10_CKI_EB_6_MiFish_1_trimmed.fq.gz                    FASTQ   DNA      2,809     338,397       21    120.5      140  140  140  140        0  140   93.15   87.44
