file                     format  type   num_seqs      sum_len  min_len  avg_len  max_len   Q1   Q2   Q3  sum_gap  N50  Q20(%)  Q30(%)
NTC_16S.1.fq.gz          FASTQ   DNA      18,963    2,308,939       81    121.8      123  121  121  123        0  121   94.71    90.3
NTC_16S.2.fq.gz          FASTQ   DNA      18,963    2,308,683       81    121.7      123  121  121  123        0  121   93.41   87.87
RS1_CL_L1_1_16S.1.fq.gz  FASTQ   DNA     765,111   93,274,381       41    121.9      123  121  121  123        0  121   97.09   93.47
RS1_CL_L1_1_16S.2.fq.gz  FASTQ   DNA     765,111   93,273,303       41    121.9      123  121  121  123        0  121   96.16   91.69
RS1_CL_L1_2_16S.1.fq.gz  FASTQ   DNA     837,709  102,014,790       39    121.8      123  121  121  123        0  121   97.06   93.43
RS1_CL_L1_2_16S.2.fq.gz  FASTQ   DNA     837,709  102,003,509       39    121.8      123  121  121  123        0  121   96.33   91.92
RS1_CL_L1_3_16S.1.fq.gz  FASTQ   DNA     810,197   98,709,722        8    121.8      123  121  121  123        0  121   97.15   93.55
RS1_CL_L1_3_16S.2.fq.gz  FASTQ   DNA     810,197   98,705,909       42    121.8      123  121  121  123        0  121   96.21    91.7
RS1_CL_L1_4_16S.1.fq.gz  FASTQ   DNA     759,303   92,531,385       41    121.9      123  121  121  123        0  121   96.81   92.87
RS1_CL_L1_4_16S.2.fq.gz  FASTQ   DNA     759,303   92,532,332       51    121.9      123  121  121  123        0  121   95.39   90.35
RS1_CL_L1_5_16S.1.fq.gz  FASTQ   DNA     916,758  111,698,875       42    121.8      123  121  121  123        0  121   97.01   93.35
RS1_CL_L1_5_16S.2.fq.gz  FASTQ   DNA     916,758  111,720,399       46    121.9      123  121  121  123        0  121   95.95   91.31
RS1_CL_L2_1_16S.1.fq.gz  FASTQ   DNA     939,176  114,418,836       54    121.8      123  121  121  123        0  121   97.04   93.48
RS1_CL_L2_1_16S.2.fq.gz  FASTQ   DNA     939,176  114,409,606       54    121.8      123  121  121  123        0  121   96.05   91.61
RS1_CL_L2_2_16S.1.fq.gz  FASTQ   DNA     906,607  110,534,793       56    121.9      123  121  121  123        0  121   97.03    93.4
RS1_CL_L2_2_16S.2.fq.gz  FASTQ   DNA     906,607  110,533,027       56    121.9      123  121  121  123        0  121   96.19   91.82
RS1_CL_L2_3_16S.1.fq.gz  FASTQ   DNA     837,157  102,014,003       66    121.9      123  121  121  123        0  121   96.99   93.32
RS1_CL_L2_3_16S.2.fq.gz  FASTQ   DNA     837,157  102,009,671       66    121.9      123  121  121  123        0  121    96.2   91.76
RS1_CL_L2_4_16S.1.fq.gz  FASTQ   DNA     970,900  118,318,044       52    121.9      123  121  121  123        0  122   96.75   92.93
RS1_CL_L2_4_16S.2.fq.gz  FASTQ   DNA     970,900  118,319,885       52    121.9      123  121  121  123        0  122   95.85   91.21
RS1_CL_L2_5_16S.1.fq.gz  FASTQ   DNA   1,164,510  141,956,083        8    121.9      123  121  121  123        0  121   97.02   93.42
RS1_CL_L2_5_16S.2.fq.gz  FASTQ   DNA   1,164,510  141,954,424       12    121.9      123  121  121  123        0  121   96.27   91.92
RS1_CL_L3_1_16S.1.fq.gz  FASTQ   DNA   1,321,067  161,056,246       15    121.9      123  121  121  123        0  121   96.97   93.29
RS1_CL_L3_1_16S.2.fq.gz  FASTQ   DNA   1,321,067  161,052,327       44    121.9      123  121  121  123        0  122   96.25    91.8
RS1_CL_L3_2_16S.1.fq.gz  FASTQ   DNA   1,457,540  177,525,298       13    121.8      123  121  121  123        0  121   96.52   92.66
RS1_CL_L3_2_16S.2.fq.gz  FASTQ   DNA   1,457,540  177,528,091       13    121.8      123  121  121  123        0  121   95.76   91.11
RS1_CL_L3_3_16S.1.fq.gz  FASTQ   DNA   1,272,242  155,107,175       13    121.9      123  121  121  123        0  122   96.79   92.99
RS1_CL_L3_3_16S.2.fq.gz  FASTQ   DNA   1,272,242  155,111,405       13    121.9      123  121  122  123        0  122      96   91.39
RS1_CL_L3_4_16S.1.fq.gz  FASTQ   DNA   1,104,413  134,621,299       13    121.9      123  121  121  123        0  121    96.7   92.94
RS1_CL_L3_4_16S.2.fq.gz  FASTQ   DNA   1,104,413  134,617,216       13    121.9      123  121  121  123        0  121   96.13    91.7
RS1_CL_L3_5_16S.1.fq.gz  FASTQ   DNA   1,268,341  154,682,367        5      122      123  121  121  123        0  122   96.49    92.6
RS1_CL_L3_5_16S.2.fq.gz  FASTQ   DNA   1,268,341  154,682,499        5      122      123  121  122  123        0  123   95.83   91.19
RS1_CL_S1_1_16S.1.fq.gz  FASTQ   DNA   1,352,732  164,940,807       17    121.9      123  121  121  123        0  121   96.22   92.45
RS1_CL_S1_1_16S.2.fq.gz  FASTQ   DNA   1,352,732  164,942,654       17    121.9      123  121  121  123        0  121   95.95   91.45
RS1_CL_S1_2_16S.1.fq.gz  FASTQ   DNA   1,867,604  227,665,081       41    121.9      123  121  121  123        0  121   96.65   93.02
RS1_CL_S1_2_16S.2.fq.gz  FASTQ   DNA   1,867,604  227,675,940       41    121.9      123  121  121  123        0  121    96.1   91.58
RS1_CL_S1_3_16S.1.fq.gz  FASTQ   DNA   1,566,362  191,002,983       41    121.9      123  121  121  123        0  121   96.62   93.06
RS1_CL_S1_3_16S.2.fq.gz  FASTQ   DNA   1,566,362  191,003,874       41    121.9      123  121  121  123        0  121   96.35   91.91
RS1_CL_S1_4_16S.1.fq.gz  FASTQ   DNA   1,662,329  202,698,610       41    121.9      123  121  121  123        0  121   97.23   93.78
RS1_CL_S1_4_16S.2.fq.gz  FASTQ   DNA   1,662,329  202,699,388       41    121.9      123  121  121  123        0  121   96.35   91.92
RS1_CL_S1_5_16S.1.fq.gz  FASTQ   DNA   2,010,663  245,089,840       51    121.9      123  121  121  123        0  121   96.65   93.04
RS1_CL_S1_5_16S.2.fq.gz  FASTQ   DNA   2,010,663  245,101,226       51    121.9      123  121  121  123        0  121    96.1   91.67
RS1_CL_S2_1_16S.1.fq.gz  FASTQ   DNA   1,414,370  172,469,039       15    121.9      123  121  121  123        0  121   97.21   93.67
RS1_CL_S2_1_16S.2.fq.gz  FASTQ   DNA   1,414,370  172,468,015       29    121.9      123  121  121  123        0  121   96.26   91.64
RS1_CL_S2_2_16S.1.fq.gz  FASTQ   DNA   1,399,581  170,652,668       43    121.9      123  121  121  123        0  121    97.3   93.76
RS1_CL_S2_2_16S.2.fq.gz  FASTQ   DNA   1,399,581  170,650,798       43    121.9      123  121  121  123        0  121   96.21   91.52
RS1_CL_S2_3_16S.1.fq.gz  FASTQ   DNA   1,401,869  170,974,725       42      122      123  121  121  123        0  121   97.16   93.57
RS1_CL_S2_3_16S.2.fq.gz  FASTQ   DNA   1,401,869  170,974,382       42      122      123  121  121  123        0  121   96.13   91.45
RS1_CL_S2_4_16S.1.fq.gz  FASTQ   DNA   1,321,524  161,136,500       69    121.9      123  121  121  123        0  121   97.15   93.52
RS1_CL_S2_4_16S.2.fq.gz  FASTQ   DNA   1,321,524  161,133,698       69    121.9      123  121  121  123        0  121   96.27   91.65
RS1_CL_S2_5_16S.1.fq.gz  FASTQ   DNA   1,954,407  238,342,712        5      122      123  121  121  123        0  121    97.2   93.61
RS1_CL_S2_5_16S.2.fq.gz  FASTQ   DNA   1,954,407  238,344,476        5      122      123  121  121  123        0  121   95.97   91.13
RS1_CL_S3_1_16S.1.fq.gz  FASTQ   DNA   1,456,926  177,625,106        8    121.9      123  121  121  123        0  121      97   93.37
RS1_CL_S3_1_16S.2.fq.gz  FASTQ   DNA   1,456,926  177,624,302       42    121.9      123  121  121  123        0  121   96.35   91.95
RS1_CL_S3_2_16S.1.fq.gz  FASTQ   DNA   2,047,087  249,662,798       28      122      123  121  121  123        0  121   97.31   93.86
RS1_CL_S3_2_16S.2.fq.gz  FASTQ   DNA   2,047,087  249,658,286       28      122      123  121  121  123        0  121   96.34   91.94
RS1_CL_S3_3_16S.1.fq.gz  FASTQ   DNA   2,462,362  300,270,190       42    121.9      123  121  121  123        0  121   96.69   92.93
RS1_CL_S3_3_16S.2.fq.gz  FASTQ   DNA   2,462,362  300,267,836       42    121.9      123  121  121  123        0  121    96.1   91.65
RS1_CL_S3_4_16S.1.fq.gz  FASTQ   DNA   2,027,569  247,216,369       22    121.9      123  121  121  123        0  121   96.97   93.28
RS1_CL_S3_4_16S.2.fq.gz  FASTQ   DNA   2,027,569  247,212,414       22    121.9      123  121  121  123        0  121   96.14   91.62
RS1_CL_S3_5_16S.1.fq.gz  FASTQ   DNA   1,713,730  208,925,437       40    121.9      123  121  121  123        0  121   96.78   93.05
RS1_CL_S3_5_16S.2.fq.gz  FASTQ   DNA   1,713,730  208,921,914       42    121.9      123  121  121  123        0  121    96.1   91.61
RS1_CL_S4_1_16S.1.fq.gz  FASTQ   DNA   2,246,119  273,900,452        7    121.9      123  121  121  123        0  121   96.78    93.1
RS1_CL_S4_1_16S.2.fq.gz  FASTQ   DNA   2,246,119  273,896,570        7    121.9      123  121  121  123        0  121   96.02   91.52
RS1_CL_S4_2_16S.1.fq.gz  FASTQ   DNA   1,475,268  179,852,729       53    121.9      123  121  121  123        0  121   96.83   93.16
RS1_CL_S4_2_16S.2.fq.gz  FASTQ   DNA   1,475,268  179,844,616       53    121.9      123  121  121  123        0  121   96.09   91.62
RS1_CL_S4_3_16S.1.fq.gz  FASTQ   DNA   2,109,128  257,218,332       42      122      123  121  121  123        0  121   96.82      93
RS1_CL_S4_3_16S.2.fq.gz  FASTQ   DNA   2,109,128  257,216,850       42      122      123  121  121  123        0  121   96.27   91.88
RS1_CL_S4_4_16S.1.fq.gz  FASTQ   DNA   1,798,204  219,263,816       42    121.9      123  121  121  123        0  121   96.99   93.31
RS1_CL_S4_4_16S.2.fq.gz  FASTQ   DNA   1,798,204  219,259,968       42    121.9      123  121  121  123        0  121   96.43   92.13
RS1_CL_S4_5_16S.1.fq.gz  FASTQ   DNA   2,017,632  246,062,141       48      122      123  121  121  123        0  121   97.11   93.43
RS1_CL_S4_5_16S.2.fq.gz  FASTQ   DNA   2,017,632  246,057,546       13      122      123  121  121  123        0  121   96.32    91.9
RS1_IM_L1_1_16S.1.fq.gz  FASTQ   DNA   2,239,696  273,115,000       44    121.9      123  121  121  123        0  121   96.71   92.84
RS1_IM_L1_1_16S.2.fq.gz  FASTQ   DNA   2,239,696  273,112,113       44    121.9      123  121  121  123        0  121   96.07   91.57
RS1_IM_L1_2_16S.1.fq.gz  FASTQ   DNA   1,938,273  236,383,160        5      122      123  121  121  123        0  121   96.92   93.19
