file                        format  type   num_seqs      sum_len  min_len  avg_len  max_len   Q1   Q2   Q3  sum_gap  N50  Q20(%)  Q30(%)  GC(%)
MT1_10_1_16S.1.fq.gz        FASTQ   DNA   1,186,150  169,398,780       51    142.8      143  143  143  143        0  143   97.41   94.16  50.91
MT1_10_1_16S.2.fq.gz        FASTQ   DNA   1,186,150  169,614,896       51      143      143  143  143  143        0  143   96.79   92.95  50.39
MT1_10_2_16S.1.fq.gz        FASTQ   DNA     868,789  123,964,258      137    142.7      143  142  143  143        0  143   97.36   94.13  50.66
MT1_10_2_16S.2.fq.gz        FASTQ   DNA     868,789  124,217,974      137      143      143  143  143  143        0  143   96.85   93.03  49.81
MT1_10_3_16S.1.fq.gz        FASTQ   DNA   1,262,266  180,264,329      137    142.8      143  143  143  143        0  143   97.66   94.42  51.91
MT1_10_3_16S.2.fq.gz        FASTQ   DNA   1,262,266  180,496,060      139      143      143  143  143  143        0  143   97.19   93.58  50.81
MT1_10_4_16S.1.fq.gz        FASTQ   DNA   1,215,084  173,466,700       83    142.8      143  143  143  143        0  143    97.5   94.29  50.11
MT1_10_4_16S.2.fq.gz        FASTQ   DNA   1,215,084  173,649,283       83    142.9      143  143  143  143        0  143   96.82   93.15  50.69
MT1_10_5_16S.1.fq.gz        FASTQ   DNA   1,178,799  168,272,605       64    142.7      143  143  143  143        0  143   97.46   94.18  49.78
MT1_10_5_16S.2.fq.gz        FASTQ   DNA   1,178,799  168,544,002       64      143      143  143  143  143        0  143   97.06   93.44  49.63
MT1_10_WC_16S.1.fq.gz       FASTQ   DNA         569       81,242      140    142.8      143  143  143  143        0  143   94.32   89.89  49.78
MT1_10_WC_16S.2.fq.gz       FASTQ   DNA         569       81,356      141      143      143  143  143  143        0  143   92.94   87.77  50.51
MT1_11_1_16S.1.fq.gz        FASTQ   DNA     729,356  103,779,898       61    142.3      143  142  142  143        0  142   97.78   94.66  51.97
MT1_11_1_16S.2.fq.gz        FASTQ   DNA     729,356  104,288,627       61      143      143  143  143  143        0  143   97.01   93.52  48.89
MT1_1_1_16S.1.fq.gz         FASTQ   DNA   1,026,450  146,496,131       55    142.7      143  142  143  143        0  143   96.86   93.22  50.28
MT1_1_1_16S.2.fq.gz         FASTQ   DNA   1,026,450  146,735,764       55      143      143  143  143  143        0  143   96.59   92.68  51.45
