file                                format  type   num_seqs      sum_len  min_len  avg_len  max_len   Q1   Q2   Q3  sum_gap  N50  Q20(%)  Q30(%)
NTC1_16S_1_trimmed.fq.gz            FASTQ   DNA       7,748      950,168       58    122.6      123  123  123  123        0  123   94.97   90.75
NTC1_16S_2_trimmed.fq.gz            FASTQ   DNA       7,748      924,926       24    119.4      121  121  121  121        0  121   93.53    88.3
NTC2_16S_1_trimmed.fq.gz            FASTQ   DNA      16,787    2,057,604       58    122.6      123  123  123  123        0  123   95.13   90.78
NTC2_16S_2_trimmed.fq.gz            FASTQ   DNA      16,787    2,001,220       24    119.2      121  121  121  121        0  121   94.18   89.18
NTC3_16S_1_trimmed.fq.gz            FASTQ   DNA       2,670      327,388       58    122.6      123  123  123  123        0  123   95.38   91.19
NTC3_16S_2_trimmed.fq.gz            FASTQ   DNA       2,670      319,167       24    119.5      121  121  121  121        0  121   93.62   88.44
RS1_CL_BC_16S_1_trimmed.fq.gz       FASTQ   DNA      11,629    1,427,150       58    122.7      123  123  123  123        0  123   96.26   91.99
RS1_CL_BC_16S_2_trimmed.fq.gz       FASTQ   DNA      11,629    1,386,231       24    119.2      121  121  121  121        0  121   75.99   63.63
RS1_CL_EB_16S_1_trimmed.fq.gz       FASTQ   DNA     362,678   44,538,517       34    122.8      123  123  123  123        0  123   95.52   91.67
RS1_CL_EB_16S_2_trimmed.fq.gz       FASTQ   DNA     362,678   43,273,058       24    119.3      121  121  121  121        0  121   96.33   91.88
RS1_CL_L1_1_16S_1_trimmed.fq.gz     FASTQ   DNA     372,355   45,696,547       34    122.7      123  123  123  123        0  123   97.26    93.8
RS1_CL_L1_1_16S_2_trimmed.fq.gz     FASTQ   DNA     372,355   44,393,972       22    119.2      121  121  121  121        0  121    96.5    92.4
RS1_CL_L1_2_16S_1_trimmed.fq.gz     FASTQ   DNA     400,107   49,004,412       34    122.5      123  122  123  123        0  123   97.03   93.34
RS1_CL_L1_2_16S_2_trimmed.fq.gz     FASTQ   DNA     400,107   47,728,105       22    119.3      121  121  121  121        0  121    96.6   92.51
RS1_CL_L1_3_16S_1_trimmed.fq.gz     FASTQ   DNA     394,336   48,359,128       34    122.6      123  123  123  123        0  123   97.21   93.63
RS1_CL_L1_3_16S_2_trimmed.fq.gz     FASTQ   DNA     394,336   47,013,918       24    119.2      121  121  121  121        0  121   96.19   91.83
RS1_CL_L1_4_16S_1_trimmed.fq.gz     FASTQ   DNA     359,682   44,117,930       58    122.7      123  123  123  123        0  123   96.84   92.78
RS1_CL_L1_4_16S_2_trimmed.fq.gz     FASTQ   DNA     359,682   42,903,380       21    119.3      121  121  121  121        0  121      96   91.57
RS1_CL_L1_5_16S_1_trimmed.fq.gz     FASTQ   DNA     444,487   54,490,837       34    122.6      123  123  123  123        0  123   97.15   93.57
RS1_CL_L1_5_16S_2_trimmed.fq.gz     FASTQ   DNA     444,487   53,028,056       24    119.3      121  121  121  121        0  121   96.08   91.66
RS1_CL_L1_WC_16S_1_trimmed.fq.gz    FASTQ   DNA       1,019      124,937       58    122.6      123  123  123  123        0  123   94.79   90.46
RS1_CL_L1_WC_16S_2_trimmed.fq.gz    FASTQ   DNA       1,019      122,338       24    120.1      121  121  121  121        0  121   93.53   88.33
RS1_CL_L2_1_16S_1_trimmed.fq.gz     FASTQ   DNA     444,324   54,461,164       34    122.6      123  123  123  123        0  123   96.99   93.43
RS1_CL_L2_1_16S_2_trimmed.fq.gz     FASTQ   DNA     444,324   53,012,439       22    119.3      121  121  121  121        0  121   97.01    93.3
RS1_CL_L2_2_16S_1_trimmed.fq.gz     FASTQ   DNA     442,319   54,277,492       34    122.7      123  123  123  123        0  123   97.19   93.68
RS1_CL_L2_2_16S_2_trimmed.fq.gz     FASTQ   DNA     442,319   52,751,775       23    119.3      121  121  121  121        0  121   97.16   93.55
RS1_CL_L2_3_16S_1_trimmed.fq.gz     FASTQ   DNA     397,438   48,749,771       58    122.7      123  123  123  123        0  123   97.17    93.6
RS1_CL_L2_3_16S_2_trimmed.fq.gz     FASTQ   DNA     397,438   47,397,164       24    119.3      121  121  121  121        0  121   96.92   93.09
RS1_CL_L2_4_16S_1_trimmed.fq.gz     FASTQ   DNA     482,830   59,175,459       34    122.6      123  123  123  123        0  123   96.74   92.97
RS1_CL_L2_4_16S_2_trimmed.fq.gz     FASTQ   DNA     482,830   57,590,408       24    119.3      121  121  121  121        0  121   96.03   91.64
RS1_CL_L2_5_16S_1_trimmed.fq.gz     FASTQ   DNA     565,497   69,371,247       34    122.7      123  123  123  123        0  123   96.83   93.13
RS1_CL_L2_5_16S_2_trimmed.fq.gz     FASTQ   DNA     565,497   67,469,025       24    119.3      121  121  121  121        0  121   96.84      93
RS1_CL_L2_WC_16S_1_trimmed.fq.gz    FASTQ   DNA       3,532      433,082       58    122.6      123  123  123  123        0  123   95.92   91.86
RS1_CL_L2_WC_16S_2_trimmed.fq.gz    FASTQ   DNA       3,532      420,254       24      119      121  121  121  121        0  121   94.44   89.28
RS1_CL_L3_1_16S_1_trimmed.fq.gz     FASTQ   DNA     655,257   80,385,895       44    122.7      123  123  123  123        0  123   96.85   93.12
RS1_CL_L3_1_16S_2_trimmed.fq.gz     FASTQ   DNA     655,257   78,163,081       24    119.3      121  121  121  121        0  121   96.08   91.63
RS1_CL_L3_2_16S_1_trimmed.fq.gz     FASTQ   DNA     723,019   88,534,153       34    122.5      123  122  123  123        0  123   96.38    92.5
RS1_CL_L3_2_16S_2_trimmed.fq.gz     FASTQ   DNA     723,019   86,252,198       22    119.3      121  121  121  121        0  121   96.19   91.94
RS1_CL_L3_3_16S_1_trimmed.fq.gz     FASTQ   DNA     637,835   78,236,034       34    122.7      123  123  123  123        0  123    96.7   92.82
RS1_CL_L3_3_16S_2_trimmed.fq.gz     FASTQ   DNA     637,835   76,092,100       22    119.3      121  121  121  121        0  121   95.93   91.43
RS1_CL_L3_4_16S_1_trimmed.fq.gz     FASTQ   DNA     534,895   65,619,241       58    122.7      123  123  123  123        0  123   96.75   92.96
RS1_CL_L3_4_16S_2_trimmed.fq.gz     FASTQ   DNA     534,895   63,805,820       22    119.3      121  121  121  121        0  121   96.25   92.02
RS1_CL_L3_5_16S_1_trimmed.fq.gz     FASTQ   DNA     634,703   77,894,401       34    122.7      123  123  123  123        0  123   96.35   92.35
RS1_CL_L3_5_16S_2_trimmed.fq.gz     FASTQ   DNA     634,703   75,717,872       24    119.3      121  121  121  121        0  121   96.29   92.13
RS1_CL_L3_WC_16S_1_trimmed.fq.gz    FASTQ   DNA       1,251      153,475       58    122.7      123  123  123  123        0  123   95.31   91.04
RS1_CL_L3_WC_16S_2_trimmed.fq.gz    FASTQ   DNA       1,251      149,279       24    119.3      121  121  121  121        0  121   94.12   88.92
RS1_CL_S1_1_16S_1_trimmed.fq.gz     FASTQ   DNA     654,206   80,295,958       34    122.7      123  123  123  123        0  123   95.42   91.46
RS1_CL_S1_1_16S_2_trimmed.fq.gz     FASTQ   DNA     654,206   78,041,535       22    119.3      121  121  121  121        0  121   96.37   92.24
RS1_CL_S1_2_16S_1_trimmed.fq.gz     FASTQ   DNA     913,652  112,062,965       41    122.7      123  123  123  123        0  123   96.13   92.55
RS1_CL_S1_2_16S_2_trimmed.fq.gz     FASTQ   DNA     913,652  108,989,122       21    119.3      121  121  121  121        0  121   96.48   92.27
RS1_CL_S1_3_16S_1_trimmed.fq.gz     FASTQ   DNA     754,986   92,687,009       29    122.8      123  123  123  123        0  123   95.85   92.14
RS1_CL_S1_3_16S_2_trimmed.fq.gz     FASTQ   DNA     754,986   90,070,284       22    119.3      121  121  121  121        0  121   96.51   92.29
RS1_CL_S1_4_16S_1_trimmed.fq.gz     FASTQ   DNA     815,441  100,083,870       29    122.7      123  123  123  123        0  123   96.96   93.37
RS1_CL_S1_4_16S_2_trimmed.fq.gz     FASTQ   DNA     815,441   97,292,521       22    119.3      121  121  121  121        0  121   96.33   92.01
RS1_CL_S1_5_16S_1_trimmed.fq.gz     FASTQ   DNA     979,713  120,159,984       58    122.6      123  123  123  123        0  123   96.25   92.67
RS1_CL_S1_5_16S_2_trimmed.fq.gz     FASTQ   DNA     979,713  116,870,772       24    119.3      121  121  121  121        0  121   96.79   92.83
RS1_CL_S1_WC_16S_1_trimmed.fq.gz    FASTQ   DNA       5,761      706,651       58    122.7      123  123  123  123        0  123   96.29   92.29
RS1_CL_S1_WC_16S_2_trimmed.fq.gz    FASTQ   DNA       5,761      686,986       24    119.2      121  121  121  121        0  121   95.11   90.25
RS1_CL_S2_1_16S_1_trimmed.fq.gz     FASTQ   DNA     681,110   83,617,911       29    122.8      123  123  123  123        0  123   97.28   93.96
RS1_CL_S2_1_16S_2_trimmed.fq.gz     FASTQ   DNA     681,110   81,251,991       22    119.3      121  121  121  121        0  121   96.47   92.14
RS1_CL_S2_2_16S_1_trimmed.fq.gz     FASTQ   DNA     658,518   80,854,928       34    122.8      123  123  123  123        0  123   97.57   94.33
RS1_CL_S2_2_16S_2_trimmed.fq.gz     FASTQ   DNA     658,518   78,547,817       22    119.3      121  121  121  121        0  121   96.51    92.2
RS1_CL_S2_3_16S_1_trimmed.fq.gz     FASTQ   DNA     683,797   83,959,116       34    122.8      123  123  123  123        0  123   97.42   94.13
RS1_CL_S2_3_16S_2_trimmed.fq.gz     FASTQ   DNA     683,797   81,586,597       22    119.3      121  121  121  121        0  121   96.64   92.46
RS1_CL_S2_4_16S_1_trimmed.fq.gz     FASTQ   DNA     623,048   76,506,763       34    122.8      123  123  123  123        0  123   97.54    94.3
RS1_CL_S2_4_16S_2_trimmed.fq.gz     FASTQ   DNA     623,048   74,331,948       24    119.3      121  121  121  121        0  121   96.66   92.48
RS1_CL_S2_5_16S_1_trimmed.fq.gz     FASTQ   DNA     957,268  117,507,932       34    122.8      123  123  123  123        0  123   97.37   94.01
