file                        format  type  num_seqs    sum_len  min_len  avg_len  max_len     Q1     Q2     Q3  sum_gap  N50  Q20(%)  Q30(%)
MT1_10_1_16S.1.fq.gz        FASTQ   DNA     31,582  4,482,564      139    141.9      143    141    142    143        0  142   97.19   93.37
MT1_10_1_16S.2.fq.gz        FASTQ   DNA     31,582  4,505,082      139    142.6      143    142    143    143        0  143   96.74   92.42
MT1_10_2_16S.1.fq.gz        FASTQ   DNA     31,453  4,471,315      139    142.2      143    142    142    143        0  142   97.24   93.46
MT1_10_2_16S.2.fq.gz        FASTQ   DNA     31,453  4,489,074      139    142.7      143    142    143    143        0  143   96.69   92.26
MT1_10_3_16S.1.fq.gz        FASTQ   DNA     35,901  5,101,009      139    142.1      143    142    142    142        0  142   97.42   93.63
MT1_10_3_16S.2.fq.gz        FASTQ   DNA     35,901  5,116,267      138    142.5      143    142    143    143        0  143   97.08   92.96
MT1_10_4_16S.1.fq.gz        FASTQ   DNA     33,310  4,736,251      139    142.2      143    142    142    143        0  142   97.29   93.46
MT1_10_4_16S.2.fq.gz        FASTQ   DNA     33,310  4,754,611      139    142.7      143    142    143    143        0  143   96.96   92.88
MT1_10_5_16S.1.fq.gz        FASTQ   DNA     31,391  4,458,792      139      142      143    142    142    143        0  142   97.25   93.44
MT1_10_5_16S.2.fq.gz        FASTQ   DNA     31,391  4,483,928      139    142.8      143    143    143    143        0  143   97.11   93.03
MT1_10_WC_16S.1.fq.gz       FASTQ   DNA         44      6,259      141    142.3      143  141.5  142.5    143        0  143   97.27   94.22
MT1_10_WC_16S.2.fq.gz       FASTQ   DNA         44      6,274      142    142.6      143    142    143    143        0  143   96.56   92.13
MT1_11_1_16S.1.fq.gz        FASTQ   DNA     18,747  2,677,092      139    142.8      143    143    143    143        0  143   97.73   94.28
MT1_11_1_16S.2.fq.gz        FASTQ   DNA     18,747  2,677,917      139    142.8      143    143    143    143        0  143   96.97   93.07
MT1_1_1_16S.1.fq.gz         FASTQ   DNA     27,375  3,894,854      139    142.3      143    142    143    143        0  143   96.99    92.9
MT1_1_1_16S.2.fq.gz         FASTQ   DNA     27,375  3,904,828      138    142.6      143    142    143    143        0  143   96.88   92.58
MT1_11_2_16S.1.fq.gz        FASTQ   DNA     29,252  4,169,315      139    142.5      143    142    143    143        0  143   97.43   93.73
MT1_11_2_16S.2.fq.gz        FASTQ   DNA     29,252  4,179,897      139    142.9      143    143    143    143        0  143   97.01    92.9
MT1_11_3_16S.1.fq.gz        FASTQ   DNA     28,291  4,036,577      139    142.7      143    143    143    143        0  143   97.56   94.03
MT1_11_3_16S.2.fq.gz        FASTQ   DNA     28,291  4,039,776      138    142.8      143    143    143    143        0  143   97.28   93.46
MT1_11_4_16S.1.fq.gz        FASTQ   DNA     26,866  3,825,627      139    142.4      143    142    143    143        0  143   97.33   93.51
MT1_11_4_16S.2.fq.gz        FASTQ   DNA     26,866  3,836,890      140    142.8      143    143    143    143        0  143   96.73   92.48
MT1_11_5_16S.1.fq.gz        FASTQ   DNA     19,402  2,760,372      139    142.3      143    142    143    143        0  143   97.32   93.65
MT1_11_5_16S.2.fq.gz        FASTQ   DNA     19,402  2,771,716      139    142.9      143    143    143    143        0  143   96.64    92.3
MT1_11_WC_16S.1.fq.gz       FASTQ   DNA         67      9,515      140      142      143    141    142    143        0  142    96.7   92.11
MT1_11_WC_16S.2.fq.gz       FASTQ   DNA         67      9,560      140    142.7      143    142    143    143        0  143   95.72   90.47
MT1_12_1_16S.1.fq.gz        FASTQ   DNA     23,351  3,311,982      139    141.8      143    141    142    142        0  142   97.19   93.29
MT1_12_1_16S.2.fq.gz        FASTQ   DNA     23,351  3,328,191      138    142.5      143    142    143    143        0  143   96.66   92.28
MT1_1_2_16S.1.fq.gz         FASTQ   DNA     18,631  2,646,151      139      142      143    142    142    143        0  142    96.7   92.61
MT1_1_2_16S.2.fq.gz         FASTQ   DNA     18,631  2,659,405      139    142.7      143    142    143    143        0  143   96.67   92.26
MT1_12_2_16S.1.fq.gz        FASTQ   DNA     27,220  3,865,532      139      142      143    142    142    143        0  142    97.4   93.53
MT1_12_2_16S.2.fq.gz        FASTQ   DNA     27,220  3,880,569      139    142.6      143    142    143    143        0  143   96.93    92.8
MT1_12_3_16S.1.fq.gz        FASTQ   DNA     20,268  2,877,326      139      142      143    141    142    143        0  142   97.17   93.15
MT1_12_3_16S.2.fq.gz        FASTQ   DNA     20,268  2,892,868      139    142.7      143    142    143    143        0  143   96.96   92.79
MT1_12_4_16S.1.fq.gz        FASTQ   DNA     24,016  3,409,829      139      142      143    142    142    143        0  142   97.24   93.21
MT1_12_4_16S.2.fq.gz        FASTQ   DNA     24,016  3,425,288      139    142.6      143    142    143    143        0  143   96.79   92.49
MT1_12_5_16S.1.fq.gz        FASTQ   DNA     21,547  3,063,537      139    142.2      143    142    142    143        0  142   97.23   93.26
MT1_12_5_16S.2.fq.gz        FASTQ   DNA     21,547  3,073,841      139    142.7      143    142    143    143        0  143   96.91   92.78
MT1_12_WC_16S.1.fq.gz       FASTQ   DNA         59      8,363      140    141.7      143    141    142    143        0  142   95.42   90.53
MT1_12_WC_16S.2.fq.gz       FASTQ   DNA         59      8,418      139    142.7      143    143    143    143        0  143   94.84    89.4
MT1_13_1_16S.1.fq.gz        FASTQ   DNA     26,764  3,799,456      139      142      143    141    142    143        0  142   97.07   93.07
MT1_13_1_16S.2.fq.gz        FASTQ   DNA     26,764  3,819,524      138    142.7      143    142    143    143        0  143   96.77   92.39
MT1_1_3_16S.1.fq.gz         FASTQ   DNA     26,753  3,792,206      139    141.7      143    141    142    143        0  142    96.8   92.75
MT1_1_3_16S.2.fq.gz         FASTQ   DNA     26,753  3,812,718      138    142.5      143    142    143    143        0  143   96.67   92.21
MT1_13_2_16S.1.fq.gz        FASTQ   DNA     20,154  2,865,335      139    142.2      143    142    142    143        0  142    96.8   92.77
MT1_13_2_16S.2.fq.gz        FASTQ   DNA     20,154  2,876,324      139    142.7      143    142    143    143        0  143   96.66    92.2
MT1_13_3_16S.1.fq.gz        FASTQ   DNA     20,171  2,865,137       85      142      143    141    142    143        0  142   97.19   93.27
MT1_13_3_16S.2.fq.gz        FASTQ   DNA     20,171  2,878,093       85    142.7      143    142    143    143        0  143   96.87   92.62
MT1_13_4_16S.1.fq.gz        FASTQ   DNA     17,311  2,458,177      139      142      143    142    142    142        0  142   97.06   93.09
