file                           format  type   num_seqs      sum_len  min_len  avg_len  max_len   Q1   Q2   Q3  sum_gap  N50  Q20(%)  Q30(%)  GC(%)
MT1_10_1_MiFish.1.fq.gz        FASTQ   DNA     779,135  110,831,205       56    142.2      143  142  142  143        0  142   96.41   92.55  48.56
MT1_10_1_MiFish.2.fq.gz        FASTQ   DNA     779,135  111,019,865       56    142.5      143  142  142  143        0  142   96.77   93.05  43.37
MT1_10_2_MiFish.1.fq.gz        FASTQ   DNA     875,957  124,689,858       56    142.3      143  142  142  143        0  142   96.36   92.52  49.65
MT1_10_2_MiFish.2.fq.gz        FASTQ   DNA     875,957  124,758,729       56    142.4      143  142  142  143        0  142   96.92   93.27  44.57
MT1_10_3_MiFish.1.fq.gz        FASTQ   DNA     935,418  133,235,357       55    142.4      143  142  143  143        0  143   96.85    93.1  48.67
MT1_10_3_MiFish.2.fq.gz        FASTQ   DNA     935,418  133,395,099       55    142.6      143  142  143  143        0  143   97.08   93.58   43.9
MT1_10_4_MiFish.1.fq.gz        FASTQ   DNA     805,214  114,428,012       55    142.1      143  142  142  143        0  142   96.42   92.56  49.32
MT1_10_4_MiFish.2.fq.gz        FASTQ   DNA     805,214  114,712,205       55    142.5      143  142  142  143        0  142   96.79   93.04  44.14
MT1_10_5_MiFish.1.fq.gz        FASTQ   DNA     694,729   98,764,174       50    142.2      143  142  142  143        0  142   96.83   93.06  49.16
MT1_10_5_MiFish.2.fq.gz        FASTQ   DNA     694,729   98,950,377       50    142.4      143  142  142  143        0  142   97.01    93.4  44.77
MT1_10_WC_MiFish.1.fq.gz       FASTQ   DNA       3,179      452,860      108    142.5      143  142  143  143        0  143   94.03   89.43  48.46
MT1_10_WC_MiFish.2.fq.gz       FASTQ   DNA       3,179      452,921      108    142.5      143  142  143  143        0  143   94.61   90.06  43.84
MT1_11_1_MiFish.1.fq.gz        FASTQ   DNA     325,091   46,253,384       55    142.3      143  142  142  143        0  142   96.41   92.28  48.91
MT1_11_1_MiFish.2.fq.gz        FASTQ   DNA     325,091   46,411,639       55    142.8      143  143  143  143        0  143   96.75    92.9  45.17
MT1_11_2_MiFish.1.fq.gz        FASTQ   DNA     806,615  114,907,180       55    142.5      143  142  142  143        0  142   96.68   92.73  48.67
MT1_11_2_MiFish.2.fq.gz        FASTQ   DNA     806,615  115,072,214       56    142.7      143  142  143  143        0  143   96.92   93.19  44.07
MT1_11_3_MiFish.1.fq.gz        FASTQ   DNA     676,553   96,215,470       64    142.2      143  142  142  142        0  142    96.6   92.67  49.04
MT1_11_3_MiFish.2.fq.gz        FASTQ   DNA     676,553   96,566,923       64    142.7      143  142  143  143        0  143   96.83      93  45.16
MT1_11_4_MiFish.1.fq.gz        FASTQ   DNA     501,327   71,384,964       63    142.4      143  142  142  143        0  142   96.84   93.05  48.26
MT1_11_4_MiFish.2.fq.gz        FASTQ   DNA     501,327   71,548,862       63    142.7      143  142  143  143        0  143   96.77   92.88  44.28
MT1_11_5_MiFish.1.fq.gz        FASTQ   DNA     354,917   50,487,153       56    142.3      143  142  142  143        0  142   96.82   93.03  49.28
MT1_11_5_MiFish.2.fq.gz        FASTQ   DNA     354,917   50,661,388       56    142.7      143  143  143  143        0  143   96.85   93.06  44.97
MT1_1_1_MiFish.1.fq.gz         FASTQ   DNA   1,347,002  191,767,195       60    142.4      143  142  142  143        0  142   97.08   93.43  47.99
MT1_1_1_MiFish.2.fq.gz         FASTQ   DNA   1,347,002  192,144,375       60    142.6      143  142  143  143        0  143   97.36   94.03   43.6
MT1_11_WC_MiFish.1.fq.gz       FASTQ   DNA     140,122   20,022,946       55    142.9      143  143  143  143        0  143   95.58   90.75  46.07
