file                                   format  type   num_seqs      sum_len  min_len  avg_len  max_len   Q1   Q2   Q3  sum_gap  N50  Q20(%)  Q30(%)
NTC1_MiFish_1_trimmed.fq.gz            FASTQ   DNA      41,111    4,993,098       33    121.5      122  121  122  122        0  122   94.61   89.91
NTC1_MiFish_2_trimmed.fq.gz            FASTQ   DNA      41,111    4,717,026       20    114.7      116  115  115  116        0  115   94.75   90.13
NTC2_MiFish_1_trimmed.fq.gz            FASTQ   DNA      45,284    5,490,793       34    121.3      122  121  122  122        0  122   95.01   90.21
NTC2_MiFish_2_trimmed.fq.gz            FASTQ   DNA      45,284    5,200,500       20    114.8      116  115  116  116        0  116   95.84   91.67
NTC3_MiFish_1_trimmed.fq.gz            FASTQ   DNA       6,199      735,326       41    118.6      122  121  122  122        0  122   92.97    87.4
NTC3_MiFish_2_trimmed.fq.gz            FASTQ   DNA       6,199      693,518       20    111.9      116  115  116  116        0  116   94.29   89.29
RS1_CL_BC_MiFish_1_trimmed.fq.gz       FASTQ   DNA      65,469    7,916,594       52    120.9      122  121  121  121        0  121   96.87      93
RS1_CL_BC_MiFish_2_trimmed.fq.gz       FASTQ   DNA      65,469    7,531,705       20      115      116  116  116  116        0  116    96.4   92.12
RS1_CL_EB_MiFish_1_trimmed.fq.gz       FASTQ   DNA     104,455   12,641,563       33      121      122  121  121  121        0  121   97.02    93.2
RS1_CL_EB_MiFish_2_trimmed.fq.gz       FASTQ   DNA     104,455   12,027,834       20    115.1      116  116  116  116        0  116   96.51   92.31
RS1_CL_L1_1_MiFish_1_trimmed.fq.gz     FASTQ   DNA   1,097,236  133,357,302       33    121.5      122  122  122  122        0  122   96.29   92.05
RS1_CL_L1_1_MiFish_2_trimmed.fq.gz     FASTQ   DNA   1,097,236  125,967,599       20    114.8      116  115  116  116        0  116   96.64   92.82
RS1_CL_L1_2_MiFish_1_trimmed.fq.gz     FASTQ   DNA     980,271  119,029,108       36    121.4      122  121  122  122        0  122   96.41   92.25
RS1_CL_L1_2_MiFish_2_trimmed.fq.gz     FASTQ   DNA     980,271  112,438,318       20    114.7      116  115  115  116        0  115   96.65   92.77
RS1_CL_L1_3_MiFish_1_trimmed.fq.gz     FASTQ   DNA     860,187  104,051,900       33      121      122  121  122  122        0  122   95.98   91.61
RS1_CL_L1_3_MiFish_2_trimmed.fq.gz     FASTQ   DNA     860,187   98,734,735       20    114.8      116  115  116  116        0  116   96.61   92.77
