file                           format  type  num_seqs    sum_len  min_len  avg_len  max_len   Q1   Q2   Q3  sum_gap  N50  Q20(%)  Q30(%)
MT1_10_1_MiFish.1.fq.gz        FASTQ   DNA     20,454  2,916,145      138    142.6      143  142  143  143        0  143   95.17   90.17
MT1_10_1_MiFish.2.fq.gz        FASTQ   DNA     20,454  2,915,387      139    142.5      143  142  143  143        0  143   96.48   92.02
MT1_10_2_MiFish.1.fq.gz        FASTQ   DNA     23,402  3,335,172      139    142.5      143  142  143  143        0  143   95.25    90.3
MT1_10_2_MiFish.2.fq.gz        FASTQ   DNA     23,402  3,335,414      133    142.5      143  142  143  143        0  143   96.62    92.2
MT1_10_3_MiFish.1.fq.gz        FASTQ   DNA     24,836  3,538,685      140    142.5      143  142  143  143        0  143   95.95   91.16
MT1_10_3_MiFish.2.fq.gz        FASTQ   DNA     24,836  3,539,960      136    142.5      143  142  143  143        0  143    96.9   92.76
MT1_10_4_MiFish.1.fq.gz        FASTQ   DNA     20,045  2,854,962      140    142.4      143  142  143  143        0  143   95.25   90.25
MT1_10_4_MiFish.2.fq.gz        FASTQ   DNA     20,045  2,855,369      137    142.4      143  142  143  143        0  143   96.47   91.91
MT1_10_5_MiFish.1.fq.gz        FASTQ   DNA     17,175  2,448,526      139    142.6      143  142  143  143        0  143   95.76   90.91
MT1_10_5_MiFish.2.fq.gz        FASTQ   DNA     17,175  2,446,508      139    142.4      143  142  143  143        0  143   96.68   92.35
MT1_10_WC_MiFish.1.fq.gz       FASTQ   DNA         57      8,125      141    142.5      143  142  143  143        0  143   94.67   90.23
MT1_10_WC_MiFish.2.fq.gz       FASTQ   DNA         57      8,117      141    142.4      143  142  143  143        0  143   97.28   92.98
MT1_11_1_MiFish.1.fq.gz        FASTQ   DNA      7,620  1,087,447      140    142.7      143  143  143  143        0  143   95.66   90.78
MT1_11_1_MiFish.2.fq.gz        FASTQ   DNA      7,620  1,083,395      133    142.2      143  142  142  143        0  142   96.81   92.73
MT1_11_2_MiFish.1.fq.gz        FASTQ   DNA     20,588  2,932,474      139    142.4      143  142  143  143        0  143   95.69   90.72
MT1_11_2_MiFish.2.fq.gz        FASTQ   DNA     20,588  2,925,469      137    142.1      143  141  142  143        0  142   96.76    92.5
MT1_11_3_MiFish.1.fq.gz        FASTQ   DNA     16,943  2,418,112      139    142.7      143  143  143  143        0  143   95.71   90.84
MT1_11_3_MiFish.2.fq.gz        FASTQ   DNA     16,943  2,410,017      137    142.2      143  142  142  143        0  142   96.65    92.4
MT1_11_4_MiFish.1.fq.gz        FASTQ   DNA     14,781  2,106,344      139    142.5      143  142  143  143        0  143   96.67   92.35
MT1_11_4_MiFish.2.fq.gz        FASTQ   DNA     14,781  2,100,993      139    142.1      143  141  142  143        0  142   97.07   92.95
MT1_11_5_MiFish.1.fq.gz        FASTQ   DNA     10,727  1,527,581      140    142.4      143  142  143  143        0  143   96.78   92.64
MT1_11_5_MiFish.2.fq.gz        FASTQ   DNA     10,727  1,524,641      133    142.1      143  142  142  143        0  142   97.11   93.09
MT1_1_1_MiFish.1.fq.gz         FASTQ   DNA     36,867  5,256,582      138    142.6      143  142  143  143        0  143   96.36   91.65
MT1_1_1_MiFish.2.fq.gz         FASTQ   DNA     36,867  5,248,139      139    142.4      143  142  142  143        0  142   97.41   93.48
MT1_11_WC_MiFish.1.fq.gz       FASTQ   DNA      1,970    281,663      141      143      143  143  143  143        0  143   94.78   89.12
MT1_11_WC_MiFish.2.fq.gz       FASTQ   DNA      1,970    278,103      141    141.2      143  141  141  141        0  141   96.53   91.24
MT1_12_1_MiFish.1.fq.gz        FASTQ   DNA     15,128  2,154,686      139    142.4      143  142  143  143        0  143   96.41   91.93
MT1_12_1_MiFish.2.fq.gz        FASTQ   DNA     15,128  2,152,377      139    142.3      143  141  143  143        0  143   97.25   93.32
MT1_12_2_MiFish.1.fq.gz        FASTQ   DNA     10,909  1,554,533      140    142.5      143  142  143  143        0  143   96.45      92
MT1_12_2_MiFish.2.fq.gz        FASTQ   DNA     10,909  1,551,361      133    142.2      143  141  143  143        0  143   97.15   93.02
MT1_12_3_MiFish.1.fq.gz        FASTQ   DNA     11,654  1,660,880      140    142.5      143  142  143  143        0  143   96.55   92.14
MT1_12_3_MiFish.2.fq.gz        FASTQ   DNA     11,654  1,657,598      139    142.2      143  141  143  143        0  143   97.32   93.37
MT1_12_4_MiFish.1.fq.gz        FASTQ   DNA     10,239  1,459,449      139    142.5      143  142  143  143        0  143   96.33   91.77
MT1_12_4_MiFish.2.fq.gz        FASTQ   DNA     10,239  1,455,120      133    142.1      143  141  143  143        0  143   97.26   93.31
MT1_12_5_MiFish.1.fq.gz        FASTQ   DNA     15,793  2,251,192      139    142.5      143  142  143  143        0  143   95.78   91.13
MT1_12_5_MiFish.2.fq.gz        FASTQ   DNA     15,793  2,247,040      133    142.3      143  141  143  143        0  143   97.18   93.13
MT1_1_2_MiFish.1.fq.gz         FASTQ   DNA     28,192  4,015,760      139    142.4      143  142  143  143        0  143   96.54    92.1
MT1_1_2_MiFish.2.fq.gz         FASTQ   DNA     28,192  4,014,595      133    142.4      143  142  143  143        0  143   97.29    93.3
MT1_12_WC_MiFish.1.fq.gz       FASTQ   DNA      1,084    154,401      141    142.4      143  142  143  143        0  143   95.96   91.19
MT1_12_WC_MiFish.2.fq.gz       FASTQ   DNA      1,084    153,791      139    141.9      143  141  142  143        0  142   96.59   92.06
MT1_13_1_MiFish.1.fq.gz        FASTQ   DNA     11,618  1,654,678      139    142.4      143  142  143  143        0  143   95.05   90.42
MT1_13_1_MiFish.2.fq.gz        FASTQ   DNA     11,618  1,654,073      133    142.4      143  142  143  143        0  143   96.44   91.98
MT1_13_2_MiFish.1.fq.gz        FASTQ   DNA     32,328  4,605,725      139    142.5      143  142  143  143        0  143   96.79   92.55
MT1_13_2_MiFish.2.fq.gz        FASTQ   DNA     32,328  4,593,990      137    142.1      143  141  142  143        0  142   97.41   93.48
MT1_13_3_MiFish.1.fq.gz        FASTQ   DNA     34,364  4,891,341      139    142.3      143  142  142  143        0  142   96.37   91.98
MT1_13_3_MiFish.2.fq.gz        FASTQ   DNA     34,364  4,886,310      133    142.2      143  141  142  143        0  142   97.17   93.09
MT1_13_4_MiFish.1.fq.gz        FASTQ   DNA     27,813  3,961,513      102    142.4      143  142  143  143        0  143    96.6   92.39
MT1_13_4_MiFish.2.fq.gz        FASTQ   DNA     27,813  3,958,017      102    142.3      143  142  143  143        0  143   97.39   93.51
MT1_1_3_MiFish.1.fq.gz         FASTQ   DNA     23,874  3,398,164      140    142.3      143  142  142  143        0  142   96.67   92.26
MT1_1_3_MiFish.2.fq.gz         FASTQ   DNA     23,874  3,402,721      137    142.5      143  142  143  143        0  143   97.28   93.34
MT1_13_WC_MiFish.1.fq.gz       FASTQ   DNA      2,471    352,001      139    142.5      143  141  143  143        0  143   95.21    89.9
MT1_13_WC_MiFish.2.fq.gz       FASTQ   DNA      2,471    349,991      139    141.6      143  141  141  143        0  141   96.39   91.22
MT1_14_1_MiFish.1.fq.gz        FASTQ   DNA     23,042  3,285,543      138    142.6      143  142  143  143        0  143   96.72   92.45
MT1_14_1_MiFish.2.fq.gz        FASTQ   DNA     23,042  3,281,432      138    142.4      143  142  143  143        0  143   97.28   93.31
MT1_14_2_MiFish.1.fq.gz        FASTQ   DNA     24,969  3,557,108      140    142.5      143  142  143  143        0  143   96.93   92.75
MT1_14_2_MiFish.2.fq.gz        FASTQ   DNA     24,969  3,558,280      133    142.5      143  142  143  143        0  143   97.33   93.41
MT1_14_3_MiFish.1.fq.gz        FASTQ   DNA     29,493  4,196,288       63    142.3      143  142  142  143        0  142   96.99   92.99
MT1_14_3_MiFish.2.fq.gz        FASTQ   DNA     29,493  4,207,564       63    142.7      143  143  143  143        0  143   97.29   93.29
MT1_14_4_MiFish.1.fq.gz        FASTQ   DNA     30,310  4,315,759      139    142.4      143  142  142  143        0  142   96.75   92.51
MT1_14_4_MiFish.2.fq.gz        FASTQ   DNA     30,310  4,318,402      132    142.5      143  142  143  143        0  143   97.14   93.05
MT1_14_5_MiFish.1.fq.gz        FASTQ   DNA     32,815  4,677,890      140    142.6      143  142  143  143        0  143   96.55    92.3
MT1_14_5_MiFish.2.fq.gz        FASTQ   DNA     32,815  4,683,246      133    142.7      143  143  143  143        0  143   97.01   92.88
MT1_1_4_MiFish.1.fq.gz         FASTQ   DNA     43,329  6,174,580       88    142.5      143  142  143  143        0  143   96.49   92.03
MT1_1_4_MiFish.2.fq.gz         FASTQ   DNA     43,329  6,166,664       88    142.3      143  142  143  143        0  143   97.31   93.26
MT1_14_WC_MiFish.1.fq.gz       FASTQ   DNA        576     82,220      140    142.7      143  143  143  143        0  143   95.05   89.62
MT1_14_WC_MiFish.2.fq.gz       FASTQ   DNA        576     81,429      141    141.4      143  141  141  141        0  141    96.1   90.67
MT1_15_1_MiFish.1.fq.gz        FASTQ   DNA     37,956  5,410,071      140    142.5      143  142  143  143        0  143   96.32   91.86
MT1_15_1_MiFish.2.fq.gz        FASTQ   DNA     37,956  5,405,877      133    142.4      143  142  143  143        0  143   96.99   92.75
MT1_15_2_MiFish.1.fq.gz        FASTQ   DNA     36,827  5,252,972       52    142.6      143  142  143  143        0  143   96.23   91.75
MT1_15_2_MiFish.2.fq.gz        FASTQ   DNA     36,827  5,247,971       52    142.5      143  142  143  143        0  143   97.04   92.92
MT1_15_3_MiFish.1.fq.gz        FASTQ   DNA     26,263  3,744,430      139    142.6      143  142  143  143        0  143   96.07    91.6
MT1_15_3_MiFish.2.fq.gz        FASTQ   DNA     26,263  3,737,263      139    142.3      143  141  143  143        0  143   96.86   92.49
MT1_15_4_MiFish.1.fq.gz        FASTQ   DNA     34,226  4,877,987      139    142.5      143  142  143  143        0  143   96.29   91.95
MT1_15_4_MiFish.2.fq.gz        FASTQ   DNA     34,226  4,867,762      133    142.2      143  141  143  143        0  143   96.95   92.71
MT1_15_5_MiFish.1.fq.gz        FASTQ   DNA     20,362  2,904,509      139    142.6      143  142  143  143        0  143   95.92   91.29
MT1_15_5_MiFish.2.fq.gz        FASTQ   DNA     20,362  2,900,263      137    142.4      143  142  143  143        0  143   96.87   92.55
MT1_1_5_MiFish.1.fq.gz         FASTQ   DNA     29,980  4,271,092      138    142.5      143  142  143  143        0  143   96.37   91.87
MT1_1_5_MiFish.2.fq.gz         FASTQ   DNA     29,980  4,269,768      138    142.4      143  142  143  143        0  143   97.13   93.05
MT1_15_WC_MiFish.1.fq.gz       FASTQ   DNA        711    101,139      140    142.2      143  141  143  143        0  143    95.4   90.29
MT1_15_WC_MiFish.2.fq.gz       FASTQ   DNA        711    100,447      139    141.3      143  141  141  141        0  141   95.96    91.1
MT1_16_1_MiFish.1.fq.gz        FASTQ   DNA     30,937  4,403,208      140    142.3      143  142  142  143        0  142    95.8   91.21
MT1_16_1_MiFish.2.fq.gz        FASTQ   DNA     30,937  4,392,698      140      142      143  141  142  143        0  142   96.98   92.76
MT1_16_2_MiFish.1.fq.gz        FASTQ   DNA     18,101  2,578,980      134    142.5      143  142  143  143        0  143   96.39   91.99
MT1_16_2_MiFish.2.fq.gz        FASTQ   DNA     18,101  2,577,243      139    142.4      143  141  143  143        0  143   96.95   92.76
MT1_16_3_MiFish.1.fq.gz        FASTQ   DNA     27,264  3,884,374      140    142.5      143  142  143  143        0  143   95.89   90.87
MT1_16_3_MiFish.2.fq.gz        FASTQ   DNA     27,264  3,883,743      133    142.4      143  142  143  143        0  143    97.5   93.68
MT1_16_4_MiFish.1.fq.gz        FASTQ   DNA     28,907  4,118,317      139    142.5      143  142  143  143        0  143   95.73   90.58
MT1_16_4_MiFish.2.fq.gz        FASTQ   DNA     28,907  4,113,459      139    142.3      143  141  143  143        0  143   97.46   93.42
MT1_16_5_MiFish.1.fq.gz        FASTQ   DNA     30,857  4,398,544      139    142.5      143  142  143  143        0  143   95.68   90.52
MT1_16_5_MiFish.2.fq.gz        FASTQ   DNA     30,857  4,400,431      137    142.6      143  142  143  143        0  143   97.62    93.9
MT1_16_WC_MiFish.1.fq.gz       FASTQ   DNA      1,060    151,428      140    142.9      143  143  143  143        0  143   97.09   93.11
MT1_16_WC_MiFish.2.fq.gz       FASTQ   DNA      1,060    151,390      141    142.8      143  143  143  143        0  143   96.18      91
MT1_17_1_MiFish.1.fq.gz        FASTQ   DNA     36,489  5,200,222       63    142.5      143  142  143  143        0  143   95.72   90.55
MT1_17_1_MiFish.2.fq.gz        FASTQ   DNA     36,489  5,192,356       63    142.3      143  142  142  143        0  142   97.48   93.67
MT1_17_2_MiFish.1.fq.gz        FASTQ   DNA     27,999  3,993,119      139    142.6      143  142  143  143        0  143   95.84   90.72
MT1_17_2_MiFish.2.fq.gz        FASTQ   DNA     27,999  3,983,279      138    142.3      143  142  142  143        0  142   97.61   93.93
MT1_17_3_MiFish.1.fq.gz        FASTQ   DNA     21,412  3,051,407      140    142.5      143  142  143  143        0  143   95.59   90.39
MT1_17_3_MiFish.2.fq.gz        FASTQ   DNA     21,412  3,047,686      133    142.3      143  142  143  143        0  143   97.48   93.74
MT1_17_4_MiFish.1.fq.gz        FASTQ   DNA     41,061  5,845,196      138    142.4      143  142  143  143        0  143   95.82   90.63
MT1_17_4_MiFish.2.fq.gz        FASTQ   DNA     41,061  5,842,001      133    142.3      143  142  142  143        0  142   97.59   93.92
MT1_17_5_MiFish.1.fq.gz        FASTQ   DNA      9,727  1,386,845      140    142.6      143  142  143  143        0  143   95.83   90.97
MT1_17_5_MiFish.2.fq.gz        FASTQ   DNA      9,727  1,382,537      137    142.1      143  141  142  143        0  142   97.14   93.09
MT1_17_WC_MiFish.1.fq.gz       FASTQ   DNA        733    103,758      140    141.6      143  141  141  143        0  141   96.57   92.31
MT1_17_WC_MiFish.2.fq.gz       FASTQ   DNA        733    103,526      140    141.2      143  141  141  141        0  141   96.55   92.23
MT1_18_1_MiFish.1.fq.gz        FASTQ   DNA     30,812  4,384,602      139    142.3      143  142  142  143        0  142   95.88   90.96
MT1_18_1_MiFish.2.fq.gz        FASTQ   DNA     30,812  4,390,369      139    142.5      143  142  143  143        0  143   97.12      93
MT1_18_2_MiFish.1.fq.gz        FASTQ   DNA     26,869  3,823,577      139    142.3      143  142  142  143        0  142   95.64   90.67
MT1_18_2_MiFish.2.fq.gz        FASTQ   DNA     26,869  3,827,940      140    142.5      143  142  143  143        0  143   96.93   92.71
MT1_18_3_MiFish.1.fq.gz        FASTQ   DNA     28,272  4,023,354      139    142.3      143  142  142  143        0  142   95.52   90.47
MT1_18_3_MiFish.2.fq.gz        FASTQ   DNA     28,272  4,029,519      139    142.5      143  142  143  143        0  143   96.93   92.73
MT1_18_4_MiFish.1.fq.gz        FASTQ   DNA     22,326  3,174,836      139    142.2      143  142  142  143        0  142   95.71   90.75
MT1_18_4_MiFish.2.fq.gz        FASTQ   DNA     22,326  3,176,462      133    142.3      143  141  143  143        0  143   96.82   92.48
MT1_18_5_MiFish.1.fq.gz        FASTQ   DNA     27,437  3,906,309      139    142.4      143  142  142  143        0  142   95.72    90.8
MT1_18_5_MiFish.2.fq.gz        FASTQ   DNA     27,437  3,912,183      137    142.6      143  142  143  143        0  143   96.85   92.56
MT1_18_WC_MiFish.1.fq.gz       FASTQ   DNA        103     14,645      141    142.2      143  141  143  143        0  143   95.22   90.28
MT1_18_WC_MiFish.2.fq.gz       FASTQ   DNA        103     14,635      141    142.1      143  141  142  143        0  142   95.39   90.37
MT1_19_1_MiFish.1.fq.gz        FASTQ   DNA     23,394  3,330,737      140    142.4      143  142  142  143        0  142   95.57    90.5
MT1_19_1_MiFish.2.fq.gz        FASTQ   DNA     23,394  3,338,475      133    142.7      143  143  143  143        0  143   96.93   92.86
MT1_19_2_MiFish.1.fq.gz        FASTQ   DNA     31,809  4,521,956      140    142.2      143  142  142  142        0  142   95.22   89.97
MT1_19_2_MiFish.2.fq.gz        FASTQ   DNA     31,809  4,545,793      133    142.9      143  143  143  143        0  143   97.34   93.66
MT1_19_3_MiFish.1.fq.gz        FASTQ   DNA      6,657    946,045      140    142.1      143  142  142  142        0  142   96.66    92.3
MT1_19_3_MiFish.2.fq.gz        FASTQ   DNA      6,657    950,786      133    142.8      143  143  143  143        0  143   97.37   93.63
MT1_19_4_MiFish.1.fq.gz        FASTQ   DNA     18,424  2,619,690      140    142.2      143  142  142  143        0  142   96.52   92.12
MT1_19_4_MiFish.2.fq.gz        FASTQ   DNA     18,424  2,630,760      133    142.8      143  143  143  143        0  143   97.45   93.75
MT1_19_5_MiFish.1.fq.gz        FASTQ   DNA     16,043  2,280,150      140    142.1      143  142  142  142        0  142   96.48    92.1
MT1_19_5_MiFish.2.fq.gz        FASTQ   DNA     16,043  2,291,063      133    142.8      143  143  143  143        0  143   97.34   93.59
MT1_19_WC_MiFish.1.fq.gz       FASTQ   DNA        708    100,104      140    141.4      143  141  141  141        0  141   96.82   92.75
MT1_19_WC_MiFish.2.fq.gz       FASTQ   DNA        708     99,939      139    141.2      143  141  141  141        0  141   96.99   93.08
MT1_1_WC_MiFish.1.fq.gz        FASTQ   DNA      2,584    369,406      140      143      143  143  143  143        0  143   95.25   89.78
MT1_1_WC_MiFish.2.fq.gz        FASTQ   DNA      2,584    364,881      140    141.2      143  141  141  141        0  141   96.04   90.38
MT1_20_1_MiFish.1.fq.gz        FASTQ   DNA     21,216  3,020,172      139    142.4      143  142  143  143        0  143   96.56   92.19
MT1_20_1_MiFish.2.fq.gz        FASTQ   DNA     21,216  3,016,472      133    142.2      143  141  143  143        0  143   97.15   93.14
MT1_20_2_MiFish.1.fq.gz        FASTQ   DNA     24,583  3,497,237      139    142.3      143  142  142  143        0  142   96.69   92.43
MT1_20_2_MiFish.2.fq.gz        FASTQ   DNA     24,583  3,499,468      133    142.4      143  141  143  143        0  143   97.03   92.93
MT1_20_3_MiFish.1.fq.gz        FASTQ   DNA     22,189  3,157,208      139    142.3      143  142  142  143        0  142   96.49   92.09
MT1_20_3_MiFish.2.fq.gz        FASTQ   DNA     22,189  3,161,023      133    142.5      143  142  143  143        0  143   97.02   92.87
MT1_20_4_MiFish.1.fq.gz        FASTQ   DNA     22,814  3,249,760      139    142.4      143  142  143  143        0  143   96.35   91.84
MT1_20_4_MiFish.2.fq.gz        FASTQ   DNA     22,814  3,251,342      133    142.5      143  142  143  143        0  143   97.19   93.22
MT1_20_5_MiFish.1.fq.gz        FASTQ   DNA     17,592  2,500,800      139    142.2      143  142  142  143        0  142   96.73   92.46
MT1_20_5_MiFish.2.fq.gz        FASTQ   DNA     17,592  2,500,886      133    142.2      143  141  142  143        0  142   97.34   93.53
MT1_20_WC_MiFish.1.fq.gz       FASTQ   DNA        533     75,832      141    142.3      143  142  142  143        0  142   95.77   90.99
MT1_20_WC_MiFish.2.fq.gz       FASTQ   DNA        533     75,944      141    142.5      143  142  143  143        0  143    97.2   93.24
MT1_21_1_MiFish.1.fq.gz        FASTQ   DNA     13,837  1,971,466       52    142.5      143  142  143  143        0  143   96.35   91.94
MT1_21_1_MiFish.2.fq.gz        FASTQ   DNA     13,837  1,969,895       52    142.4      143  142  143  143        0  143   96.99   92.78
MT1_21_2_MiFish.1.fq.gz        FASTQ   DNA     35,759  5,089,513       86    142.3      143  142  143  143        0  143   96.58   92.28
MT1_21_2_MiFish.2.fq.gz        FASTQ   DNA     35,759  5,085,819       86    142.2      143  141  143  143        0  143   97.16   93.14
MT1_21_3_MiFish.1.fq.gz        FASTQ   DNA     35,915  5,110,370      139    142.3      143  142  142  143        0  142   96.57   92.31
MT1_21_3_MiFish.2.fq.gz        FASTQ   DNA     35,915  5,110,442      138    142.3      143  141  143  143        0  143   96.98   92.86
MT1_21_4_MiFish.1.fq.gz        FASTQ   DNA     26,649  3,791,719       72    142.3      143  141  143  143        0  143   95.91   91.52
MT1_21_4_MiFish.2.fq.gz        FASTQ   DNA     26,649  3,788,764       72    142.2      143  141  143  143        0  143    96.9   92.74
MT1_21_5_MiFish.1.fq.gz        FASTQ   DNA     28,814  4,097,746      125    142.2      143  142  142  143        0  142   96.63   92.41
MT1_21_5_MiFish.2.fq.gz        FASTQ   DNA     28,814  4,094,047      125    142.1      143  141  142  143        0  142      97   92.83
MT1_2_1_MiFish.1.fq.gz         FASTQ   DNA     27,326  3,892,753      139    142.5      143  142  143  143        0  143   96.29   91.74
MT1_2_1_MiFish.2.fq.gz         FASTQ   DNA     27,326  3,891,531      137    142.4      143  142  143  143        0  143    96.8   92.54
MT1_21_WC_MiFish.1.fq.gz       FASTQ   DNA      2,279    325,728       57    142.9      143  143  143  143        0  143   94.67   88.75
MT1_21_WC_MiFish.2.fq.gz       FASTQ   DNA      2,279    321,630       57    141.1      143  141  141  141        0  141   96.41   90.99
MT1_22_1_MiFish.1.fq.gz        FASTQ   DNA     38,659  5,509,999      139    142.5      143  142  143  143        0  143   96.21   91.65
MT1_22_1_MiFish.2.fq.gz        FASTQ   DNA     38,659  5,501,372      139    142.3      143  141  143  143        0  143   97.09   92.99
MT1_22_2_MiFish.1.fq.gz        FASTQ   DNA     40,017  5,705,258       50    142.6      143  142  143  143        0  143   95.99   91.26
MT1_22_2_MiFish.2.fq.gz        FASTQ   DNA     40,017  5,700,010       50    142.4      143  142  143  143        0  143    97.1   93.05
MT1_22_3_MiFish.1.fq.gz        FASTQ   DNA     27,161  3,871,108      138    142.5      143  142  143  143        0  143   96.15   91.53
MT1_22_3_MiFish.2.fq.gz        FASTQ   DNA     27,161  3,870,706      139    142.5      143  142  143  143        0  143   97.29   93.34
MT1_22_4_MiFish.1.fq.gz        FASTQ   DNA      8,287  1,180,084      101    142.4      143  142  143  143        0  143   95.09   89.59
MT1_22_4_MiFish.2.fq.gz        FASTQ   DNA      8,287  1,180,024      101    142.4      143  142  143  143        0  143   97.15   93.07
MT1_22_5_MiFish.1.fq.gz        FASTQ   DNA     21,934  3,124,327      139    142.4      143  142  143  143        0  143   95.02   89.44
MT1_22_5_MiFish.2.fq.gz        FASTQ   DNA     21,934  3,123,482      139    142.4      143  142  143  143        0  143   97.24   93.24
MT1_2_2_MiFish.1.fq.gz         FASTQ   DNA     20,308  2,892,319      139    142.4      143  142  143  143        0  143   96.38   91.95
MT1_2_2_MiFish.2.fq.gz         FASTQ   DNA     20,308  2,893,034      137    142.5      143  142  143  143        0  143   96.84   92.57
MT1_22_WC_MiFish.1.fq.gz       FASTQ   DNA      1,946    278,078       51    142.9      143  143  143  143        0  143      96   91.18
MT1_22_WC_MiFish.2.fq.gz       FASTQ   DNA      1,946    276,454       51    142.1      143  141  143  143        0  143   96.92   92.21
MT1_23_1_MiFish.1.fq.gz        FASTQ   DNA     19,283  2,741,629      140    142.2      143  142  142  143        0  142   95.49   90.31
MT1_23_1_MiFish.2.fq.gz        FASTQ   DNA     19,283  2,746,000      138    142.4      143  142  143  143        0  143   97.14   93.06
MT1_23_2_MiFish.1.fq.gz        FASTQ   DNA     21,250  3,019,227      132    142.1      143  141  142  143        0  142    95.6    90.5
MT1_23_2_MiFish.2.fq.gz        FASTQ   DNA     21,250  3,019,584      133    142.1      143  141  143  143        0  143   97.11   93.08
MT1_23_3_MiFish.1.fq.gz        FASTQ   DNA     20,701  2,940,501       64      142      143  141  142  143        0  142   95.14    89.8
MT1_23_3_MiFish.2.fq.gz        FASTQ   DNA     20,701  2,944,151       64    142.2      143  141  143  143        0  143   96.97   92.78
MT1_23_4_MiFish.1.fq.gz        FASTQ   DNA     25,730  3,658,257      139    142.2      143  142  142  143        0  142   95.08   89.79
MT1_23_4_MiFish.2.fq.gz        FASTQ   DNA     25,730  3,658,939      139    142.2      143  141  143  143        0  143   97.03   92.86
MT1_23_5_MiFish.1.fq.gz        FASTQ   DNA     33,365  4,751,597      139    142.4      143  142  143  143        0  143   95.07   89.58
MT1_23_5_MiFish.2.fq.gz        FASTQ   DNA     33,365  4,747,324      139    142.3      143  141  143  143        0  143   97.19   93.18
MT1_2_3_MiFish.1.fq.gz         FASTQ   DNA     29,000  4,130,554      139    142.4      143  142  143  143        0  143   96.27   91.82
MT1_2_3_MiFish.2.fq.gz         FASTQ   DNA     29,000  4,133,455      137    142.5      143  142  143  143        0  143   96.85   92.59
