file                                    format  type  num_seqs     sum_len  min_len  avg_len  max_len    Q1   Q2    Q3  sum_gap  N50  Q20(%)  Q30(%)
NTC1_16S_1_trimmed.fq.gz                FASTQ   DNA         67       8,179      121    122.1      123   121  123   123        0  123   90.13   84.11
NTC1_16S_2_trimmed.fq.gz                FASTQ   DNA         67       8,169      121    121.9      123   121  121   123        0  121   88.93   82.09
V10_CKI_BC_1_16S_1_trimmed.fq.gz        FASTQ   DNA     37,793   4,609,737      121      122      123   121  121   123        0  121    96.1   92.03
V10_CKI_BC_1_16S_2_trimmed.fq.gz        FASTQ   DNA     37,793   4,611,755      121      122      123   121  123   123        0  123   95.21   90.33
V10_CKI_BC_2_16S_1_trimmed.fq.gz        FASTQ   DNA     48,541   5,920,838       32      122      123   121  121   123        0  121   96.43   92.53
V10_CKI_BC_2_16S_2_trimmed.fq.gz        FASTQ   DNA     48,541   5,922,852       64      122      123   121  123   123        0  123   95.84   90.92
V10_CKI_BC_3_16S_1_trimmed.fq.gz        FASTQ   DNA     60,299   7,357,677       45      122      123   121  123   123        0  123   97.08   93.46
V10_CKI_BC_3_16S_2_trimmed.fq.gz        FASTQ   DNA     60,299   7,355,157       77      122      123   121  121   123        0  121   96.38   91.87
V10_CKI_BC_4_16S_1_trimmed.fq.gz        FASTQ   DNA      4,933     601,239      121    121.9      123   121  121   123        0  121   95.28   91.05
V10_CKI_BC_4_16S_2_trimmed.fq.gz        FASTQ   DNA      4,933     602,413      121    122.1      123   121  123   123        0  123   94.18   88.77
V10_CKI_BC_5_16S_1_trimmed.fq.gz        FASTQ   DNA        128      15,612      121      122      123   121  121   123        0  121   94.58   89.87
V10_CKI_BC_5_16S_2_trimmed.fq.gz        FASTQ   DNA        128      15,620      121      122      123   121  123   123        0  123   93.46   87.34
V10_CKI_EB_1_16S_1_trimmed.fq.gz        FASTQ   DNA     20,986   2,559,960      121      122      123   121  121   123        0  121   96.35   92.28
V10_CKI_EB_1_16S_2_trimmed.fq.gz        FASTQ   DNA     20,986   2,560,624      121      122      123   121  123   123        0  123   95.08   89.73
V10_CKI_EB_2_16S_1_trimmed.fq.gz        FASTQ   DNA      1,777     216,663      121    121.9      123   121  121   123        0  121   93.25   88.24
V10_CKI_EB_2_16S_2_trimmed.fq.gz        FASTQ   DNA      1,777     216,925      121    122.1      123   121  123   123        0  123   91.69   85.29
V10_CKI_EB_3_16S_1_trimmed.fq.gz        FASTQ   DNA      1,637     199,583      121    121.9      123   121  121   123        0  121   93.22    88.5
V10_CKI_EB_3_16S_2_trimmed.fq.gz        FASTQ   DNA      1,637     199,845      121    122.1      123   121  123   123        0  123   91.47   85.29
V10_CKI_EB_4_16S_1_trimmed.fq.gz        FASTQ   DNA      2,413     293,871      121    121.8      123   121  121   123        0  121   93.86   88.76
V10_CKI_EB_4_16S_2_trimmed.fq.gz        FASTQ   DNA      2,413     294,901      121    122.2      123   121  123   123        0  123    91.8   85.33
V10_CKI_N_10_1_16S_1_trimmed.fq.gz      FASTQ   DNA    295,815  36,078,838       22      122      123   121  121   123        0  121   96.54   92.64
V10_CKI_N_10_1_16S_2_trimmed.fq.gz      FASTQ   DNA    295,815  36,098,747       21      122      123   121  123   123        0  123   96.13   91.54
V10_CKI_N_10_2_16S_1_trimmed.fq.gz      FASTQ   DNA    168,141  20,507,174       24      122      123   121  121   123        0  121   96.83   92.97
V10_CKI_N_10_2_16S_2_trimmed.fq.gz      FASTQ   DNA    168,141  20,518,527       38      122      123   121  123   123        0  123   95.92   91.14
V10_CKI_N_10_3_16S_1_trimmed.fq.gz      FASTQ   DNA    460,964  56,223,500       25      122      123   121  121   123        0  121   96.49    92.5
V10_CKI_N_10_3_16S_2_trimmed.fq.gz      FASTQ   DNA    460,964  56,250,495       64      122      123   121  123   123        0  123   95.14   90.15
V10_CKI_N_10_4_16S_1_trimmed.fq.gz      FASTQ   DNA    196,431  23,963,719       25      122      123   121  121   123        0  123   97.39   93.91
V10_CKI_N_10_4_16S_2_trimmed.fq.gz      FASTQ   DNA    196,431  23,964,757       33      122      123   121  123   123        0  123   96.45   91.96
V10_CKI_N_10_5_16S_1_trimmed.fq.gz      FASTQ   DNA    311,122  37,911,453       25    121.9      123   121  121   123        0  121   96.44   92.45
V10_CKI_N_10_5_16S_2_trimmed.fq.gz      FASTQ   DNA    311,122  38,000,635       34    122.1      123   121  123   123        0  123   95.81   91.02
V10_CKI_N_10_DI_16S_1_trimmed.fq.gz     FASTQ   DNA     38,793   4,728,604       94    121.9      123   121  121   123        0  121   95.89   91.34
V10_CKI_N_10_DI_16S_2_trimmed.fq.gz     FASTQ   DNA     38,793   4,736,859      121    122.1      123   121  123   123        0  123   95.52   90.25
V10_CKI_N_10_WC_16S_1_trimmed.fq.gz     FASTQ   DNA      4,777     582,185      121    121.9      123   121  121   123        0  121   94.83    90.5
V10_CKI_N_10_WC_16S_2_trimmed.fq.gz     FASTQ   DNA      4,777     583,403      121    122.1      123   121  123   123        0  123   93.87   88.53
V10_CKI_N_11_1_16S_1_trimmed.fq.gz      FASTQ   DNA    304,449  37,130,004       22      122      123   121  121   123        0  121   96.75   92.98
V10_CKI_N_11_1_16S_2_trimmed.fq.gz      FASTQ   DNA    304,449  37,153,906       34      122      123   121  123   123        0  123   96.05   91.45
V10_CKI_N_1_1_16S_1_trimmed.fq.gz       FASTQ   DNA    110,348  13,463,104       25      122      123   121  123   123        0  123   96.93   93.24
V10_CKI_N_1_1_16S_2_trimmed.fq.gz       FASTQ   DNA    110,348  13,461,370       79      122      123   121  121   123        0  121   96.18   91.51
V10_CKI_N_11_2_16S_1_trimmed.fq.gz      FASTQ   DNA    273,158  33,319,740       22      122      123   121  121   123        0  121   97.02   93.38
V10_CKI_N_11_2_16S_2_trimmed.fq.gz      FASTQ   DNA    273,158  33,329,611       40      122      123   121  123   123        0  123   96.34   91.83
V10_CKI_N_11_3_16S_1_trimmed.fq.gz      FASTQ   DNA    126,788  15,464,038       34      122      123   121  121   123        0  121   96.85   93.03
V10_CKI_N_11_3_16S_2_trimmed.fq.gz      FASTQ   DNA    126,788  15,472,013       62      122      123   121  123   123        0  123   96.12   91.44
V10_CKI_N_11_4_16S_1_trimmed.fq.gz      FASTQ   DNA    408,895  49,868,336       25      122      123   121  121   123        0  121   96.52    92.7
V10_CKI_N_11_4_16S_2_trimmed.fq.gz      FASTQ   DNA    408,895  49,900,173       38      122      123   121  123   123        0  123      96   91.44
V10_CKI_N_11_5_16S_1_trimmed.fq.gz      FASTQ   DNA    225,433  27,502,676       25      122      123   121  123   123        0  123   97.25   93.74
V10_CKI_N_11_5_16S_2_trimmed.fq.gz      FASTQ   DNA    225,433  27,501,563       40      122      123   121  121   123        0  123   95.95   91.46
V10_CKI_N_11_DI_16S_1_trimmed.fq.gz     FASTQ   DNA      2,722     331,722      121    121.9      123   121  121   123        0  121   94.99   90.49
V10_CKI_N_11_DI_16S_2_trimmed.fq.gz     FASTQ   DNA      2,722     332,446      121    122.1      123   121  123   123        0  123   93.42   87.68
V10_CKI_N_11_WC_16S_1_trimmed.fq.gz     FASTQ   DNA     34,975   4,261,225       25    121.8      123   121  121   123        0  121   96.82   92.99
V10_CKI_N_11_WC_16S_2_trimmed.fq.gz     FASTQ   DNA     34,975   4,272,449       79    122.2      123   121  123   123        0  123   95.89   91.16
V10_CKI_N_12_1_16S_1_trimmed.fq.gz      FASTQ   DNA    434,368  52,951,257       22    121.9      123   121  121   123        0  121    96.5   92.49
V10_CKI_N_12_1_16S_2_trimmed.fq.gz      FASTQ   DNA    434,368  53,032,901       40    122.1      123   121  123   123        0  123   95.72   90.88
V10_CKI_N_1_2_16S_1_trimmed.fq.gz       FASTQ   DNA    466,577  56,918,814       27      122      123   121  121   123        0  123   96.08   91.79
V10_CKI_N_1_2_16S_2_trimmed.fq.gz       FASTQ   DNA    466,577  56,924,144       38      122      123   121  123   123        0  123   95.28   90.12
V10_CKI_N_12_2_16S_1_trimmed.fq.gz      FASTQ   DNA    300,419  36,609,667       25    121.9      123   121  121   123        0  121   96.49   92.57
V10_CKI_N_12_2_16S_2_trimmed.fq.gz      FASTQ   DNA    300,419  36,691,575       64    122.1      123   121  123   123        0  123   95.54   90.58
V10_CKI_N_12_3_16S_1_trimmed.fq.gz      FASTQ   DNA    270,586  32,976,980       25    121.9      123   121  121   123        0  121   96.93    93.2
V10_CKI_N_12_3_16S_2_trimmed.fq.gz      FASTQ   DNA    270,586  33,044,651       38    122.1      123   121  123   123        0  123   95.86   91.13
