file                                    format  type  num_seqs     sum_len  min_len  avg_len  max_len    Q1   Q2    Q3  sum_gap  N50  Q20(%)  Q30(%)
NTC1_16S_1_trimmed.fq.gz                FASTQ   DNA         67       8,179      121    122.1      123   121  123   123        0  123   90.13   84.11
NTC1_16S_2_trimmed.fq.gz                FASTQ   DNA         67       8,179      121    122.1      123   121  123   123        0  123   88.97   82.12
V10_CKI_BC_1_16S_1_trimmed.fq.gz        FASTQ   DNA     37,793   4,609,737      121      122      123   121  121   123        0  121    96.1   92.03
V10_CKI_BC_1_16S_2_trimmed.fq.gz        FASTQ   DNA     37,793   4,609,737      121      122      123   121  121   123        0  121   95.21   90.34
V10_CKI_BC_2_16S_1_trimmed.fq.gz        FASTQ   DNA     48,541   5,920,838       32      122      123   121  121   123        0  121   96.43   92.53
V10_CKI_BC_2_16S_2_trimmed.fq.gz        FASTQ   DNA     48,541   5,920,858       62      122      123   121  121   123        0  121   95.84   90.91
V10_CKI_BC_3_16S_1_trimmed.fq.gz        FASTQ   DNA     60,299   7,357,677       45      122      123   121  123   123        0  123   97.08   93.46
V10_CKI_BC_3_16S_2_trimmed.fq.gz        FASTQ   DNA     60,299   7,357,711       79      122      123   121  123   123        0  123   96.38   91.87
V10_CKI_BC_4_16S_1_trimmed.fq.gz        FASTQ   DNA      4,933     601,239      121    121.9      123   121  121   123        0  121   95.28   91.05
V10_CKI_BC_4_16S_2_trimmed.fq.gz        FASTQ   DNA      4,933     601,239      121    121.9      123   121  121   123        0  121   94.17   88.76
V10_CKI_BC_5_16S_1_trimmed.fq.gz        FASTQ   DNA        128      15,612      121      122      123   121  121   123        0  121   94.58   89.87
V10_CKI_BC_5_16S_2_trimmed.fq.gz        FASTQ   DNA        128      15,612      121      122      123   121  121   123        0  121   93.43   87.32
V10_CKI_EB_1_16S_1_trimmed.fq.gz        FASTQ   DNA     20,986   2,559,960      121      122      123   121  121   123        0  121   96.35   92.28
V10_CKI_EB_1_16S_2_trimmed.fq.gz        FASTQ   DNA     20,986   2,559,960      121      122      123   121  121   123        0  121   95.08   89.72
V10_CKI_EB_2_16S_1_trimmed.fq.gz        FASTQ   DNA      1,777     216,663      121    121.9      123   121  121   123        0  121   93.25   88.24
V10_CKI_EB_2_16S_2_trimmed.fq.gz        FASTQ   DNA      1,777     216,663      121    121.9      123   121  121   123        0  121   91.72   85.34
V10_CKI_EB_3_16S_1_trimmed.fq.gz        FASTQ   DNA      1,637     199,583      121    121.9      123   121  121   123        0  121   93.22    88.5
V10_CKI_EB_3_16S_2_trimmed.fq.gz        FASTQ   DNA      1,637     199,583      121    121.9      123   121  121   123        0  121    91.5   85.32
V10_CKI_EB_4_16S_1_trimmed.fq.gz        FASTQ   DNA      2,413     293,871      121    121.8      123   121  121   123        0  121   93.86   88.76
V10_CKI_EB_4_16S_2_trimmed.fq.gz        FASTQ   DNA      2,413     293,871      121    121.8      123   121  121   123        0  121   91.82   85.36
V10_CKI_N_10_1_16S_1_trimmed.fq.gz      FASTQ   DNA    295,815  36,078,842       25      122      123   121  121   123        0  121   96.54   92.64
V10_CKI_N_10_1_16S_2_trimmed.fq.gz      FASTQ   DNA    295,815  36,079,353       23      122      123   121  121   123        0  121   96.13   91.53
V10_CKI_N_10_2_16S_1_trimmed.fq.gz      FASTQ   DNA    168,141  20,507,174       24      122      123   121  121   123        0  121   96.83   92.97
V10_CKI_N_10_2_16S_2_trimmed.fq.gz      FASTQ   DNA    168,141  20,507,269       40      122      123   121  121   123        0  121   95.92   91.14
V10_CKI_N_10_3_16S_1_trimmed.fq.gz      FASTQ   DNA    460,964  56,223,500       25      122      123   121  121   123        0  121   96.49    92.5
V10_CKI_N_10_3_16S_2_trimmed.fq.gz      FASTQ   DNA    460,964  56,224,043       62      122      123   121  121   123        0  121   95.15   90.17
V10_CKI_N_10_4_16S_1_trimmed.fq.gz      FASTQ   DNA    196,431  23,963,719       25      122      123   121  121   123        0  123   97.39   93.91
V10_CKI_N_10_4_16S_2_trimmed.fq.gz      FASTQ   DNA    196,431  23,963,807       31      122      123   121  121   123        0  123   96.45   91.96
V10_CKI_N_10_5_16S_1_trimmed.fq.gz      FASTQ   DNA    311,122  37,911,453       25    121.9      123   121  121   123        0  121   96.44   92.45
V10_CKI_N_10_5_16S_2_trimmed.fq.gz      FASTQ   DNA    311,122  37,911,987       32    121.9      123   121  121   123        0  121    95.8      91
V10_CKI_N_10_DI_16S_1_trimmed.fq.gz     FASTQ   DNA     38,793   4,728,604       94    121.9      123   121  121   123        0  121   95.89   91.34
V10_CKI_N_10_DI_16S_2_trimmed.fq.gz     FASTQ   DNA     38,793   4,728,633      121    121.9      123   121  121   123        0  121   95.51   90.24
V10_CKI_N_10_WC_16S_1_trimmed.fq.gz     FASTQ   DNA      4,777     582,185      121    121.9      123   121  121   123        0  121   94.83    90.5
V10_CKI_N_10_WC_16S_2_trimmed.fq.gz     FASTQ   DNA      4,777     582,185      121    121.9      123   121  121   123        0  121   93.87   88.53
V10_CKI_N_11_1_16S_1_trimmed.fq.gz      FASTQ   DNA    304,449  37,130,004       22      122      123   121  121   123        0  121   96.75   92.98
V10_CKI_N_11_1_16S_2_trimmed.fq.gz      FASTQ   DNA    304,449  37,130,452       32      122      123   121  121   123        0  121   96.04   91.44
V10_CKI_N_1_1_16S_1_trimmed.fq.gz       FASTQ   DNA    110,348  13,463,104       25      122      123   121  123   123        0  123   96.93   93.24
V10_CKI_N_1_1_16S_2_trimmed.fq.gz       FASTQ   DNA    110,348  13,463,366       77      122      123   121  123   123        0  123   96.18   91.51
V10_CKI_N_11_2_16S_1_trimmed.fq.gz      FASTQ   DNA    273,158  33,319,740       22      122      123   121  121   123        0  121   97.02   93.38
V10_CKI_N_11_2_16S_2_trimmed.fq.gz      FASTQ   DNA    273,158  33,319,831       38      122      123   121  121   123        0  121   96.34   91.83
V10_CKI_N_11_3_16S_1_trimmed.fq.gz      FASTQ   DNA    126,788  15,464,038       34      122      123   121  121   123        0  121   96.85   93.03
V10_CKI_N_11_3_16S_2_trimmed.fq.gz      FASTQ   DNA    126,788  15,464,053       64      122      123   121  121   123        0  121   96.12   91.44
V10_CKI_N_11_4_16S_1_trimmed.fq.gz      FASTQ   DNA    408,895  49,868,336       25      122      123   121  121   123        0  121   96.52    92.7
V10_CKI_N_11_4_16S_2_trimmed.fq.gz      FASTQ   DNA    408,895  49,868,443       38      122      123   121  121   123        0  121      96   91.44
V10_CKI_N_11_5_16S_1_trimmed.fq.gz      FASTQ   DNA    225,433  27,502,676       25      122      123   121  123   123        0  123   97.25   93.74
V10_CKI_N_11_5_16S_2_trimmed.fq.gz      FASTQ   DNA    225,433  27,502,945       38      122      123   121  123   123        0  123   95.95   91.46
