file                            format  type  num_seqs     sum_len  min_len  avg_len  max_len    Q1   Q2    Q3  sum_gap  N50  Q20(%)  Q30(%)
NTC1_16S.1.fq.gz                FASTQ   DNA         70       8,548      121    122.1      123   121  123   123        0  123   89.82   83.81
NTC1_16S.2.fq.gz                FASTQ   DNA         70       8,548      121    122.1      123   121  123   123        0  123   88.62   81.82
V10_CKI_BC_1_16S.1.fq.gz        FASTQ   DNA     40,244   4,908,720      121      122      123   121  121   123        0  121   95.97   91.88
V10_CKI_BC_1_16S.2.fq.gz        FASTQ   DNA     40,244   4,908,720      121      122      123   121  121   123        0  121   95.25    90.4
V10_CKI_BC_2_16S.1.fq.gz        FASTQ   DNA     51,609   6,295,197      121      122      123   121  121   123        0  121   96.26   92.32
V10_CKI_BC_2_16S.2.fq.gz        FASTQ   DNA     51,609   6,295,197      121      122      123   121  121   123        0  121   95.88   90.99
V10_CKI_BC_3_16S.1.fq.gz        FASTQ   DNA     64,381   7,855,777      121      122      123   121  123   123        0  123    96.9   93.25
V10_CKI_BC_3_16S.2.fq.gz        FASTQ   DNA     64,381   7,855,777      121      122      123   121  123   123        0  123   96.41   91.94
V10_CKI_BC_4_16S.1.fq.gz        FASTQ   DNA      5,249     639,751      121    121.9      123   121  121   123        0  121   95.05   90.79
V10_CKI_BC_4_16S.2.fq.gz        FASTQ   DNA      5,249     639,751      121    121.9      123   121  121   123        0  121   94.17   88.78
V10_CKI_BC_5_16S.1.fq.gz        FASTQ   DNA        134      16,344      121      122      123   121  121   123        0  121   94.62   89.87
V10_CKI_BC_5_16S.2.fq.gz        FASTQ   DNA        134      16,344      121      122      123   121  121   123        0  121   93.47   87.37
V10_CKI_EB_1_16S.1.fq.gz        FASTQ   DNA     22,365   2,728,177      121      122      123   121  121   123        0  121   96.21   92.11
V10_CKI_EB_1_16S.2.fq.gz        FASTQ   DNA     22,365   2,728,177      121      122      123   121  121   123        0  121   95.13   89.79
V10_CKI_EB_2_16S.1.fq.gz        FASTQ   DNA      1,887     230,069      121    121.9      123   121  121   123        0  121   92.94   87.88
V10_CKI_EB_2_16S.2.fq.gz        FASTQ   DNA      1,887     230,069      121    121.9      123   121  121   123        0  121    91.6   85.23
V10_CKI_EB_3_16S.1.fq.gz        FASTQ   DNA      1,744     212,632      121    121.9      123   121  121   123        0  121   93.13   88.39
V10_CKI_EB_3_16S.2.fq.gz        FASTQ   DNA      1,744     212,632      121    121.9      123   121  121   123        0  121   91.62   85.49
V10_CKI_EB_4_16S.1.fq.gz        FASTQ   DNA      2,598     316,406      121    121.8      123   121  121   123        0  121   93.61   88.45
V10_CKI_EB_4_16S.2.fq.gz        FASTQ   DNA      2,598     316,406      121    121.8      123   121  121   123        0  121   91.88   85.46
V10_CKI_N_10_1_16S.1.fq.gz      FASTQ   DNA    315,027  38,422,623      121      122      123   121  121   123        0  121   96.37   92.44
V10_CKI_N_10_1_16S.2.fq.gz      FASTQ   DNA    315,027  38,422,623      121      122      123   121  121   123        0  121   96.16   91.59
V10_CKI_N_10_2_16S.1.fq.gz      FASTQ   DNA    179,081  21,841,911      121      122      123   121  121   123        0  121   96.73   92.85
V10_CKI_N_10_2_16S.2.fq.gz      FASTQ   DNA    179,081  21,841,911      121      122      123   121  121   123        0  121   95.97   91.22
V10_CKI_N_10_3_16S.1.fq.gz      FASTQ   DNA    491,482  59,946,256      121      122      123   121  121   123        0  121   96.37   92.37
V10_CKI_N_10_3_16S.2.fq.gz      FASTQ   DNA    491,482  59,946,256      121      122      123   121  121   123        0  121   95.19   90.23
V10_CKI_N_10_4_16S.1.fq.gz      FASTQ   DNA    209,061  25,504,487      121      122      123   121  121   123        0  123    97.3   93.81
V10_CKI_N_10_4_16S.2.fq.gz      FASTQ   DNA    209,061  25,504,487      121      122      123   121  121   123        0  123   96.48   92.02
V10_CKI_N_10_5_16S.1.fq.gz      FASTQ   DNA    331,284  40,369,460      121    121.9      123   121  121   123        0  121   96.28   92.26
V10_CKI_N_10_5_16S.2.fq.gz      FASTQ   DNA    331,284  40,369,460      121    121.9      123   121  121   123        0  121   95.84   91.07
V10_CKI_N_10_DI_16S.1.fq.gz     FASTQ   DNA     41,493   5,057,765      121    121.9      123   121  121   123        0  121   95.68   91.09
V10_CKI_N_10_DI_16S.2.fq.gz     FASTQ   DNA     41,493   5,057,765      121    121.9      123   121  121   123        0  121   95.55   90.32
V10_CKI_N_10_WC_16S.1.fq.gz     FASTQ   DNA      5,098     621,322      121    121.9      123   121  121   123        0  121   94.61   90.24
V10_CKI_N_10_WC_16S.2.fq.gz     FASTQ   DNA      5,098     621,322      121    121.9      123   121  121   123        0  121   93.86   88.54
V10_CKI_N_11_1_16S.1.fq.gz      FASTQ   DNA    324,498  39,576,394      121      122      123   121  121   123        0  121    96.6    92.8
V10_CKI_N_11_1_16S.2.fq.gz      FASTQ   DNA    324,498  39,576,394      121      122      123   121  121   123        0  121   96.08    91.5
V10_CKI_N_1_1_16S.1.fq.gz       FASTQ   DNA    117,746  14,365,988      121      122      123   121  123   123        0  123   96.78   93.05
V10_CKI_N_1_1_16S.2.fq.gz       FASTQ   DNA    117,746  14,365,988      121      122      123   121  123   123        0  123   96.21   91.58
V10_CKI_N_11_2_16S.1.fq.gz      FASTQ   DNA    291,302  35,533,696      121      122      123   121  121   123        0  121   96.88   93.22
V10_CKI_N_11_2_16S.2.fq.gz      FASTQ   DNA    291,302  35,533,696      121      122      123   121  121   123        0  121   96.38    91.9
V10_CKI_N_11_3_16S.1.fq.gz      FASTQ   DNA    135,132  16,481,940      121      122      123   121  121   123        0  121   96.73   92.89
V10_CKI_N_11_3_16S.2.fq.gz      FASTQ   DNA    135,132  16,481,940      121      122      123   121  121   123        0  121   96.15   91.51
V10_CKI_N_11_4_16S.1.fq.gz      FASTQ   DNA    435,838  53,155,528      121      122      123   121  121   123        0  121   96.36   92.51
V10_CKI_N_11_4_16S.2.fq.gz      FASTQ   DNA    435,838  53,155,528      121      122      123   121  121   123        0  121   96.02   91.49
V10_CKI_N_11_5_16S.1.fq.gz      FASTQ   DNA    240,224  29,307,920      121      122      123   121  123   123        0  123   97.14   93.61
V10_CKI_N_11_5_16S.2.fq.gz      FASTQ   DNA    240,224  29,307,920      121      122      123   121  123   123        0  123   95.98   91.52
V10_CKI_N_11_DI_16S.1.fq.gz     FASTQ   DNA      2,892     352,436      121    121.9      123   121  121   123        0  121   94.84   90.29
V10_CKI_N_11_DI_16S.2.fq.gz     FASTQ   DNA      2,892     352,436      121    121.9      123   121  121   123        0  121    93.4   87.68
V10_CKI_N_11_WC_16S.1.fq.gz     FASTQ   DNA     37,218   4,534,682      121    121.8      123   121  121   123        0  121   96.68   92.83
V10_CKI_N_11_WC_16S.2.fq.gz     FASTQ   DNA     37,218   4,534,682      121    121.8      123   121  121   123        0  121   95.94   91.24
V10_CKI_N_12_1_16S.1.fq.gz      FASTQ   DNA    462,846  56,423,706      121    121.9      123   121  121   123        0  121   96.38   92.36
V10_CKI_N_12_1_16S.2.fq.gz      FASTQ   DNA    462,846  56,423,706      121    121.9      123   121  121   123        0  121   95.75   90.94
V10_CKI_N_1_2_16S.1.fq.gz       FASTQ   DNA    497,295  60,666,985      121      122      123   121  121   123        0  123   95.94   91.63
V10_CKI_N_1_2_16S.2.fq.gz       FASTQ   DNA    497,295  60,666,985      121      122      123   121  121   123        0  123   95.32   90.19
V10_CKI_N_12_2_16S.1.fq.gz      FASTQ   DNA    320,285  39,031,463      121    121.9      123   121  121   123        0  121   96.33   92.38
V10_CKI_N_12_2_16S.2.fq.gz      FASTQ   DNA    320,285  39,031,463      121    121.9      123   121  121   123        0  121   95.58   90.64
V10_CKI_N_12_3_16S.1.fq.gz      FASTQ   DNA    288,563  35,168,929      121    121.9      123   121  121   123        0  121   96.79   93.04
V10_CKI_N_12_3_16S.2.fq.gz      FASTQ   DNA    288,563  35,168,929      121    121.9      123   121  121   123        0  121   95.89   91.19
V10_CKI_N_12_4_16S.1.fq.gz      FASTQ   DNA    139,145  16,956,145      121    121.9      123   121  121   123        0  121   96.17   92.06
V10_CKI_N_12_4_16S.2.fq.gz      FASTQ   DNA    139,145  16,956,145      121    121.9      123   121  121   123        0  121   95.49   90.52
V10_CKI_N_12_5_16S.1.fq.gz      FASTQ   DNA    308,657  37,613,577      121    121.9      123   121  121   123        0  121   96.08   91.82
