file                           format  type   num_seqs      sum_len  min_len  avg_len  max_len     Q1     Q2     Q3  sum_gap  N50  Q20(%)  Q30(%)
10a~Fish16S.fastq              FASTQ   DNA      22,670    4,757,098        4    209.8      217    210    210    210        0  210   95.61   93.13
10b~Fish16S.fastq              FASTQ   DNA       2,054      414,916      198      202      221    202    202    202        0  202    94.7   92.12
10c~Fish16S.fastq              FASTQ   DNA       9,743    1,972,669       99    202.5      228    203    203    203        0  203   95.03   92.38
10d~Fish16S.fastq              FASTQ   DNA     107,620   21,557,820       92    200.3      226    202    202    202        0  202   95.51   93.51
11a~Fish16S.fastq              FASTQ   DNA     136,106   28,230,268       13    207.4      228    202    203    215        0  203   95.84   93.73
11b~Fish16S.fastq              FASTQ   DNA     129,548   27,131,307       49    209.4      228    202    215    215        0  215   95.79   93.72
11c~Fish16S.fastq              FASTQ   DNA     147,930   30,747,151       12    207.8      216    202    202    215        0  202   95.39   93.16
11d~Fish16S.fastq              FASTQ   DNA     105,147   21,867,087       13      208      225    202    202    215        0  202   95.53   93.35
12a~Fish16S.fastq              FASTQ   DNA     104,234   21,212,153       77    203.5      245    202    202    204        0  202   95.61   93.38
12b~Fish16S.fastq              FASTQ   DNA     185,628   37,741,342       14    203.3      228    202    202    203        0  202   95.66   93.47
12c~Fish16S.fastq              FASTQ   DNA     125,262   25,362,773       85    202.5      228    202    202    202        0  202   96.03   93.98
12d~Fish16S.fastq              FASTQ   DNA     122,598   24,812,607       13    202.4      229    202    202    202        0  202   95.57   93.35
13a~Fish16S.fastq              FASTQ   DNA     125,502   25,439,754      115    202.7      220    201    202    204        0  202    95.5    93.3
13b~Fish16S.fastq              FASTQ   DNA     105,886   21,631,181      172    204.3      229    201    204    205        0  204    95.3   92.97
13c~Fish16S.fastq              FASTQ   DNA     130,070   26,478,483       73    203.6      229    201    202    205        0  202   95.76   93.55
13d~Fish16S.fastq              FASTQ   DNA     146,871   29,732,529       41    202.4      231    200    202    203        0  202   95.46   93.25
14a~Fish16S.fastq              FASTQ   DNA     102,646   20,828,528       23    202.9      230    200    203    203        0  203   95.52   93.22
14b~Fish16S.fastq              FASTQ   DNA      94,074   19,146,080      190    203.5      229    201    202    205        0  202   95.18   92.77
14c~Fish16S.fastq              FASTQ   DNA      83,613   17,026,967       93    203.6      228    201    203    204        0  203   95.15   92.76
14d~Fish16S.fastq              FASTQ   DNA     105,965   21,433,065       50    202.3      230    201    202    203        0  202   95.29   92.95
15a~Fish16S.fastq              FASTQ   DNA     129,273   26,074,147      101    201.7      226    202    202    202        0  202   95.41   93.14
15b~Fish16S.fastq              FASTQ   DNA      78,874   16,158,085       65    204.9      231    202    204    205        0  204    95.6   93.44
15c~Fish16S.fastq              FASTQ   DNA     157,977   32,347,003       57    204.8      231    201    204    204        0  204    95.5    93.3
15d~Fish16S.fastq              FASTQ   DNA     122,958   25,100,975       98    204.1      226    201    204    208        0  204   95.64   93.51
16a~Fish16S.fastq              FASTQ   DNA     121,132   24,827,346       32      205      229    204    204    204        0  204   95.86   93.82
16b~Fish16S.fastq              FASTQ   DNA     172,489   35,098,218       81    203.5      229    202    204    204        0  204   95.66   93.47
16c~Fish16S.fastq              FASTQ   DNA     198,880   40,639,182       34    204.3      230    204    204    204        0  204   95.61   93.44
16d~Fish16S.fastq              FASTQ   DNA     204,644   41,805,241       14    204.3      240    204    204    204        0  204   95.51    93.3
17a~Fish16S.fastq              FASTQ   DNA     131,416   26,727,582       73    203.4      230    201    202    204        0  202   95.36   93.06
17b~Fish16S.fastq              FASTQ   DNA      95,703   19,491,737       14    203.7      229    200    202    204        0  202   95.43   93.19
17c~Fish16S.fastq              FASTQ   DNA     114,726   23,268,240      103    202.8      234    201    202    203        0  202   95.75   93.64
17d~Fish16S.fastq              FASTQ   DNA     109,464   22,199,747       71    202.8      234    202    202    203        0  202   95.46   93.22
18a~Fish16S.fastq              FASTQ   DNA      26,559    5,451,809      194    205.3      228    206    206    206        0  206   94.49   91.82
18b~Fish16S.fastq              FASTQ   DNA         325       66,070      198    203.3      228    199    205    206        0  205   90.61   86.51
18c~Fish16S.fastq              FASTQ   DNA     107,578   21,858,500       60    203.2      224    199    203    206        0  205   95.29   92.97
18d~Fish16S.fastq              FASTQ   DNA       1,666      335,540      193    201.4      229    201    201    201        0  201   95.03   92.74
19a~Fish16S.fastq              FASTQ   DNA     114,043   23,054,527       61    202.2      229    200    201    202        0  201   94.21   91.46
19b~Fish16S.fastq              FASTQ   DNA     216,452   43,611,495       12    201.5      222    200    202    202        0  202   94.57    91.8
19c~Fish16S.fastq              FASTQ   DNA     221,411   44,625,371       20    201.5      228    199    200    202        0  200   94.37   91.44
19d~Fish16S.fastq              FASTQ   DNA     271,568   54,526,558        4    200.8      216    199    200    203        0  200   94.84   92.06
1a~Fish16S.fastq               FASTQ   DNA      48,004    9,799,815       95    204.1      278    202    202    204        0  202   98.67   97.39
1b~Fish16S.fastq               FASTQ   DNA      29,333    5,841,380       23    199.1      277    202    202    203        0  202   98.35   97.05
1c~Fish16S.fastq               FASTQ   DNA      37,502    7,612,997        1      203      278    200    202    203        0  202   98.25   96.97
1d~Fish16S.fastq               FASTQ   DNA      69,245   13,672,465       20    197.5      278    202    203    207        0  203   98.75   97.48
20a~Fish16S.fastq              FASTQ   DNA      86,725   17,516,366       99      202      224    199    202    202        0  202   94.66   91.87
20b~Fish16S.fastq              FASTQ   DNA     109,770   22,232,554       93    202.5      247    202    202    202        0  202   94.89   92.38
20c~Fish16S.fastq              FASTQ   DNA      98,023   19,696,779       20    200.9      227    199    202    202        0  202   94.68   91.93
20d~Fish16S.fastq              FASTQ   DNA      86,138   17,354,190       61    201.5      222    200    202    202        0  202   94.94   92.38
21a~Fish16S.fastq              FASTQ   DNA      89,642   15,718,881        2    175.4      228    200    202    202        0  202   94.92   92.46
21b~Fish16S.fastq              FASTQ   DNA     150,616   29,270,869        5    194.3      241    200    202    202        0  202   94.79   92.28
21c~Fish16S.fastq              FASTQ   DNA     230,276   46,929,311        9    203.8      237    201    202    202        0  202   94.42   91.72
21d~Fish16S.fastq              FASTQ   DNA     198,963   40,400,471        9    203.1      226    202    203    203        0  203   94.42   91.79
22a~Fish16S.fastq              FASTQ   DNA     201,922   41,647,674       23    206.3      230    202    206    210        0  206   94.68      92
22b~Fish16S.fastq              FASTQ   DNA     149,955   31,053,769       23    207.1      228    202    210    210        0  210    95.1    92.5
22c~Fish16S.fastq              FASTQ   DNA     125,798   26,144,515        9    207.8      230    201    207    210        0  207   95.45      93
22d~Fish16S.fastq              FASTQ   DNA     138,516   28,739,347       21    207.5      247    203    207    210        0  207   94.87   92.29
23a~Fish16S.fastq              FASTQ   DNA     109,808   22,221,553        5    202.4      230    200    201    205        0  201   94.55   91.76
23b~Fish16S.fastq              FASTQ   DNA     142,511   28,902,158       22    202.8      231    200    201    205        0  201   94.45   91.61
23c~Fish16S.fastq              FASTQ   DNA     110,126   22,442,417        8    203.8      230    200    201    207        0  202   94.89   92.28
23d~Fish16S.fastq              FASTQ   DNA     292,029   58,948,929       21    201.9      234    199    200    205        0  200   94.42   91.63
24a~Fish16S.fastq              FASTQ   DNA      63,569   12,820,792      191    201.7      213    202    202    202        0  202   96.22    94.2
24b~Fish16S.fastq              FASTQ   DNA      69,004   14,372,325      132    208.3      236    200    203    210        0  203   95.95   93.98
24c~Fish16S.fastq              FASTQ   DNA      75,154   15,296,376      194    203.5      234    202    203    205        0  203   96.19   94.11
24d~Fish16S.fastq              FASTQ   DNA      86,326   17,543,868       65    203.2      225    203    203    205        0  203   96.23   94.16
25a~Fish16S.fastq              FASTQ   DNA      70,925   14,518,054       80    204.7      235    200    201    206        0  201   96.04   94.01
25b~Fish16S.fastq              FASTQ   DNA      73,810   14,947,715      184    202.5      234    200    201    202        0  201    96.3    94.4
25c~Fish16S.fastq              FASTQ   DNA     104,233   20,984,990       21    201.3      228    200    201    209        0  201   96.07   94.12
25d~Fish16S.fastq              FASTQ   DNA     106,268   21,622,938       42    203.5      230    200    201    203        0  201   96.37   94.43
26a~Fish16S.fastq              FASTQ   DNA     117,056   23,924,529       23    204.4      231    202    203    206        0  203   96.65   94.96
26b~Fish16S.fastq              FASTQ   DNA     128,493   26,458,211        6    205.9      232    205    206    208        0  206   96.58   94.81
26c~Fish16S.fastq              FASTQ   DNA     117,884   24,237,603       25    205.6      238    203    206    206        0  206   96.23   94.38
26d~Fish16S.fastq              FASTQ   DNA     119,437   24,412,139      105    204.4      228    203    205    206        0  205   96.36   94.52
27a~Fish16S.fastq              FASTQ   DNA      88,539   17,995,033       49    203.2      227    202    203    203        0  203   96.36   94.55
27b~Fish16S.fastq              FASTQ   DNA      92,262   18,683,658      182    202.5      227    200    201    204        0  201   96.39   94.63
27c~Fish16S.fastq              FASTQ   DNA      91,204   18,697,516       18      205      228    200    206    209        0  206   96.58    94.8
27d~Fish16S.fastq              FASTQ   DNA      79,630   16,248,137       41      204      228    201    206    206        0  206   96.45   94.69
28a~Fish16S.fastq              FASTQ   DNA      95,401   19,512,852       26    204.5      213    203    205    206        0  205    96.3   94.46
28b~Fish16S.fastq              FASTQ   DNA     114,090   23,348,037      191    204.6      221    203    206    206        0  206   96.34   94.55
28c~Fish16S.fastq              FASTQ   DNA     124,493   25,325,978       26    203.4      227    201    203    206        0  203   96.52   94.71
28d~Fish16S.fastq              FASTQ   DNA     120,881   24,620,551       82    203.7      220    202    203    206        0  203   96.29   94.44
29a~Fish16S.fastq              FASTQ   DNA     221,036   45,248,475       21    204.7      234    201    203    206        0  203   95.05   92.63
29b~Fish16S.fastq              FASTQ   DNA     108,188   22,105,468       68    204.3      228    200    203    206        0  203   94.95   92.45
29c~Fish16S.fastq              FASTQ   DNA     135,329   27,779,480       91    205.3      229    198    204    213        0  206   94.57   91.93
29d~Fish16S.fastq              FASTQ   DNA     151,805   30,650,821       92    201.9      228    200    200    202        0  200   94.97   92.54
2a~Fish16S.fastq               FASTQ   DNA      16,802    3,400,298      199    202.4      277    202    202    202        0  202   98.78   97.77
2b~Fish16S.fastq               FASTQ   DNA      17,349    3,518,633      194    202.8      277    202    202    202        0  202   98.69   97.65
2c~Fish16S.fastq               FASTQ   DNA      21,897    4,406,679        1    201.2      280    202    202    202        0  202   98.65   97.55
2d~Fish16S.fastq               FASTQ   DNA      19,729    3,995,233       96    202.5      278    202    202    202        0  202   98.17   96.97
30a~Fish16S.fastq              FASTQ   DNA      70,927   14,540,459       82      205      229    199    201    216        0  202   95.25   92.84
30b~Fish16S.fastq              FASTQ   DNA     113,863   23,701,411       65    208.2      228    202    207    216        0  207    95.2   92.77
30c~Fish16S.fastq              FASTQ   DNA      89,760   18,570,059       59    206.9      238    201    207    216        0  207   95.03   92.56
30d~Fish16S.fastq              FASTQ   DNA     144,033   29,484,027       32    204.7      230    200    202    206        0  202   95.46   93.07
31a~Fish16S.fastq              FASTQ   DNA     149,159   29,992,230       67    201.1      228    199    200    202        0  200   95.36      93
31b~Fish16S.fastq              FASTQ   DNA     148,242   29,993,059       26    202.3      226    200    201    203        0  201   95.33   92.87
31c~Fish16S.fastq              FASTQ   DNA     169,218   34,045,729       26    201.2      234    199    200    203        0  200   94.87   92.18
31d~Fish16S.fastq              FASTQ   DNA     141,258   28,328,374       26    200.5      223    200    200    201        0  200   94.96   92.42
32a~Fish16S.fastq              FASTQ   DNA     122,680   24,877,798       61    202.8      226    199    201    203        0  202   95.24   92.72
32b~Fish16S.fastq              FASTQ   DNA     139,514   28,541,348       44    204.6      230    200    203    207        0  203   95.23   92.87
32c~Fish16S.fastq              FASTQ   DNA     105,691   21,515,712       26    203.6      226    201    205    206        0  205   95.49   93.11
32d~Fish16S.fastq              FASTQ   DNA      88,198   18,266,915       26    207.1      230    201    203    207        0  203    95.3   92.96
33a~Fish16S.fastq              FASTQ   DNA      49,992   10,342,158       26    206.9      276    202    203    221        0  203   97.59   96.31
