file                                format  type  num_seqs    sum_len  min_len  avg_len  max_len     Q1   Q2     Q3  sum_gap  N50  Q20(%)  Q30(%)
NTC_1_16S_1_trimmed.fq.gz           FASTQ   DNA        465     55,622       31    119.6      123    121  121    122        0  121   95.11   90.58
NTC_1_16S_2_trimmed.fq.gz           FASTQ   DNA        465     55,557       36    119.5      123    121  121    123        0  121   95.54   90.18
NTC_2_16S_1_trimmed.fq.gz           FASTQ   DNA      1,104    132,336       31    119.9      123    121  121    122        0  121   95.91   91.17
NTC_2_16S_2_trimmed.fq.gz           FASTQ   DNA      1,104    132,346       36    119.9      123    121  121    122        0  121   96.18   90.99
NTC_3_16S_1_trimmed.fq.gz           FASTQ   DNA        118     14,218       31    120.5      123    121  121    122        0  121   96.77   93.07
NTC_3_16S_2_trimmed.fq.gz           FASTQ   DNA        118     14,046       36      119      123    121  121    122        0  121   96.62   91.92
RS1_CL_BC_16S_1_trimmed.fq.gz       FASTQ   DNA        544     66,069       33    121.5      123    121  122    122        0  122   95.22   90.18
RS1_CL_BC_16S_2_trimmed.fq.gz       FASTQ   DNA        544     64,895       36    119.3      123    120  121    121        0  121   74.22    62.1
RS1_CL_EB_16S_1_trimmed.fq.gz       FASTQ   DNA     38,462  4,645,545       31    120.8      123    121  121    122        0  121   96.22    92.3
RS1_CL_EB_16S_2_trimmed.fq.gz       FASTQ   DNA     38,462  4,609,006       36    119.8      123    121  121    122        0  121   96.76   92.08
RS1_CL_L1_1_16S_1_trimmed.fq.gz     FASTQ   DNA     16,678  2,010,239       31    120.5      123    121  121    122        0  121   96.05   91.49
RS1_CL_L1_1_16S_2_trimmed.fq.gz     FASTQ   DNA     16,678  1,997,266       36    119.8      123    121  121    122        0  121   96.25   91.32
RS1_CL_L1_2_16S_1_trimmed.fq.gz     FASTQ   DNA     25,020  3,015,256       31    120.5      123    120  121    123        0  121   96.29   91.92
RS1_CL_L1_2_16S_2_trimmed.fq.gz     FASTQ   DNA     25,020  2,992,816       36    119.6      123    120  121    123        0  121   96.36   91.54
RS1_CL_L1_3_16S_1_trimmed.fq.gz     FASTQ   DNA     18,991  2,290,704       31    120.6      123    121  121    122        0  121   96.26   91.81
RS1_CL_L1_3_16S_2_trimmed.fq.gz     FASTQ   DNA     18,991  2,275,258       36    119.8      123    121  121    122        0  121   96.25    91.3
RS1_CL_L1_4_16S_1_trimmed.fq.gz     FASTQ   DNA     17,111  2,064,243       31    120.6      123    120  121    123        0  121   96.48    92.1
RS1_CL_L1_4_16S_2_trimmed.fq.gz     FASTQ   DNA     17,111  2,051,697       36    119.9      123    120  121    123        0  121      96   90.86
RS1_CL_L1_5_16S_1_trimmed.fq.gz     FASTQ   DNA     20,085  2,421,608       31    120.6      123    121  121    122        0  121   96.33   91.97
RS1_CL_L1_5_16S_2_trimmed.fq.gz     FASTQ   DNA     20,085  2,405,682       36    119.8      123    121  121    122        0  121   96.22   91.29
RS1_CL_L1_WC_16S_1_trimmed.fq.gz    FASTQ   DNA        160     19,333       45    120.8      123    121  121    123        0  121   95.67   91.24
RS1_CL_L1_WC_16S_2_trimmed.fq.gz    FASTQ   DNA        160     19,052       36    119.1      123    121  121    123        0  121   95.06   90.06
RS1_CL_L2_1_16S_1_trimmed.fq.gz     FASTQ   DNA     20,726  2,498,000       31    120.5      123    121  121    121        0  121   96.42   92.14
RS1_CL_L2_1_16S_2_trimmed.fq.gz     FASTQ   DNA     20,726  2,480,668       36    119.7      123    121  121    122        0  121   96.32   91.52
RS1_CL_L2_2_16S_1_trimmed.fq.gz     FASTQ   DNA     20,467  2,468,370       31    120.6      123    121  121    122        0  121   96.38   92.03
RS1_CL_L2_2_16S_2_trimmed.fq.gz     FASTQ   DNA     20,467  2,450,471       36    119.7      123    121  121    122        0  121   96.37   91.53
RS1_CL_L2_3_16S_1_trimmed.fq.gz     FASTQ   DNA     23,701  2,859,352       31    120.6      123    121  121    122        0  121   96.26   91.79
RS1_CL_L2_3_16S_2_trimmed.fq.gz     FASTQ   DNA     23,701  2,835,088       36    119.6      123    121  121    122        0  121   96.22   91.27
RS1_CL_L2_4_16S_1_trimmed.fq.gz     FASTQ   DNA     34,345  4,140,294       31    120.6      123    121  121    122        0  121   96.03   91.44
RS1_CL_L2_4_16S_2_trimmed.fq.gz     FASTQ   DNA     34,345  4,108,577       30    119.6      123    121  121    122        0  121   96.01   90.93
RS1_CL_L2_5_16S_1_trimmed.fq.gz     FASTQ   DNA     55,992  6,752,843       31    120.6      123    121  121    122        0  121   96.54   92.29
RS1_CL_L2_5_16S_2_trimmed.fq.gz     FASTQ   DNA     55,992  6,703,178       36    119.7      123    121  121    122        0  121   96.41   91.59
