file                                format  type   num_seqs      sum_len  min_len  avg_len  max_len   Q1   Q2   Q3  sum_gap  N50  Q20(%)  Q30(%)
NTC_1_16S_1_trimmed.fq.gz           FASTQ   DNA      18,963    2,304,330       56    121.5      123  121  121  123        0  121   94.71    90.3
NTC_1_16S_2_trimmed.fq.gz           FASTQ   DNA      18,963    2,278,266       24    120.1      123  121  121  123        0  121   93.45   87.92
NTC_16S_1_trimmed.fq.gz             FASTQ   DNA      18,963    2,304,330       56    121.5      123  121  121  123        0  121   94.71    90.3
NTC_16S_2_trimmed.fq.gz             FASTQ   DNA      18,963    2,278,266       24    120.1      123  121  121  123        0  121   93.45   87.92
NTC_2_16S_1_trimmed.fq.gz           FASTQ   DNA      40,106    4,872,871       32    121.5      123  121  121  123        0  121   95.03   90.58
NTC_2_16S_2_trimmed.fq.gz           FASTQ   DNA      40,106    4,815,478       24    120.1      123  121  121  123        0  121    94.1   88.76
NTC_3_16S_1_trimmed.fq.gz           FASTQ   DNA       5,797      704,915       56    121.6      123  121  121  123        0  121   95.43   91.18
NTC_3_16S_2_trimmed.fq.gz           FASTQ   DNA       5,797      696,921       24    120.2      123  121  121  123        0  121   94.01   88.73
RS1_CL_BC_16S_1_trimmed.fq.gz       FASTQ   DNA      14,967    1,828,603       56    122.2      123  122  123  123        0  123   94.81   89.94
RS1_CL_BC_16S_2_trimmed.fq.gz       FASTQ   DNA      14,967    1,808,783       24    120.9      123  121  123  123        0  123   80.13   69.43
RS1_CL_EB_16S_1_trimmed.fq.gz       FASTQ   DNA     741,450   90,295,201       32    121.8      123  121  121  123        0  121   96.68    93.3
RS1_CL_EB_16S_2_trimmed.fq.gz       FASTQ   DNA     741,450   89,191,629       22    120.3      123  121  121  123        0  121   96.54    92.2
RS1_CL_L1_1_16S_1_trimmed.fq.gz     FASTQ   DNA     765,103   93,126,249       34    121.7      123  121  121  123        0  121    97.1   93.48
RS1_CL_L1_1_16S_2_trimmed.fq.gz     FASTQ   DNA     765,103   91,980,232       21    120.2      123  121  121  123        0  121   96.19   91.72
RS1_CL_L1_2_16S_1_trimmed.fq.gz     FASTQ   DNA     837,707  101,855,869       32    121.6      123  121  121  123        0  121   97.06   93.44
RS1_CL_L1_2_16S_2_trimmed.fq.gz     FASTQ   DNA     837,707  100,608,947       24    120.1      123  121  121  123        0  121   96.36   91.95
RS1_CL_L1_3_16S_1_trimmed.fq.gz     FASTQ   DNA     810,186   98,554,041       32    121.6      123  121  121  123        0  121   97.16   93.56
RS1_CL_L1_3_16S_2_trimmed.fq.gz     FASTQ   DNA     810,186   97,349,652       22    120.2      123  121  121  123        0  121   96.23   91.73
RS1_CL_L1_4_16S_1_trimmed.fq.gz     FASTQ   DNA     759,299   92,388,149       41    121.7      123  121  121  123        0  121   96.82   92.87
RS1_CL_L1_4_16S_2_trimmed.fq.gz     FASTQ   DNA     759,299   91,244,660       23    120.2      123  121  121  123        0  121   95.41   90.37
RS1_CL_L1_5_16S_1_trimmed.fq.gz     FASTQ   DNA     916,740  111,521,943       34    121.7      123  121  121  123        0  121   97.02   93.35
RS1_CL_L1_5_16S_2_trimmed.fq.gz     FASTQ   DNA     916,740  110,189,564       22    120.2      123  121  121  123        0  121   95.97   91.34
RS1_CL_L1_WC_16S_1_trimmed.fq.gz    FASTQ   DNA       2,178      264,987       24    121.7      123  121  121  123        0  121   94.92   90.51
RS1_CL_L1_WC_16S_2_trimmed.fq.gz    FASTQ   DNA       2,178      262,178       24    120.4      123  121  121  123        0  121   93.38    87.9
RS1_CL_L2_1_16S_1_trimmed.fq.gz     FASTQ   DNA     939,164  114,237,970       32    121.6      123  121  121  123        0  121   97.05   93.49
RS1_CL_L2_1_16S_2_trimmed.fq.gz     FASTQ   DNA     939,164  112,820,833       22    120.1      123  121  121  123        0  121   96.08   91.65
RS1_CL_L2_2_16S_1_trimmed.fq.gz     FASTQ   DNA     906,592  110,358,147       34    121.7      123  121  121  123        0  121   97.03   93.41
RS1_CL_L2_2_16S_2_trimmed.fq.gz     FASTQ   DNA     906,592  108,987,908       24    120.2      123  121  121  123        0  121   96.22   91.85
RS1_CL_L2_3_16S_1_trimmed.fq.gz     FASTQ   DNA     837,150  101,857,664       56    121.7      123  121  121  123        0  121      97   93.32
