file                        format  type   num_seqs      sum_len  min_len  avg_len  max_len   Q1   Q2   Q3  sum_gap  N50  Q20(%)  Q30(%)
NTC_1_16S.1.fq.gz           FASTQ   DNA      18,963    2,308,939       81    121.8      123  121  121  123        0  121   94.71    90.3
NTC_1_16S.2.fq.gz           FASTQ   DNA      18,963    2,308,683       81    121.7      123  121  121  123        0  121   93.41   87.87
NTC_2_16S.1.fq.gz           FASTQ   DNA      40,106    4,881,660       67    121.7      123  121  121  123        0  121   95.02   90.57
NTC_2_16S.2.fq.gz           FASTQ   DNA      40,106    4,880,944       67    121.7      123  121  121  123        0  121   94.07   88.73
NTC_3_16S.1.fq.gz           FASTQ   DNA       5,797      706,409      106    121.9      123  121  121  123        0  121   95.42   91.17
NTC_3_16S.2.fq.gz           FASTQ   DNA       5,797      706,359      106    121.8      123  121  121  123        0  121   93.96   88.68
RS1_CL_BC_16S.1.fq.gz       FASTQ   DNA      14,967    1,831,084       70    122.3      123  122  123  123        0  123   94.81   89.93
RS1_CL_BC_16S.2.fq.gz       FASTQ   DNA      14,967    1,831,790       70    122.4      123  121  123  123        0  123   80.08   69.37
RS1_CL_EB_16S.1.fq.gz       FASTQ   DNA     741,455   90,438,346       75      122      123  121  121  123        0  121   96.68    93.3
RS1_CL_EB_16S.2.fq.gz       FASTQ   DNA     741,455   90,437,307       75      122      123  121  121  123        0  121   96.52   92.16
RS1_CL_L1_1_16S.1.fq.gz     FASTQ   DNA     765,111   93,274,381       41    121.9      123  121  121  123        0  121   97.09   93.47
RS1_CL_L1_1_16S.2.fq.gz     FASTQ   DNA     765,111   93,273,303       41    121.9      123  121  121  123        0  121   96.16   91.69
RS1_CL_L1_2_16S.1.fq.gz     FASTQ   DNA     837,709  102,014,790       39    121.8      123  121  121  123        0  121   97.06   93.43
RS1_CL_L1_2_16S.2.fq.gz     FASTQ   DNA     837,709  102,003,509       39    121.8      123  121  121  123        0  121   96.33   91.92
RS1_CL_L1_3_16S.1.fq.gz     FASTQ   DNA     810,197   98,709,722        8    121.8      123  121  121  123        0  121   97.15   93.55
RS1_CL_L1_3_16S.2.fq.gz     FASTQ   DNA     810,197   98,705,909       42    121.8      123  121  121  123        0  121   96.21    91.7
RS1_CL_L1_4_16S.1.fq.gz     FASTQ   DNA     759,303   92,531,385       41    121.9      123  121  121  123        0  121   96.81   92.87
RS1_CL_L1_4_16S.2.fq.gz     FASTQ   DNA     759,303   92,532,332       51    121.9      123  121  121  123        0  121   95.39   90.35
RS1_CL_L1_5_16S.1.fq.gz     FASTQ   DNA     916,758  111,698,875       42    121.8      123  121  121  123        0  121   97.01   93.35
RS1_CL_L1_5_16S.2.fq.gz     FASTQ   DNA     916,758  111,720,399       46    121.9      123  121  121  123        0  121   95.95   91.31
RS1_CL_L1_WC_16S.1.fq.gz    FASTQ   DNA       2,180      265,256        5    121.7      123  121  121  123        0  121   94.91    90.5
RS1_CL_L1_WC_16S.2.fq.gz    FASTQ   DNA       2,180      265,265        5    121.7      123  121  121  123        0  121   93.37    87.9
RS1_CL_L2_1_16S.1.fq.gz     FASTQ   DNA     939,176  114,418,836       54    121.8      123  121  121  123        0  121   97.04   93.48
RS1_CL_L2_1_16S.2.fq.gz     FASTQ   DNA     939,176  114,409,606       54    121.8      123  121  121  123        0  121   96.05   91.61
RS1_CL_L2_2_16S.1.fq.gz     FASTQ   DNA     906,607  110,534,793       56    121.9      123  121  121  123        0  121   97.03    93.4
RS1_CL_L2_2_16S.2.fq.gz     FASTQ   DNA     906,607  110,533,027       56    121.9      123  121  121  123        0  121   96.19   91.82
RS1_CL_L2_3_16S.1.fq.gz     FASTQ   DNA     837,157  102,014,003       66    121.9      123  121  121  123        0  121   96.99   93.32
RS1_CL_L2_3_16S.2.fq.gz     FASTQ   DNA     837,157  102,009,671       66    121.9      123  121  121  123        0  121    96.2   91.76
RS1_CL_L2_4_16S.1.fq.gz     FASTQ   DNA     970,900  118,318,044       52    121.9      123  121  121  123        0  122   96.75   92.93
RS1_CL_L2_4_16S.2.fq.gz     FASTQ   DNA     970,900  118,319,885       52    121.9      123  121  121  123        0  122   95.85   91.21
RS1_CL_L2_5_16S.1.fq.gz     FASTQ   DNA   1,164,510  141,956,083        8    121.9      123  121  121  123        0  121   97.02   93.42
RS1_CL_L2_5_16S.2.fq.gz     FASTQ   DNA   1,164,510  141,954,424       12    121.9      123  121  121  123        0  121   96.27   91.92
RS1_CL_L2_WC_16S.1.fq.gz    FASTQ   DNA       7,666      933,356       85    121.8      123  121  121  123        0  121   95.82   91.78
RS1_CL_L2_WC_16S.2.fq.gz    FASTQ   DNA       7,666      933,353       85    121.8      123  121  121  123        0  121   94.46   89.21
RS1_CL_L3_1_16S.1.fq.gz     FASTQ   DNA   1,321,067  161,056,246       15    121.9      123  121  121  123        0  121   96.97   93.29
RS1_CL_L3_1_16S.2.fq.gz     FASTQ   DNA   1,321,067  161,052,327       44    121.9      123  121  121  123        0  122   96.25    91.8
RS1_CL_L3_2_16S.1.fq.gz     FASTQ   DNA   1,457,540  177,525,298       13    121.8      123  121  121  123        0  121   96.52   92.66
RS1_CL_L3_2_16S.2.fq.gz     FASTQ   DNA   1,457,540  177,528,091       13    121.8      123  121  121  123        0  121   95.76   91.11
RS1_CL_L3_3_16S.1.fq.gz     FASTQ   DNA   1,272,242  155,107,175       13    121.9      123  121  121  123        0  122   96.79   92.99
RS1_CL_L3_3_16S.2.fq.gz     FASTQ   DNA   1,272,242  155,111,405       13    121.9      123  121  122  123        0  122      96   91.39
RS1_CL_L3_4_16S.1.fq.gz     FASTQ   DNA   1,104,413  134,621,299       13    121.9      123  121  121  123        0  121    96.7   92.94
RS1_CL_L3_4_16S.2.fq.gz     FASTQ   DNA   1,104,413  134,617,216       13    121.9      123  121  121  123        0  121   96.13    91.7
RS1_CL_L3_5_16S.1.fq.gz     FASTQ   DNA   1,268,341  154,682,367        5      122      123  121  121  123        0  122   96.49    92.6
RS1_CL_L3_5_16S.2.fq.gz     FASTQ   DNA   1,268,341  154,682,499        5      122      123  121  122  123        0  123   95.83   91.19
RS1_CL_L3_WC_16S.1.fq.gz    FASTQ   DNA       2,768      337,101       77    121.8      123  121  121  123        0  121   95.23   90.91
RS1_CL_L3_WC_16S.2.fq.gz    FASTQ   DNA       2,768      337,067       77    121.8      123  121  121  123        0  121   93.84   88.42
RS1_CL_S1_1_16S.1.fq.gz     FASTQ   DNA   1,352,732  164,940,807       17    121.9      123  121  121  123        0  121   96.22   92.45
RS1_CL_S1_1_16S.2.fq.gz     FASTQ   DNA   1,352,732  164,942,654       17    121.9      123  121  121  123        0  121   95.95   91.45
RS1_CL_S1_2_16S.1.fq.gz     FASTQ   DNA   1,867,604  227,665,081       41    121.9      123  121  121  123        0  121   96.65   93.02
RS1_CL_S1_2_16S.2.fq.gz     FASTQ   DNA   1,867,604  227,675,940       41    121.9      123  121  121  123        0  121    96.1   91.58
RS1_CL_S1_3_16S.1.fq.gz     FASTQ   DNA   1,566,362  191,002,983       41    121.9      123  121  121  123        0  121   96.62   93.06
RS1_CL_S1_3_16S.2.fq.gz     FASTQ   DNA   1,566,362  191,003,874       41    121.9      123  121  121  123        0  121   96.35   91.91
RS1_CL_S1_4_16S.1.fq.gz     FASTQ   DNA   1,662,329  202,698,610       41    121.9      123  121  121  123        0  121   97.23   93.78
RS1_CL_S1_4_16S.2.fq.gz     FASTQ   DNA   1,662,329  202,699,388       41    121.9      123  121  121  123        0  121   96.35   91.92
