file                            format  type  num_seqs     sum_len  min_len  avg_len  max_len    Q1   Q2    Q3  sum_gap  N50  Q20(%)  Q30(%)
NTC1_16S.1.fq.gz                FASTQ   DNA         70       8,548      121    122.1      123   121  123   123        0  123   89.82   83.81
NTC1_16S.2.fq.gz                FASTQ   DNA         70       8,532      121    121.9      123   121  121   123        0  121   88.58    81.8
V10_CKI_BC_1_16S.1.fq.gz        FASTQ   DNA     40,244   4,908,720      121      122      123   121  121   123        0  121   95.97   91.88
V10_CKI_BC_1_16S.2.fq.gz        FASTQ   DNA     40,244   4,910,816      121      122      123   121  123   123        0  123   95.25   90.39
V10_CKI_BC_2_16S.1.fq.gz        FASTQ   DNA     51,609   6,295,197      121      122      123   121  121   123        0  121   96.26   92.32
V10_CKI_BC_2_16S.2.fq.gz        FASTQ   DNA     51,609   6,297,399      121      122      123   121  123   123        0  123   95.89      91
V10_CKI_BC_3_16S.1.fq.gz        FASTQ   DNA     64,381   7,855,777      121      122      123   121  123   123        0  123    96.9   93.25
V10_CKI_BC_3_16S.2.fq.gz        FASTQ   DNA     64,381   7,853,187      121      122      123   121  121   123        0  121   96.41   91.93
V10_CKI_BC_4_16S.1.fq.gz        FASTQ   DNA      5,249     639,751      121    121.9      123   121  121   123        0  121   95.05   90.79
V10_CKI_BC_4_16S.2.fq.gz        FASTQ   DNA      5,249     641,005      121    122.1      123   121  123   123        0  123   94.18   88.79
V10_CKI_BC_5_16S.1.fq.gz        FASTQ   DNA        134      16,344      121      122      123   121  121   123        0  121   94.62   89.87
V10_CKI_BC_5_16S.2.fq.gz        FASTQ   DNA        134      16,352      121      122      123   121  123   123        0  123    93.5   87.38
V10_CKI_EB_1_16S.1.fq.gz        FASTQ   DNA     22,365   2,728,177      121      122      123   121  121   123        0  121   96.21   92.11
V10_CKI_EB_1_16S.2.fq.gz        FASTQ   DNA     22,365   2,728,883      121      122      123   121  123   123        0  123   95.13    89.8
V10_CKI_EB_2_16S.1.fq.gz        FASTQ   DNA      1,887     230,069      121    121.9      123   121  121   123        0  121   92.94   87.88
V10_CKI_EB_2_16S.2.fq.gz        FASTQ   DNA      1,887     230,359      121    122.1      123   121  123   123        0  123   91.57   85.18
V10_CKI_EB_3_16S.1.fq.gz        FASTQ   DNA      1,744     212,632      121    121.9      123   121  121   123        0  121   93.13   88.39
V10_CKI_EB_3_16S.2.fq.gz        FASTQ   DNA      1,744     212,904      121    122.1      123   121  123   123        0  123    91.6   85.45
V10_CKI_EB_4_16S.1.fq.gz        FASTQ   DNA      2,598     316,406      121    121.8      123   121  121   123        0  121   93.61   88.45
V10_CKI_EB_4_16S.2.fq.gz        FASTQ   DNA      2,598     317,506      121    122.2      123   121  123   123        0  123   91.87   85.42
V10_CKI_N_10_1_16S.1.fq.gz      FASTQ   DNA    315,027  38,422,623      121      122      123   121  121   123        0  121   96.37   92.44
V10_CKI_N_10_1_16S.2.fq.gz      FASTQ   DNA    315,027  38,443,965      121      122      123   121  123   123        0  123   96.16    91.6
