file                        format  type  num_seqs    sum_len  min_len  avg_len  max_len     Q1   Q2     Q3  sum_gap  N50  Q20(%)  Q30(%)
NTC_1_16S.1.fq.gz           FASTQ   DNA        489     59,260      119    121.2      123    121  121    122        0  121      95   90.39
NTC_1_16S.2.fq.gz           FASTQ   DNA        489     59,401      119    121.5      123    121  121    123        0  121   95.43   90.06
NTC_2_16S.1.fq.gz           FASTQ   DNA      1,153    139,841      118    121.3      123    121  121    122        0  121   95.86   91.09
NTC_2_16S.2.fq.gz           FASTQ   DNA      1,153    140,028      119    121.4      123    121  121    122        0  121   96.09   90.86
NTC_3_16S.1.fq.gz           FASTQ   DNA        124     15,055      120    121.4      123    121  121    122        0  121   96.79   93.15
NTC_3_16S.2.fq.gz           FASTQ   DNA        124     15,034      119    121.2      123    121  121    122        0  121   96.61    91.9
RS1_CL_BC_16S.1.fq.gz       FASTQ   DNA        558     67,964      119    121.8      123    121  122    122        0  122   95.26   90.23
RS1_CL_BC_16S.2.fq.gz       FASTQ   DNA        558     67,422      118    120.8      123    120  121    121        0  121   74.17   62.11
RS1_CL_EB_16S.1.fq.gz       FASTQ   DNA     40,018  4,860,882      117    121.5      123    121  121    122        0  121   96.18   92.26
RS1_CL_EB_16S.2.fq.gz       FASTQ   DNA     40,018  4,861,846      116    121.5      123    121  122    122        0  122   96.69   92.01
RS1_CL_L1_1_16S.1.fq.gz     FASTQ   DNA     17,394  2,110,655      116    121.3      123    121  121    122        0  121      96   91.43
RS1_CL_L1_1_16S.2.fq.gz     FASTQ   DNA     17,394  2,111,713      117    121.4      123    121  121    122        0  121   96.19   91.24
RS1_CL_L1_2_16S.1.fq.gz     FASTQ   DNA     26,041  3,159,174      117    121.3      123    120  121    123        0  121   96.26   91.88
RS1_CL_L1_2_16S.2.fq.gz     FASTQ   DNA     26,041  3,160,748      114    121.4      123    121  121    123        0  121   96.31    91.5
RS1_CL_L1_3_16S.1.fq.gz     FASTQ   DNA     19,750  2,398,109      117    121.4      123    121  121    122        0  121   96.22   91.76
RS1_CL_L1_3_16S.2.fq.gz     FASTQ   DNA     19,750  2,398,940      118    121.5      123    121  121    123        0  121    96.2   91.24
RS1_CL_L1_4_16S.1.fq.gz     FASTQ   DNA     17,836  2,165,081      117    121.4      123    120  121    123        0  121   96.45   92.05
RS1_CL_L1_4_16S.2.fq.gz     FASTQ   DNA     17,836  2,168,621      119    121.6      123    120  121    123        0  121   95.96   90.83
RS1_CL_L1_5_16S.1.fq.gz     FASTQ   DNA     20,978  2,546,060      117    121.4      123    121  121    122        0  121    96.3   91.93
RS1_CL_L1_5_16S.2.fq.gz     FASTQ   DNA     20,978  2,546,899      116    121.4      123    121  121    122        0  121   96.17   91.23
